# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation over MuMu-LLaMA c_loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,Dynamic Scale Matrix (1.0 + N*0.5)
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
129.2,2.45,0.00,0.07,True,1111,0001-0.2%|0011-0.2%|0010-0.1%|0110-0.1%|0101-0.1%|0100-0.1%|0000-0.1%|0111-0.1%|1111-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,1111,2.57
129.2,2.45,0.46,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,2.45,0.93,0.95,True,0010,0001-0.2%|0011-0.2%|0010-0.1%|0110-0.1%|0101-0.1%|0111-0.1%|0100-0.1%|0000-0.1%|1110-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0010,2.29
129.2,2.45,1.39,1.42,True,0001,0001-0.2%|0011-0.2%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0000-0.1%|0010-0.1%|1110-0.0%|1100-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0001,2.29
129.2,2.45,1.86,1.86|2.32,True,1001,1111-0.2%|0110-0.1%|0011-0.1%|1011-0.1%|1010-0.1%|1001-0.1%|0101-0.1%|1000-0.1%|0111-0.1%|0100-0.1%|0010-0.1%|1100-0.1%|1101-0.0%|0001-0.0%|0000-0.0%|1110-0.0%,1001,2.40
129.2,2.45,2.32,2.55|2.74,True,1100,1111-0.2%|0110-0.1%|0011-0.1%|1011-0.1%|1010-0.1%|0101-0.1%|1000-0.1%|0001-0.1%|0111-0.1%|1100-0.1%|0010-0.1%|0100-0.1%|1101-0.1%|0000-0.0%|1001-0.0%|1110-0.0%,1100,2.39
129.2,2.45,2.79,3.00|3.20,True,1101,1111-0.2%|0110-0.1%|0011-0.1%|1011-0.1%|1010-0.1%|0101-0.1%|1000-0.1%|0001-0.1%|0111-0.1%|0100-0.1%|0010-0.1%|1101-0.1%|1110-0.0%|0000-0.0%|1001-0.0%|1100-0.0%,1101,2.39
129.2,2.45,3.25,3.46|3.67,True,0001,1111-0.2%|0110-0.1%|0011-0.1%|1011-0.1%|1010-0.1%|0101-0.1%|1000-0.1%|0111-0.1%|0001-0.1%|0010-0.1%|0100-0.1%|1110-0.0%|0000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%,0001,2.39
129.2,2.45,3.72,4.13,True,1001,1111-0.1%|1010-0.1%|1011-0.1%|0110-0.1%|0011-0.1%|1000-0.1%|0101-0.1%|1001-0.1%|0111-0.1%|0100-0.0%|1101-0.0%|1110-0.0%|1100-0.0%|0000-0.0%|0001-0.0%|0010-0.0%,1001,2.45
129.2,2.45,4.18,4.34|4.57,True,1000,1111-0.2%|1010-0.1%|1011-0.1%|0011-0.1%|0110-0.1%|1000-0.1%|0101-0.1%|0111-0.1%|1101-0.0%|0100-0.0%|1110-0.0%|1100-0.0%|0010-0.0%|0000-0.0%|0001-0.0%|1001-0.0%,1000,2.45
