# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation via AudioFlamingo3 loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
123.0,2.13,0.00,0.28,True,0001,0001-0.3%|0000-0.2%|0110-0.2%|0111-0.1%|0100-0.1%|0010-0.0%|0101-0.0%|1111-0.0%|0011-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0001,1.81
123.0,2.13,0.49,0.49|0.88,True,1111,0000-0.2%|0001-0.2%|0110-0.2%|0100-0.1%|0111-0.1%|0010-0.1%|0101-0.0%|1111-0.0%|0011-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,1111,1.47
123.0,2.13,0.98,1.00|1.11|1.35,True,0010,0001-0.3%|0000-0.3%|0110-0.2%|0100-0.1%|0111-0.1%|0010-0.1%|0011-0.0%|0101-0.0%|1001-0.0%|1010-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0010,1.47
123.0,2.13,1.46,1.49|1.72,True,0001,0001-0.3%|0000-0.3%|0110-0.2%|0111-0.1%|0100-0.1%|0011-0.0%|0101-0.0%|1001-0.0%|1010-0.0%|0010-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0001,1.47
123.0,2.13,1.95,2.18|2.32,True,0110,0110-0.2%|0000-0.2%|0001-0.2%|0010-0.1%|0100-0.1%|0011-0.1%|1010-0.1%|0101-0.1%|0111-0.0%|1110-0.0%|1001-0.0%|1011-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,0110,1.50
123.0,2.13,2.44,2.44|2.69|2.81,True,0010,0000-0.2%|0001-0.1%|0110-0.1%|0010-0.1%|0011-0.1%|1010-0.1%|0100-0.1%|1110-0.1%|0111-0.0%|0101-0.0%|1001-0.0%|1011-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,0010,1.50
123.0,2.13,2.93,2.93|3.04|3.16|3.39,True,0011,0000-0.2%|0001-0.2%|0110-0.1%|0100-0.1%|0011-0.1%|1010-0.1%|0101-0.1%|1001-0.0%|0111-0.0%|1110-0.0%|1000-0.0%|1011-0.0%|0010-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,0011,1.50
123.0,2.13,3.41,3.88,True,0111,0000-0.2%|0001-0.2%|0110-0.1%|0100-0.1%|0111-0.1%|1010-0.1%|0101-0.1%|0010-0.0%|1110-0.0%|1001-0.0%|1011-0.0%|1000-0.0%|0011-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,0111,1.50
123.0,2.13,3.90,4.37,True,0000,0000-0.2%|0110-0.2%|0001-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|0011-0.1%|1010-0.1%|0111-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0000,1.53
123.0,2.13,4.39,4.62|4.85,True,1001,0000-0.2%|0110-0.2%|0001-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|0011-0.1%|0111-0.1%|1010-0.1%|1110-0.0%|1011-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,1001,1.53
123.0,2.13,4.88,5.32,True,0000,0000-0.2%|0110-0.2%|0001-0.2%|0010-0.1%|0100-0.1%|1111-0.1%|0101-0.1%|0111-0.1%|0011-0.1%|1010-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0000,1.53
123.0,2.13,5.36,5.80,True,0000,0000-0.2%|0110-0.2%|0001-0.2%|0010-0.1%|0100-0.1%|1111-0.1%|0101-0.1%|0111-0.1%|0011-0.1%|1010-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0000,1.53
123.0,2.13,5.85,6.29,True,1111,0001-0.2%|0000-0.2%|0110-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|0111-0.1%|1111-0.0%|0011-0.0%|1010-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,1111,1.85
123.0,2.13,6.34,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
123.0,2.13,6.83,7.01|7.13|7.24,True,0010,0001-0.3%|0110-0.2%|0010-0.2%|0100-0.1%|0101-0.1%|0111-0.1%|1010-0.0%|0011-0.0%|0000-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0010,1.86
123.0,2.13,7.31,7.38|7.50|7.73,True,0011,0001-0.3%|0110-0.2%|0011-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|0111-0.1%|1010-0.0%|0000-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0011,1.85
123.0,2.13,7.80,8.20,True,0001,0001-0.2%|0110-0.2%|0111-0.1%|0010-0.1%|0100-0.1%|1010-0.1%|1110-0.1%|0101-0.1%|1000-0.0%|0011-0.0%|1011-0.0%|1111-0.0%|0000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%,0001,1.84
123.0,2.13,8.29,8.48|8.71,True,0111,0000-0.2%|0110-0.2%|0111-0.1%|0010-0.1%|0001-0.1%|1010-0.1%|0100-0.1%|1110-0.0%|0011-0.0%|0101-0.0%|1000-0.0%|1011-0.0%|1001-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,0111,1.84
123.0,2.13,8.78,8.82|8.96|9.17,True,0101,0000-0.2%|0110-0.2%|0001-0.1%|0010-0.1%|0100-0.1%|1010-0.1%|1001-0.1%|0011-0.0%|0101-0.0%|1000-0.0%|1110-0.0%|1011-0.0%|1100-0.0%|0111-0.0%|1101-0.0%|1111-0.0%,0101,1.84
123.0,2.13,9.26,9.40,True,1110,0000-0.2%|0110-0.2%|0001-0.1%|0010-0.1%|0100-0.1%|1010-0.1%|0011-0.1%|1001-0.1%|0111-0.0%|1110-0.0%|1000-0.0%|1011-0.0%|0101-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,1110,1.84
123.0,2.13,9.75,9.91|10.12,True,0110,0000-0.2%|0110-0.2%|0001-0.2%|0010-0.1%|0100-0.1%|0111-0.1%|0011-0.1%|1010-0.1%|1001-0.0%|0101-0.0%|1011-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0110,1.90
123.0,2.13,10.24,10.40|10.52|10.63,True,0010,0000-0.2%|0001-0.1%|0110-0.1%|0010-0.1%|0100-0.1%|1010-0.1%|1111-0.1%|0111-0.1%|0011-0.1%|1011-0.0%|1001-0.0%|0101-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0010,1.90
123.0,2.13,10.73,10.75|10.87|11.10,True,0000,0000-0.2%|0001-0.2%|0110-0.1%|0100-0.1%|1010-0.1%|1111-0.1%|0111-0.1%|0011-0.1%|1011-0.0%|1001-0.0%|0010-0.0%|0101-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0000,1.90
123.0,2.13,11.22,11.56,True,0000,0000-0.2%|0001-0.2%|0110-0.1%|0010-0.1%|0100-0.1%|1111-0.1%|0111-0.1%|0011-0.1%|1010-0.0%|1001-0.0%|0101-0.0%|1011-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0000,1.90
123.0,2.13,11.70,12.05,True,0011,0000-0.2%|0001-0.1%|0110-0.1%|0011-0.1%|0010-0.1%|0100-0.1%|1111-0.1%|0111-0.1%|1010-0.0%|1001-0.0%|0101-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0011,1.93
123.0,2.13,12.19,12.54,True,0000,0000-0.2%|0001-0.2%|0110-0.1%|0010-0.1%|0100-0.1%|1111-0.1%|0111-0.1%|1010-0.0%|1001-0.0%|0011-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0000,1.93
123.0,2.13,12.68,12.79|13.03,True,0001,0000-0.2%|0001-0.2%|0110-0.1%|0111-0.1%|0100-0.1%|0010-0.1%|1111-0.1%|1010-0.0%|0011-0.0%|1001-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0001,1.93
123.0,2.13,13.17,13.28|13.51,True,0010,0000-0.2%|0001-0.1%|0110-0.1%|0111-0.1%|0101-0.1%|0010-0.1%|0100-0.1%|1111-0.1%|0011-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0010,1.93
123.0,2.13,13.65,13.98,True,1001,0000-0.2%|0001-0.2%|0110-0.1%|0111-0.1%|0101-0.1%|0100-0.1%|0011-0.0%|1111-0.0%|0010-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,1001,2.32
123.0,2.13,14.14,14.58,True,0000,0000-0.2%|0110-0.2%|0001-0.1%|0111-0.1%|0101-0.1%|0100-0.1%|0010-0.1%|1111-0.0%|0011-0.0%|1010-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0000,2.33
123.0,2.13,14.63,14.72|14.84|14.95,True,0001,0110-0.2%|0001-0.2%|0111-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|1111-0.1%|0011-0.0%|1010-0.0%|0000-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0001,2.33
123.0,2.13,15.12,15.44,True,0000,0000-0.2%|0110-0.2%|0111-0.1%|0010-0.1%|0001-0.1%|0101-0.1%|0100-0.1%|0011-0.0%|1111-0.0%|1010-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0000,2.33
123.0,2.13,15.60,15.93,True,0000,0000-0.2%|0110-0.2%|0111-0.1%|0001-0.1%|1111-0.1%|0010-0.1%|0101-0.1%|0100-0.1%|1010-0.1%|1110-0.0%|0011-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0000,2.37
123.0,2.13,16.09,16.16|16.28,True,0011,0110-0.2%|0111-0.1%|0011-0.1%|0001-0.1%|1111-0.1%|0010-0.1%|0101-0.1%|1010-0.1%|0100-0.1%|1110-0.1%|1000-0.0%|1011-0.0%|0000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%,0011,2.36
123.0,2.13,16.58,16.88,True,0001,0000-0.2%|0110-0.2%|0001-0.1%|0111-0.1%|1111-0.1%|0010-0.1%|0101-0.1%|0100-0.1%|1010-0.1%|1000-0.0%|1110-0.0%|1011-0.0%|0011-0.0%|1001-0.0%|1100-0.0%|1101-0.0%,0001,2.36
123.0,2.13,17.07,17.11|17.35|17.46,True,1110,0000-0.2%|0110-0.2%|0111-0.1%|1111-0.1%|0001-0.1%|0010-0.1%|0101-0.1%|0100-0.1%|1010-0.1%|1110-0.0%|0011-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,1110,2.36
123.0,2.13,17.55,17.60|17.83,True,0000,0000-0.2%|0110-0.2%|0010-0.1%|0001-0.1%|0111-0.1%|0100-0.1%|0101-0.1%|1111-0.1%|1010-0.0%|0011-0.0%|1011-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0000,2.39
123.0,2.13,18.04,18.09|18.20|18.32|18.44,True,0111,0110-0.2%|0010-0.2%|0111-0.1%|0001-0.1%|0100-0.1%|0101-0.1%|1111-0.1%|1010-0.1%|1001-0.1%|0011-0.1%|1011-0.0%|1000-0.0%|0000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0111,2.39
123.0,2.13,18.53,18.55|18.81,True,0101,0000-0.2%|0110-0.2%|0010-0.1%|0001-0.1%|0100-0.1%|0101-0.1%|1111-0.1%|1010-0.1%|1001-0.0%|0011-0.0%|1011-0.0%|1000-0.0%|1100-0.0%|0111-0.0%|1101-0.0%|1110-0.0%,0101,2.39
123.0,2.13,19.02,19.04|19.27|19.39,True,0001,0000-0.2%|0110-0.2%|0010-0.1%|0001-0.1%|0100-0.1%|1111-0.1%|1010-0.0%|0011-0.0%|1001-0.0%|0111-0.0%|1011-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0001,2.39
123.0,2.13,19.50,19.53|19.76,True,0111,0000-0.3%|0110-0.2%|0010-0.1%|0001-0.1%|1111-0.1%|0100-0.1%|0011-0.0%|1001-0.0%|0111-0.0%|1010-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0111,2.38
123.0,2.13,19.99,20.02|20.36|20.48,True,1111,0000-0.3%|0110-0.2%|0010-0.1%|0001-0.1%|1111-0.1%|0100-0.1%|0011-0.0%|1001-0.0%|1010-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,1111,2.38
123.0,2.13,20.48,20.48|20.71,True,0000,0000-0.3%|0110-0.2%|0010-0.1%|0001-0.1%|0011-0.1%|0100-0.1%|1001-0.0%|1010-0.0%|1000-0.0%|1011-0.0%|0101-0.0%|1100-0.0%|0111-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,2.38
123.0,2.13,20.97,20.97|21.20|21.34,True,0110,0000-0.2%|0110-0.2%|0001-0.1%|0010-0.1%|0011-0.1%|0100-0.1%|1001-0.0%|1010-0.0%|1011-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|0111-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0110,2.39
123.0,2.13,21.46,21.46|21.69|21.94,True,1011,0000-0.3%|0001-0.1%|0010-0.1%|0011-0.1%|0110-0.1%|0100-0.1%|1001-0.0%|1010-0.0%|1110-0.0%|1000-0.0%|1011-0.0%|0101-0.0%|1100-0.0%|0111-0.0%|1101-0.0%|1111-0.0%,1011,2.42
123.0,2.13,21.94,22.06|22.18|22.29|22.41,True,0001,0000-0.3%|0010-0.1%|0001-0.1%|0011-0.1%|0110-0.1%|0100-0.1%|1010-0.1%|1001-0.0%|1110-0.0%|1000-0.0%|1111-0.0%|0101-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%,0001,2.42
123.0,2.13,22.43,22.52|22.64|22.89,True,0000,0000-0.3%|0010-0.1%|0110-0.1%|0011-0.1%|0001-0.1%|0100-0.1%|1001-0.1%|0111-0.1%|1010-0.1%|1110-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0000,2.42
123.0,2.13,22.92,23.13,True,0000,0000-0.3%|0010-0.1%|0011-0.1%|0110-0.1%|0001-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|1001-0.0%|1010-0.0%|1110-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0000,2.42
123.0,2.13,23.41,23.61|23.85,True,0011,0000-0.2%|0001-0.2%|0010-0.1%|0011-0.1%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.0%|1001-0.0%|1110-0.0%|1010-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0011,2.52
123.0,2.13,23.89,23.96,True,0010,0000-0.2%|0001-0.2%|0010-0.1%|0111-0.1%|0110-0.1%|0101-0.1%|0100-0.1%|1001-0.0%|1010-0.0%|1110-0.0%|0011-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0010,2.52
123.0,2.13,24.38,24.57|24.80,True,0111,0000-0.3%|0001-0.2%|0111-0.1%|0110-0.1%|1111-0.1%|0101-0.1%|0100-0.1%|0010-0.0%|1001-0.0%|0011-0.0%|1010-0.0%|1110-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0111,2.52
