onset_index,onset_ms
0,0.0
1,100.0
2,200.0
3,300.0
4,400.0
5,500.0
6,600.0
7,700.0
8,800.0
9,900.0
10,1001.0
11,1101.0
12,1201.0
13,1301.0
14,1401.0
15,1501.0
16,1601.0
17,1701.0
18,1801.0
19,1901.0
20,2002.0
21,2102.0
22,2202.0
23,2302.0
24,2402.0
25,2502.0
26,2602.0
27,2702.0
28,2802.0
29,2902.0
30,3003.0
31,3103.0
32,3203.0
33,3303.0
34,3403.0
35,3503.0
36,3603.0
37,3703.0
38,3803.0
39,3903.0
40,4004.0
41,4104.0
42,4204.0
43,4304.0
44,4404.0
45,4504.0
46,4604.0
47,4704.0
48,4804.0
49,4904.0
50,5005.0
51,5105.0
52,5205.0
53,5305.0
54,5405.0
55,5505.0
56,5605.0
57,5705.0
58,5805.0
59,5905.0
60,6006.0
61,6106.0
62,6206.0
63,6306.0
64,6406.0
65,6506.0
66,6606.0
67,6706.0
68,6806.0
69,6906.0
70,7007.0
71,7107.0
72,7207.0
73,7307.0
74,7407.0
75,7507.0
76,7607.0
77,7707.0
78,7807.0
79,7907.0
80,8008.0
81,8108.0
82,8208.0
83,8308.0
84,8408.0
85,8508.0
86,8608.0
87,8708.0
88,8808.0
89,8908.0
90,9009.0
91,9109.0
92,9209.0
93,9309.0
94,9409.0
95,9509.0
96,9609.0
97,9709.0
98,9809.0
99,9909.0
100,10000.0
101,10100.0
102,10200.0
103,10300.0
104,10400.0
105,10500.0
106,10600.0
107,10700.0
108,10800.0
109,10900.0
110,11001.0
111,11101.0
112,11201.0
113,11301.0
114,11401.0
115,11501.0
116,11601.0
117,11701.0
118,11801.0
119,11901.0
120,12002.0
121,12102.0
122,12202.0
123,12302.0
124,12402.0
125,12502.0
126,12602.0
127,12702.0
128,12802.0
129,12902.0
130,13003.0
131,13103.0
132,13203.0
133,13303.0
134,13403.0
135,13503.0
136,13603.0
137,13703.0
138,13803.0
139,13903.0
140,14004.0
141,14104.0
142,14204.0
143,14304.0
144,14404.0
145,14504.0
146,14604.0
147,14704.0
148,14804.0
149,14904.0
150,15005.0
151,15105.0
152,15205.0
153,15305.0
154,15405.0
155,15505.0
156,15605.0
157,15705.0
158,15805.0
159,15905.0
160,16006.0
161,16106.0
162,16206.0
163,16306.0
164,16406.0
165,16506.0
166,16606.0
167,16706.0
168,16806.0
169,16906.0
170,17007.0
171,17107.0
172,17207.0
173,17307.0
174,17407.0
175,17507.0
176,17607.0
177,17707.0
178,17807.0
179,17907.0
180,18008.0
181,18108.0
182,18208.0
183,18308.0
184,18408.0
185,18508.0
186,18608.0
187,18708.0
188,18808.0
189,18908.0
190,19009.0
191,19109.0
192,19209.0
193,19309.0
194,19409.0
195,19509.0
196,19609.0
197,19709.0
198,19809.0
199,19909.0
200,20000.0
201,20100.0
202,20200.0
203,20300.0
204,20400.0
205,20500.0
206,20600.0
207,20700.0
208,20800.0
209,20900.0
210,21001.0
