time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,4,1.000,unknown
250.0,1.500,0010,3,3,0.850,synth
375.0,1.750,0000,0,4,1.000,unknown
500.0,2.000,0100,4,2,0.900,snare
625.0,2.250,0000,0,4,1.000,unknown
750.0,2.500,0010,3,3,0.800,synth
875.0,2.750,0000,0,4,1.000,unknown
1000.0,3.000,1000,4,2,0.950,kick
1125.0,3.250,0000,0,4,1.000,unknown
1250.0,3.500,0010,3,3,0.850,synth
1375.0,3.750,0001,4,4,0.880,kick
1500.0,4.000,0100,4,2,0.900,snare
1625.0,4.250,1000,4,4,0.820,kick
1750.0,4.500,0010,3,3,0.850,synth
1875.0,4.750,0000,0,4,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1001,4,2,0.920,kick
2125.0,5.250,0000,0,4,1.000,unknown
2250.0,5.500,0110,3,3,0.880,synth
2375.0,5.750,0000,0,4,1.000,unknown
2500.0,6.000,0100,4,2,0.900,snare
2625.0,6.250,0000,0,4,1.000,unknown
2750.0,6.500,0110,3,3,0.850,synth
2875.0,6.750,0000,0,4,1.000,unknown
3000.0,7.000,1001,4,2,0.920,kick
3125.0,7.250,0000,0,4,1.000,unknown
3250.0,7.500,0110,3,3,0.880,synth
3375.0,7.750,0010,4,4,0.800,melody
3500.0,8.000,0100,4,2,0.900,snare
3625.0,8.250,1000,4,4,0.850,kick
3750.0,8.500,0110,3,3,0.880,synth
3875.0,8.750,0000,0,4,1.000,unknown
4000.0,9.000,",",-1,-1,1.000,separator
126000.0,253.000,1100,4,2,0.960,kick
126125.0,253.250,0000,0,4,1.000,unknown
126250.0,253.500,0011,4,3,0.900,snare
126375.0,253.750,0000,0,4,1.000,unknown
126500.0,254.000,1100,4,2,0.960,kick
126625.0,254.250,0000,0,4,1.000,unknown
126750.0,254.500,0011,4,3,0.900,snare
126875.0,254.750,0100,3,4,0.800,synth
127000.0,255.000,1100,4,2,0.960,kick
127125.0,255.250,0000,0,4,1.000,unknown
127250.0,255.500,0011,4,3,0.900,snare
127375.0,255.750,0000,0,4,1.000,unknown
127500.0,256.000,1111,4,2,0.980,kick
127625.0,256.250,0000,0,4,1.000,unknown
127750.0,256.500,0000,0,3,1.000,unknown
127875.0,256.750,0000,0,4,1.000,unknown
128000.0,257.000,",",-1,-1,1.000,separator
