time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,2,2,0.980,kick
120.29,1.250,0000,3,4,1.000,unknown
240.58,1.500,0110,4,3,0.950,snare
360.87,1.750,0000,3,4,1.000,unknown
481.16,2.000,1001,2,2,0.980,kick
601.44,2.250,0000,3,4,1.000,unknown
721.73,2.500,0110,4,3,0.950,snare
842.02,2.750,0000,3,4,1.000,unknown
962.31,3.000,1000,2,2,0.920,kick
1082.6,3.250,0100,4,4,0.890,melody
1202.89,3.500,0010,4,3,0.910,melody
1323.18,3.750,0001,4,4,0.880,melody
1443.47,4.000,1001,2,2,0.970,kick
1563.75,4.250,0000,3,4,1.000,unknown
1684.04,4.500,0110,4,3,0.940,snare
1804.33,4.750,1000,4,4,0.900,kick
1924.62,5.000,",",-1,-1,1.000,separator
1924.62,5.000,2000,2,2,0.960,bass
2044.91,5.250,0000,3,4,1.000,unknown
2165.2,5.500,0010,4,3,0.910,snare
2285.48,5.750,0000,3,4,1.000,unknown
2405.77,6.000,3000,2,2,0.960,bass
2526.06,6.250,0100,4,4,0.880,melody
2646.35,6.500,0011,4,3,0.930,snare
2766.64,6.750,0000,3,4,1.000,unknown
2886.93,7.000,1001,2,2,0.970,kick
3007.21,7.250,0110,4,4,0.920,melody
3127.5,7.500,1001,4,3,0.950,snare
3247.79,7.750,0110,4,4,0.910,melody
3368.08,8.000,1001,2,2,0.980,kick
3488.37,8.250,0000,3,4,1.000,unknown
3608.66,8.500,1111,4,3,0.940,snare
3728.94,8.750,0000,3,4,1.000,unknown
3849.23,9.000,",",-1,-1,1.000,separator
3849.23,9.000,1000,2,2,0.980,kick
3969.52,9.250,0100,4,4,0.920,melody
4089.81,9.500,0010,4,3,0.910,snare
4210.1,9.750,0001,4,4,0.900,melody
4330.38,10.000,1000,2,2,0.980,kick
4450.67,10.250,0100,4,4,0.910,melody
4570.96,10.500,0010,4,3,0.910,snare
4691.25,10.750,0001,4,4,0.900,melody
4811.54,11.000,1001,2,2,0.960,kick
4931.82,11.250,0110,4,4,0.930,melody
5052.11,11.500,1001,4,3,0.950,snare
5172.4,11.750,0110,4,4,0.920,melody
5292.69,12.000,1111,2,2,0.990,kick
5412.98,12.250,0000,3,4,1.000,unknown
5533.27,12.500,1111,4,3,0.950,snare
5653.55,12.750,0000,3,4,1.000,unknown
