time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
500.0,1.000,1000,1,2,0.900,melody
718.66,1.500,0000,0,3,1.000,unknown
937.32,2.000,0000,0,2,1.000,unknown
1155.98,2.500,0010,1,3,0.800,melody
1374.64,3.000,0000,0,2,1.000,unknown
1593.3,3.500,0100,1,3,0.800,melody
1811.96,4.000,0000,0,2,1.000,unknown
2030.62,4.500,0001,1,3,0.850,melody
2249.28,5.000,",",-1,-1,1.000,separator
2249.28,5.000,0000,0,2,1.000,unknown
2467.94,5.500,1000,1,3,0.700,melody
2686.6,6.000,0000,0,2,1.000,unknown
2905.26,6.500,0000,0,3,1.000,unknown
3123.92,7.000,0010,1,2,0.800,melody
3342.58,7.500,0000,0,3,1.000,unknown
3561.24,8.000,0001,1,2,0.800,melody
3779.9,8.500,0000,0,3,1.000,unknown
3998.56,9.000,",",-1,-1,1.000,separator
3998.56,9.000,1000,1,2,0.900,kick
4217.22,9.500,0000,0,3,1.000,unknown
4435.88,10.000,0000,0,2,1.000,unknown
4654.54,10.500,0010,1,3,0.800,snare
4873.2,11.000,0000,0,2,1.000,unknown
5091.86,11.500,0100,1,3,0.800,snare
5310.52,12.000,0000,0,2,1.000,unknown
5529.18,12.500,0001,1,3,0.850,kick
5747.84,13.000,",",-1,-1,1.000,separator
5747.84,13.000,1000,1,2,0.900,kick
5966.5,13.500,0000,0,3,1.000,unknown
6185.16,14.000,0100,1,2,0.800,snare
6403.82,14.500,0000,0,3,1.000,unknown
6622.48,15.000,0010,1,2,0.800,kick
6841.14,15.500,0000,0,3,1.000,unknown
7059.8,16.000,0001,1,2,0.800,kick
7278.46,16.500,0000,0,3,1.000,unknown
7497.12,17.000,",",-1,-1,1.000,separator
7497.12,17.000,1001,1,2,0.900,kick
7715.78,17.500,0000,0,3,1.000,unknown
7934.44,18.000,0100,1,2,0.800,snare
8153.1,18.500,0000,0,3,1.000,unknown
8371.76,19.000,0010,1,2,0.800,kick
8590.42,19.500,0000,0,3,1.000,unknown
8809.08,20.000,0001,1,2,0.800,kick
9027.74,20.500,0000,0,3,1.000,unknown
9246.4,21.000,",",-1,-1,1.000,separator
9246.4,21.000,1000,1,2,0.900,kick
9465.06,21.500,0000,0,3,1.000,unknown
9683.72,22.000,0000,0,2,1.000,unknown
9902.38,22.500,0100,1,3,0.800,snare
10121.04,23.000,0000,0,2,1.000,unknown
10339.7,23.500,0010,1,3,0.800,kick
10558.36,24.000,0000,0,2,1.000,unknown
10777.02,24.500,0001,1,3,0.800,snare
10995.68,25.000,",",-1,-1,1.000,separator
10995.68,25.000,1001,1,2,0.900,kick
11214.34,25.500,0000,0,3,1.000,unknown
11433.0,26.000,0000,0,2,1.000,unknown
11651.66,26.500,0100,1,3,0.800,snare
11870.32,27.000,0000,0,2,1.000,unknown
12088.98,27.500,0010,1,3,0.800,kick
12307.64,28.000,0000,0,2,1.000,unknown
12526.3,28.500,0001,1,3,0.800,snare
12744.96,29.000,",",-1,-1,1.000,separator
12744.96,29.000,1000,1,2,0.900,kick
12963.62,29.500,0000,0,3,1.000,unknown
13182.28,30.000,0000,0,2,1.000,unknown
13400.94,30.500,0100,1,3,0.800,snare
13619.6,31.000,0000,0,2,1.000,unknown
13838.26,31.500,0010,1,3,0.800,kick
14056.92,32.000,0000,0,2,1.000,unknown
14275.58,32.500,0001,4,3,0.900,snare
14494.24,33.000,",",-1,-1,1.000,separator
14494.24,33.000,1001,4,2,0.950,kick
14603.58,33.250,0000,0,3,1.000,unknown
14712.92,33.500,0000,0,3,1.000,unknown
14822.26,33.750,0000,0,3,1.000,unknown
14931.6,34.000,0100,4,2,0.900,snare
15040.94,34.250,0000,0,3,1.000,unknown
15150.28,34.500,0000,0,3,1.000,unknown
15259.62,34.750,0010,4,3,0.800,kick
15368.96,35.000,0000,0,2,1.000,unknown
15478.3,35.250,0001,4,3,0.800,kick
15587.64,35.500,0000,0,3,1.000,unknown
15696.98,35.750,0000,0,3,1.000,unknown
15806.32,36.000,1000,4,2,0.900,snare
15915.66,36.250,0000,0,3,1.000,unknown
16025.0,36.500,0010,4,3,0.800,kick
16134.34,36.750,0001,4,3,0.800,snare
16243.68,37.000,",",-1,-1,1.000,separator
16243.68,37.000,1000,4,2,0.950,kick
16353.02,37.250,0000,0,3,1.000,unknown
16462.36,37.500,0000,0,3,1.000,unknown
16571.7,37.750,0000,0,3,1.000,unknown
16681.04,38.000,0110,4,2,0.900,snare
16790.38,38.250,0000,0,3,1.000,unknown
16899.72,38.500,0000,0,3,1.000,unknown
17009.06,38.750,0001,4,3,0.800,kick
17118.4,39.000,0000,0,2,1.000,unknown
17227.74,39.250,1000,4,3,0.800,kick
17337.08,39.500,0000,0,3,1.000,unknown
17446.42,39.750,0000,0,3,1.000,unknown
17555.76,40.000,0100,4,2,0.900,snare
17665.1,40.250,0000,0,3,1.000,unknown
17774.44,40.500,0010,4,3,0.800,kick
17883.78,40.750,0001,4,3,0.800,snare
17993.12,41.000,",",-1,-1,1.000,separator
17993.12,41.000,1001,4,2,0.950,kick
18211.78,41.500,0000,0,3,1.000,unknown
18430.44,42.000,0110,4,2,0.900,snare
18649.1,42.500,0000,0,3,1.000,unknown
18867.76,43.000,0001,4,2,0.800,kick
19086.42,43.500,1000,4,3,0.800,kick
19305.08,44.000,0100,4,2,0.900,snare
19523.74,44.500,0010,4,3,0.800,snare
19742.4,45.000,",",-1,-1,1.000,separator
19742.4,45.000,1001,4,2,0.950,kick
19961.06,45.500,0000,0,3,1.000,unknown
20179.72,46.000,0110,4,2,0.900,snare
20398.38,46.500,0000,0,3,1.000,unknown
20617.04,47.000,1000,4,2,0.800,kick
20835.7,47.500,0001,4,3,0.800,kick
21054.36,48.000,0100,4,2,0.900,snare
21273.02,48.500,0010,4,3,0.800,snare
21491.68,49.000,",",-1,-1,1.000,separator
21491.68,49.000,1000,4,2,0.950,kick
21710.34,49.500,0000,0,3,1.000,unknown
21929.0,50.000,0100,4,2,0.900,snare
22147.66,50.500,0000,0,3,1.000,unknown
22366.32,51.000,0001,4,2,0.800,kick
22584.98,51.500,0010,4,3,0.800,kick
22803.64,52.000,0100,4,2,0.900,snare
23022.3,52.500,0001,4,3,0.800,snare
23240.96,53.000,",",-1,-1,1.000,separator
23240.96,53.000,1001,4,2,0.950,kick
23459.62,53.500,0000,0,3,1.000,unknown
23678.28,54.000,0100,4,2,0.900,snare
23896.94,54.500,0000,0,3,1.000,unknown
24115.6,55.000,0010,4,2,0.800,kick
24334.26,55.500,0001,4,3,0.800,kick
24552.92,56.000,0100,4,2,0.900,snare
24771.58,56.500,1000,4,3,0.800,snare
24990.24,57.000,",",-1,-1,1.000,separator
24990.24,57.000,1000,4,2,0.950,kick
25208.9,57.500,0000,0,3,1.000,unknown
25427.56,58.000,0100,4,2,0.900,snare
25646.22,58.500,0000,0,3,1.000,unknown
25864.88,59.000,0010,4,2,0.800,kick
26083.54,59.500,0000,0,3,1.000,unknown
26302.2,60.000,0100,4,2,0.900,snare
26520.86,60.500,0001,4,3,0.800,snare
26739.52,61.000,",",-1,-1,1.000,separator
26739.52,61.000,1001,4,2,0.950,kick
26958.18,61.500,0000,0,3,1.000,unknown
27176.84,62.000,0100,4,2,0.900,snare
27395.5,62.500,0000,0,3,1.000,unknown
27614.16,63.000,0001,4,2,0.800,kick
27832.82,63.500,1000,4,3,0.800,kick
28051.48,64.000,0110,4,2,0.900,snare
28270.14,64.500,0000,0,3,1.000,unknown
28488.8,65.000,",",-1,-1,1.000,separator
28488.8,65.000,1000,4,2,0.950,kick
28707.46,65.500,0000,0,3,1.000,unknown
28926.12,66.000,0100,4,2,0.900,snare
29144.78,66.500,0000,0,3,1.000,unknown
29363.44,67.000,0001,4,2,0.800,kick
29582.1,67.500,0010,4,3,0.800,kick
29800.76,68.000,0100,4,2,0.900,snare
30019.42,68.500,0000,0,3,1.000,unknown
30238.08,69.000,",",-1,-1,1.000,separator
30238.08,69.000,1001,4,2,0.950,kick
30456.74,69.500,0000,0,3,1.000,unknown
30675.4,70.000,0100,4,2,0.900,snare
30894.06,70.500,0000,0,3,1.000,unknown
31112.72,71.000,1000,4,2,0.800,kick
31331.38,71.500,0001,4,3,0.800,kick
31550.04,72.000,0100,4,2,0.900,snare
31768.7,72.500,0000,0,3,1.000,unknown
31987.36,73.000,",",-1,-1,1.000,separator
31987.36,73.000,1000,4,2,0.950,kick
32206.02,73.500,0000,0,3,1.000,unknown
32424.68,74.000,0100,4,2,0.900,snare
32643.34,74.500,0000,0,3,1.000,unknown
32862.0,75.000,0001,4,2,0.800,kick
33080.66,75.500,0010,4,3,0.800,kick
33299.32,76.000,0100,4,2,0.900,snare
33517.98,76.500,0000,0,3,1.000,unknown
33736.64,77.000,",",-1,-1,1.000,separator
33736.64,77.000,1001,4,2,0.950,kick
33955.3,77.500,0000,0,3,1.000,unknown
34173.96,78.000,0100,4,2,0.900,snare
34392.62,78.500,0000,0,3,1.000,unknown
34611.28,79.000,1000,4,2,0.800,kick
