# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
123.0,2.13,0.00,0.28,True,0001,0000-10.0%|0001-16.4%|0010-8.7%|0100-5.9%|1000-0.0%|0011-8.6%|0101-4.7%|0110-17.0%|1001-0.0%|1010-0.0%|1100-3.7%|0111-9.4%|1011-0.0%|1101-4.0%|1110-5.5%|1111-6.0%,0001,2.05
123.0,2.13,0.49,0.49|0.88,True,0001,0000-11.7%|0001-9.7%|0010-9.7%|0100-6.5%|1000-0.0%|0011-9.4%|0101-5.4%|0110-18.4%|1001-0.0%|1010-0.0%|1100-3.4%|0111-11.0%|1011-0.0%|1101-3.7%|1110-5.1%|1111-6.0%,0001,1.84
123.0,2.13,0.98,1.00|1.11|1.35,True,0000,0000-12.0%|0001-6.2%|0010-10.3%|0100-7.0%|1000-0.0%|0011-10.5%|0101-6.0%|0110-19.7%|1001-0.0%|1010-0.0%|1100-3.0%|0111-12.2%|1011-0.0%|1101-3.2%|1110-4.6%|1111-5.3%,0000,1.85
123.0,2.13,1.46,1.49|1.72,True,0110,0000-10.9%|0001-5.8%|0010-8.8%|0100-6.6%|1000-4.1%|0011-8.7%|0101-5.5%|0110-17.4%|1001-0.0%|1010-0.0%|1100-4.0%|0111-10.9%|1011-0.0%|1101-4.3%|1110-5.9%|1111-7.0%,0110,1.85
123.0,2.13,1.95,2.18|2.32,True,1111,0000-11.0%|0001-16.8%|0010-5.4%|0100-5.5%|1000-4.3%|0011-4.4%|0101-4.8%|0110-19.0%|1001-0.0%|1010-3.8%|1100-4.9%|0111-0.0%|1011-0.0%|1101-4.9%|1110-6.9%|1111-8.3%,1111,1.93
123.0,2.13,2.44,2.44|2.69|2.81,True,0100,0000-13.7%|0001-20.9%|0010-6.9%|0100-6.7%|1000-0.0%|0011-5.7%|0101-5.9%|0110-24.6%|1001-0.0%|1010-0.0%|1100-3.1%|0111-4.8%|1011-0.0%|1101-3.2%|1110-4.6%|1111-0.0%,0100,1.92
123.0,2.13,2.93,2.93|3.04|3.16|3.39,True,0001,0000-14.1%|0001-21.9%|0010-7.6%|0100-0.0%|1000-0.0%|0011-6.3%|0101-6.6%|0110-27.1%|1001-0.0%|1010-0.0%|1100-3.1%|0111-5.4%|1011-0.0%|1101-3.3%|1110-4.6%|1111-0.0%,0001,1.92
123.0,2.13,3.41,3.88,True,0111,0000-15.3%|0001-14.9%|0010-7.1%|0100-0.0%|1000-2.6%|0011-6.1%|0101-6.7%|0110-27.8%|1001-0.0%|1010-0.0%|1100-3.8%|0111-5.9%|1011-0.0%|1101-4.0%|1110-5.8%|1111-0.0%,0111,1.93
123.0,2.13,3.90,4.37,True,0101,0000-9.5%|0001-11.3%|0010-4.1%|0100-0.0%|1000-4.2%|0011-5.5%|0101-6.9%|0110-16.5%|1001-0.0%|1010-0.0%|1100-5.5%|0111-8.6%|1011-0.0%|1101-4.9%|1110-12.4%|1111-10.6%,0101,1.96
123.0,2.13,4.39,4.62|4.85,True,1110,0000-10.6%|0001-17.3%|0010-4.3%|0100-3.3%|1000-3.1%|0011-6.2%|0101-0.0%|0110-17.8%|1001-0.0%|1010-0.0%|1100-4.4%|0111-11.5%|1011-0.0%|1101-4.0%|1110-9.5%|1111-7.9%,1110,1.98
123.0,2.13,4.88,5.32,True,1111,0000-11.2%|0001-25.8%|0010-4.5%|0100-3.4%|1000-3.0%|0011-6.4%|0101-0.0%|0110-18.8%|1001-0.0%|1010-0.0%|1100-4.1%|0111-12.4%|1011-0.0%|1101-3.7%|1110-0.0%|1111-6.8%,1111,1.96
123.0,2.13,5.36,5.80,True,0001,0000-12.5%|0001-26.7%|0010-5.0%|0100-3.6%|1000-3.2%|0011-6.9%|0101-0.0%|0110-18.5%|1001-0.0%|1010-0.0%|1100-4.2%|0111-12.2%|1011-0.0%|1101-3.7%|1110-3.4%|1111-0.0%,0001,1.96
123.0,2.13,5.85,6.29,True,0110,0000-10.4%|0001-11.9%|0010-4.0%|0100-4.0%|1000-0.0%|0011-5.4%|0101-6.7%|0110-26.6%|1001-0.0%|1010-0.0%|1100-4.4%|0111-12.2%|1011-0.0%|1101-4.5%|1110-5.9%|1111-4.1%,0110,2.12
123.0,2.13,6.34,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
123.0,2.13,6.83,7.01|7.13|7.24,True,0011,0000-10.2%|0001-12.9%|0010-4.2%|0100-10.0%|1000-0.0%|0011-5.7%|0101-7.1%|0110-17.2%|1001-0.0%|1010-0.0%|1100-4.0%|0111-12.4%|1011-0.0%|1101-4.3%|1110-5.0%|1111-7.0%,0011,2.12
123.0,2.13,7.31,7.38|7.50|7.73,True,0110,0000-11.1%|0001-19.8%|0010-4.0%|0100-10.0%|1000-0.0%|0011-0.0%|0101-6.5%|0110-16.9%|1001-0.0%|1010-0.0%|1100-3.8%|0111-12.5%|1011-0.0%|1101-4.0%|1110-4.7%|1111-6.8%,0110,2.12
123.0,2.13,7.80,8.20,True,1100,0000-8.9%|0001-16.4%|0010-6.0%|0100-8.1%|1000-0.0%|0011-5.6%|0101-4.5%|0110-15.6%|1001-0.0%|1010-0.0%|1100-4.1%|0111-14.7%|1011-0.0%|1101-4.3%|1110-5.9%|1111-6.0%,1100,2.15
123.0,2.13,8.29,8.48|8.71,True,0110,0000-8.3%|0001-15.1%|0010-5.9%|0100-7.9%|1000-0.0%|0011-5.6%|0101-10.3%|0110-16.7%|1001-0.0%|1010-0.0%|1100-0.0%|0111-14.6%|1011-0.0%|1101-4.2%|1110-5.3%|1111-6.1%,0110,2.14
123.0,2.13,8.78,8.82|8.96|9.17,True,0011,0000-8.3%|0001-14.5%|0010-6.0%|0100-7.8%|1000-0.0%|0011-5.6%|0101-10.3%|0110-10.3%|1001-0.0%|1010-0.0%|1100-0.0%|0111-14.6%|1011-0.0%|1101-4.3%|1110-12.1%|1111-6.1%,0011,2.14
123.0,2.13,9.26,9.40,True,0110,0000-8.8%|0001-14.4%|0010-5.8%|0100-7.5%|1000-0.0%|0011-0.0%|0101-9.6%|0110-11.8%|1001-0.0%|1010-0.0%|1100-0.0%|0111-14.4%|1011-0.0%|1101-3.9%|1110-11.4%|1111-12.3%,0110,2.15
