onset_index,onset_ms
0,23.22
1,116.1
2,243.81
3,429.57
4,487.62
5,708.21
6,812.7
7,952.02
8,1033.29
9,1300.32
10,1404.81
11,1683.45
12,1880.82
13,2136.24
14,2287.17
15,2403.27
16,2635.46
17,2763.17
18,2844.44
19,3006.98
20,3123.08
21,3227.57
22,3332.06
23,3819.68
24,4098.32
25,4330.52
26,4574.33
27,4783.31
28,5050.34
29,5282.54
30,5537.96
31,5770.16
32,6013.97
33,6257.78
34,6362.27
35,6501.59
36,6710.57
37,6849.89
38,6942.77
39,7093.7
40,7209.8
41,7314.29
42,7453.61
43,7558.1
44,7709.02
45,7825.12
46,7941.22
47,8022.49
48,8161.81
49,8417.23
50,8556.55
51,8661.04
52,8765.53
53,8904.85
54,9009.34
55,9137.05
56,9334.42
57,9624.67
58,9752.38
59,9868.48
60,10065.85
61,10321.27
62,10448.98
63,10553.47
64,10704.4
65,10797.28
66,10948.21
67,11064.31
68,11284.9
69,11540.32
70,11795.74
71,12004.72
72,12271.75
73,12492.34
74,12736.15
75,12956.73
76,13223.76
77,13467.57
78,13711.38
79,13955.19
80,14048.07
81,14199.0
82,14315.1
83,14407.98
84,14535.69
85,14651.79
86,14791.11
87,14907.21
88,15394.83
89,15627.03
90,15859.23
91,16103.04
92,16242.36
93,16811.25
94,17078.28
95,17171.16
96,17298.87
97,17438.19
98,17542.68
99,17798.1
100,18030.29
101,18134.78
102,18285.71
103,18378.59
104,18517.91
105,18761.72
106,19005.53
107,19075.19
108,19237.73
109,19353.83
110,19469.93
111,19702.13
112,19922.72
113,20201.36
114,20329.07
115,20421.95
116,20665.76
117,20932.79
118,21048.89
119,21164.99
120,21281.09
121,21408.8
122,21629.39
123,21815.15
124,22012.52
125,22128.62
126,22209.89
127,22372.43
128,22488.53
129,22593.02
130,22836.83
131,22964.54
132,23092.24
133,23324.44
134,23579.86
135,23800.45
136,23916.55
137,24531.88
138,24636.37
139,24775.69
140,24903.4
141,25019.5
142,25112.38
143,25263.31
144,25495.51
145,25600.0
146,25727.71
147,25867.03
148,26099.23
149,26215.33
150,26459.14
151,26702.95
152,26819.05
153,26946.76
154,27051.25
155,27178.96
156,27422.77
157,27666.58
158,28026.49
159,28142.59
160,28363.17
161,28630.2
162,28734.69
163,28862.4
164,28978.5
165,29094.6
166,29338.41
167,29570.61
168,29709.93
169,29826.03
170,29953.74
171,30058.23
172,30185.94
173,30290.43
174,30534.24
175,30789.66
176,31021.86
177,31277.28
178,31497.87
179,31555.92
180,32217.69
181,32426.67
182,32693.7
183,32833.02
184,32937.51
185,33065.22
186,33192.93
187,33425.12
188,33564.44
189,33796.64
190,33912.74
191,34156.55
192,34400.36
193,34597.73
194,34748.66
195,34864.76
196,35108.57
197,35352.38
198,35723.9
199,35793.56
200,36048.98
201,36327.62
202,36571.43
203,36687.53
204,36803.63
205,37047.44
206,37291.25
207,37407.35
208,37523.45
209,37604.72
210,37767.26
211,37883.36
212,37987.85
213,38231.66
214,38359.37
215,38487.07
216,38719.27
217,38974.69
218,39183.67
219,39334.6
220,39915.1
221,40147.3
222,40391.11
223,40518.82
224,40658.14
225,40890.34
226,41122.54
227,41261.86
228,41482.45
229,41621.77
230,41830.75
231,42074.56
232,42295.15
233,42341.59
234,42457.69
235,42562.18
236,42805.99
237,43049.8
238,43398.1
239,43490.98
240,43769.61
241,43978.59
242,44025.03
243,44152.74
244,44268.84
245,44373.33
246,44477.82
247,44744.85
248,44977.05
249,45104.76
250,45220.86
251,45302.13
252,45464.67
253,45580.77
254,45685.26
255,46149.66
256,46416.69
257,46672.11
258,46904.31
259,47032.02
260,47624.13
261,47728.62
262,47867.94
263,47995.65
264,48111.75
265,48227.85
266,48332.34
267,48587.76
268,48692.24
269,48819.95
270,48947.66
271,49191.47
272,49307.57
273,49551.38
274,49795.19
275,49911.29
276,50039.0
277,50143.49
278,50271.2
279,50503.4
280,50631.11
281,50747.21
282,51095.51
283,51234.83
284,51455.42
285,51722.45
286,51838.55
287,51954.65
288,52070.75
289,52198.46
290,52442.27
291,52686.08
292,52802.18
293,52918.28
294,53045.99
295,53162.09
296,53243.36
297,53405.9
298,53626.49
299,53754.2
300,53881.9
301,54125.71
302,54369.52
303,54590.11
304,54729.43
305,55309.93
306,55565.35
307,55809.16
308,55902.04
309,56052.97
310,56285.17
311,56505.76
312,56656.69
313,56888.89
314,57016.6
315,57237.19
316,57492.61
317,57620.32
318,57701.59
319,58200.82
320,58549.12
321,59152.83
322,59524.35
323,59640.45
324,60116.46
325,60499.59
326,60836.28
327,61080.09
328,61463.22
329,61579.32
330,61695.42
331,61939.23
332,62043.72
333,62287.53
334,62403.63
335,62531.34
336,62659.05
337,62763.54
338,62902.86
339,63007.35
340,63506.58
341,63611.07
342,63831.66
343,63970.98
344,64214.78
345,64354.1
346,64470.2
347,64586.3
348,64690.79
349,64795.28
350,64934.6
351,65433.83
352,65549.93
353,65793.74
354,65898.23
355,66142.04
356,66269.75
357,66374.24
358,66513.56
359,66757.37
360,66873.47
361,67361.09
362,67465.58
363,67674.56
364,67825.49
365,68046.08
366,68197.01
367,68301.5
368,68429.21
369,68684.63
370,68789.12
371,69044.54
372,69288.34
373,69497.32
374,69625.03
375,69741.13
376,69984.94
377,70228.75
378,70344.85
379,70460.95
380,70727.98
381,70960.18
382,71087.89
383,71203.99
384,71308.48
385,71436.19
386,71563.9
387,71680.0
388,71796.1
389,71923.81
390,72167.62
391,72260.5
392,72411.43
393,72527.53
394,72643.63
395,72748.12
396,72852.61
397,73015.15
398,73375.06
399,73584.04
400,73839.46
401,74071.66
402,74187.76
403,74315.46
404,74454.78
405,74570.88
406,74814.69
407,74930.79
408,75046.89
409,75151.38
410,75290.7
411,75418.41
412,75534.51
413,75650.61
414,75766.71
415,76010.52
416,76115.01
417,76231.11
418,76358.82
419,76498.14
420,76614.24
421,76672.29
422,76741.95
423,76858.05
424,76974.15
425,77194.74
426,77322.45
427,77426.94
428,77682.36
429,77926.17
430,78042.27
431,78169.98
432,78309.3
433,78413.79
434,78657.6
435,78773.7
436,78901.41
437,79005.9
438,79145.22
439,79261.32
440,79377.41
441,79481.9
442,79621.22
443,79865.03
444,80108.84
445,80201.72
446,80341.04
447,80468.75
448,80584.85
449,80689.34
450,80828.66
451,81049.25
452,81176.96
453,81304.67
454,81548.48
455,81780.68
456,81873.56
457,82012.88
458,82128.98
459,82256.69
460,82372.79
461,82500.5
462,82616.6
463,82744.31
464,82883.63
465,82988.12
466,83231.93
467,83348.03
468,83475.74
469,83707.94
470,83824.04
471,83940.14
472,84044.63
473,84160.73
474,84311.66
475,84427.76
476,84555.46
477,84648.34
478,84764.44
479,84915.37
480,85019.86
481,85147.57
482,85263.67
483,85379.77
484,85507.48
485,85623.58
486,85728.07
487,85879.0
488,85983.49
489,86111.2
490,86227.3
491,86355.01
492,86471.11
493,86587.21
494,86831.02
495,87074.83
496,87214.15
497,87318.64
498,87550.84
499,87678.55
500,87783.04
501,87887.53
502,88038.46
503,88154.56
504,88247.44
505,88409.98
506,88526.08
507,88839.55
508,88978.87
509,89350.39
510,89582.59
511,89721.9
512,89814.78
513,89965.71
514,90430.11
515,90697.14
516,90917.73
517,91266.03
518,91625.94
519,91881.36
520,92113.56
521,92241.27
522,92461.86
523,92601.18
524,92844.99
525,93181.68
526,93553.2
527,94040.82
528,94156.92
529,94296.24
530,94389.12
531,94632.93
532,94772.24
533,95108.93
534,95468.84
535,95863.58
536,95956.46
537,96165.44
538,97036.19
539,97663.13
540,98382.95
541,98626.76
542,98963.45
543,99323.36
544,99590.39
545,99834.2
546,99938.68
547,100159.27
548,100286.98
549,100542.4
550,100890.7
551,101285.44
552,101517.64
553,101738.23
554,101854.33
555,101982.04
556,102469.66
557,102806.35
558,103177.87
559,103561.0
560,103665.49
561,103862.86
562,104745.22
