# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation via AudioFlamingo3 loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
103.4,2.06,0.00,0.33|0.46,True,0001,0001-0.4%|0000-0.3%|0110-0.1%|0100-0.1%|0111-0.1%|0010-0.0%|0101-0.0%|0011-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0001,2.15
103.4,2.06,0.58,0.60|0.77|0.88|1.16,True,0010,0000-0.3%|0001-0.2%|0110-0.1%|0100-0.1%|0010-0.1%|0111-0.1%|0101-0.0%|0011-0.0%|1111-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0010,1.47
103.4,2.06,1.16,1.32|1.46|1.60|1.74,True,0001,0000-0.3%|0001-0.3%|0110-0.2%|0100-0.1%|0111-0.1%|0011-0.0%|0101-0.0%|1111-0.0%|1001-0.0%|0010-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0001,1.47
103.4,2.06,1.74,1.90|2.02|2.18,True,0001,0000-0.3%|0001-0.2%|0110-0.2%|0111-0.1%|0100-0.1%|0101-0.0%|0011-0.0%|1111-0.0%|1001-0.0%|0010-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0001,1.47
103.4,2.06,2.32,2.46|2.60|2.74|2.90,True,0000,0000-0.2%|0001-0.2%|0110-0.2%|0010-0.1%|0011-0.1%|0100-0.1%|0101-0.0%|0111-0.0%|1010-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0000,1.50
103.4,2.06,2.90,3.04|3.18|3.34|3.46,True,0001,0000-0.3%|0001-0.2%|0110-0.2%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.0%|0111-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0001,1.50
103.4,2.06,3.48,3.60|3.74|3.88|4.04,True,0000,0000-0.3%|0110-0.2%|0001-0.2%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.1%|0111-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.50
103.4,2.06,4.06,4.32|4.48|4.60,True,0110,0000-0.2%|0001-0.2%|0110-0.2%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.1%|0111-0.0%|1010-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0110,1.50
103.4,2.06,4.64,4.76|4.90|5.04|5.18,True,0110,0000-0.3%|0110-0.1%|0001-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.1%|0111-0.1%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0110,1.53
103.4,2.06,5.22,5.34|5.46|5.62|5.74,True,0101,0000-0.3%|0001-0.1%|0010-0.1%|0110-0.1%|0011-0.1%|0100-0.1%|0101-0.1%|0111-0.1%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0101,1.53
103.4,2.06,5.80,5.90|6.04|6.18|6.32,True,0110,0000-0.3%|0010-0.2%|0001-0.1%|0110-0.1%|0100-0.1%|0011-0.1%|0111-0.1%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0110,1.53
103.4,2.06,6.39,6.59|6.76|6.87,True,0001,0000-0.3%|0001-0.2%|0010-0.2%|0100-0.1%|0011-0.1%|0111-0.1%|0110-0.0%|1010-0.0%|1001-0.0%|1110-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0001,1.53
103.4,2.06,6.97,7.04|7.17|7.31|7.45,True,0010,0000-0.2%|0010-0.2%|0001-0.1%|0110-0.1%|0011-0.1%|0100-0.1%|0101-0.1%|0111-0.1%|1010-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0010,1.77
103.4,2.06,7.55,7.73|8.01,True,0110,0000-0.2%|0001-0.2%|0110-0.1%|0011-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|0111-0.1%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0110,1.77
103.4,2.06,8.13,8.17|8.31|8.45|8.61,True,0111,0000-0.2%|0001-0.2%|0010-0.1%|0011-0.1%|0100-0.1%|0111-0.1%|0101-0.1%|0110-0.0%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0111,1.77
103.4,2.06,8.71,8.89|9.17,True,0000,0000-0.3%|0001-0.3%|0010-0.1%|0011-0.1%|0100-0.1%|0101-0.1%|0110-0.1%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0000,1.77
103.4,2.06,9.29,9.33|9.45|9.61|9.75,True,0111,0000-0.3%|0001-0.2%|0110-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.1%|0111-0.0%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0111,1.84
103.4,2.06,9.87,9.89|10.03|10.19|10.31,True,0000,0000-0.3%|0001-0.2%|0110-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.1%|1010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0000,1.84
103.4,2.06,10.45,10.45|10.61|10.75|10.89,True,0010,0000-0.3%|0001-0.2%|0101-0.1%|0110-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|1010-0.0%|1001-0.0%|1110-0.0%|1000-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0010,1.85
103.4,2.06,11.03,11.03|11.17|11.33|11.45,True,0000,0000-0.2%|0110-0.2%|0001-0.2%|0101-0.1%|0100-0.1%|0011-0.1%|0010-0.0%|1010-0.0%|1101-0.0%|1100-0.0%|1000-0.0%|1001-0.0%|0111-0.0%|1011-0.0%|1110-0.0%|1111-0.0%,0000,1.85
103.4,2.06,11.61,11.61|11.75|11.89|12.03|12.17,True,0101,0000-0.3%|0001-0.2%|0110-0.2%|0101-0.1%|0011-0.1%|0100-0.1%|0010-0.0%|0111-0.0%|1010-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0101,1.90
103.4,2.06,12.19,12.31|12.47|12.61|12.75,True,0001,0000-0.3%|0001-0.2%|0110-0.2%|0010-0.1%|0011-0.1%|0100-0.1%|0101-0.0%|1010-0.0%|0111-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0001,1.90
103.4,2.06,12.77,12.89|13.05|13.17|13.31,True,0110,0000-0.3%|0110-0.3%|0001-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.0%|1010-0.0%|0111-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0110,1.90
103.4,2.06,13.35,13.47|13.61|13.75|13.89,True,0001,0000-0.3%|0001-0.2%|0110-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0111-0.1%|0101-0.1%|1010-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0001,1.90
103.4,2.06,13.93,14.02|14.19|14.33|14.47,True,0001,0000-0.2%|0110-0.2%|0001-0.1%|0010-0.1%|0011-0.1%|0101-0.1%|0100-0.1%|0111-0.0%|1010-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0001,1.93
103.4,2.06,14.51,14.61|14.77|14.88|15.02,True,0010,0000-0.2%|0110-0.2%|0111-0.1%|0010-0.1%|0011-0.1%|0101-0.1%|0001-0.1%|0100-0.1%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0010,1.94
103.4,2.06,15.09,15.19|15.33|15.46|15.60,True,1010,0000-0.3%|0110-0.2%|0111-0.1%|0001-0.1%|0011-0.1%|0101-0.1%|0100-0.1%|0010-0.0%|1010-0.0%|1001-0.0%|1110-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,1010,1.93
103.4,2.06,15.67,15.74|15.91|16.02|16.18,True,0000,0000-0.2%|0110-0.2%|0111-0.1%|0010-0.1%|0001-0.1%|0011-0.1%|0101-0.1%|0100-0.1%|1110-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0000,1.93
103.4,2.06,16.25,16.32|16.46|16.60|16.74,True,0000,0000-0.2%|0110-0.2%|0111-0.1%|0010-0.1%|0011-0.1%|0001-0.1%|0101-0.1%|0100-0.1%|1011-0.0%|1001-0.0%|1101-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1110-0.0%|1111-0.0%,0000,2.33
103.4,2.06,16.83,16.88|17.04|17.18|17.32,True,0010,0000-0.2%|0110-0.1%|0101-0.1%|0111-0.1%|0010-0.1%|0011-0.1%|0001-0.1%|0100-0.1%|1011-0.0%|1001-0.0%|1101-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1110-0.0%|1111-0.0%,0010,2.32
