time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,4,1.000,unknown
250.0,1.500,0100,4,3,0.900,snare
375.0,1.750,0000,0,4,1.000,unknown
500.0,2.000,0010,2,2,0.950,kick
625.0,2.250,0000,0,4,1.000,unknown
750.0,2.500,0100,4,3,0.900,snare
875.0,2.750,0001,3,4,0.850,synth
1000.0,3.000,1000,2,2,0.950,kick
1125.0,3.250,0000,0,4,1.000,unknown
1250.0,3.500,0100,4,3,0.900,snare
1375.0,3.750,0000,0,4,1.000,unknown
1500.0,4.000,0010,2,2,0.950,kick
1625.0,4.250,0000,0,4,1.000,unknown
1750.0,4.500,0100,4,3,0.900,snare
1875.0,4.750,1000,3,4,0.850,synth
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1001,4,2,0.950,kick
2125.0,5.250,0000,0,4,1.000,unknown
2250.0,5.500,0110,4,3,0.900,snare
2375.0,5.750,0001,3,4,0.880,synth
2500.0,6.000,1000,2,2,0.950,kick
2625.0,6.250,0000,0,4,1.000,unknown
2750.0,6.500,0110,4,3,0.900,snare
2875.0,6.750,0000,0,4,1.000,unknown
3000.0,7.000,1001,2,2,0.950,kick
3125.0,7.250,1000,3,4,0.820,melody
3250.0,7.500,0100,4,3,0.900,snare
3375.0,7.750,0010,3,4,0.850,melody
3500.0,8.000,1000,2,2,0.950,kick
3625.0,8.250,0000,0,4,1.000,unknown
3750.0,8.500,0110,4,3,0.900,snare
3875.0,8.750,1000,3,4,0.850,synth
4000.0,9.000,",",-1,-1,1.000,separator
4000.0,9.000,1001,4,2,0.950,kick
4125.0,9.250,0100,3,4,0.880,synth
4250.0,9.500,0010,4,3,0.920,snare
4375.0,9.750,0100,3,4,0.850,synth
4500.0,10.000,1000,2,2,0.950,kick
4625.0,10.250,0001,3,4,0.820,melody
4750.0,10.500,0100,4,3,0.900,snare
4875.0,10.750,0010,3,4,0.850,melody
5000.0,11.000,1001,2,2,0.950,kick
5125.0,11.250,0100,3,4,0.800,synth
5250.0,11.500,0110,4,3,0.900,snare
5375.0,11.750,0001,3,4,0.850,synth
5500.0,12.000,1000,2,2,0.950,kick
5625.0,12.250,0000,0,4,1.000,unknown
5750.0,12.500,0110,4,3,0.900,snare
5875.0,12.750,1001,3,4,0.880,synth
6000.0,13.000,",",-1,-1,1.000,separator
6000.0,13.000,1100,4,2,0.960,kick
6125.0,13.250,0011,3,4,0.890,synth
6250.0,13.500,0110,4,3,0.930,snare
6375.0,13.750,1100,3,4,0.870,synth
6500.0,14.000,0011,2,2,0.950,kick
6625.0,14.250,1000,3,4,0.840,melody
6750.0,14.500,0110,4,3,0.920,snare
6875.0,14.750,0001,3,4,0.860,melody
7000.0,15.000,1100,2,2,0.950,kick
7125.0,15.250,0011,3,4,0.880,synth
7250.0,15.500,0110,4,3,0.920,snare
7375.0,15.750,1000,3,4,0.850,synth
7500.0,16.000,1111,2,2,0.980,kick
7625.0,16.250,0000,0,4,1.000,unknown
7750.0,16.500,0110,4,3,0.940,snare
7875.0,16.750,1010,3,4,0.900,synth
8000.0,17.000,",",-1,-1,1.000,separator
8000.0,17.000,1001,4,2,0.950,kick
8125.0,17.250,0000,0,4,1.000,unknown
8250.0,17.500,0110,4,3,0.900,snare
8375.0,17.750,0000,0,4,1.000,unknown
8500.0,18.000,1001,2,2,0.950,kick
8625.0,18.250,0100,3,4,0.850,synth
8750.0,18.500,0110,4,3,0.900,snare
8875.0,18.750,0010,3,4,0.850,synth
9000.0,19.000,1001,2,2,0.950,kick
9125.0,19.250,0000,0,4,1.000,unknown
9250.0,19.500,0110,4,3,0.900,snare
9375.0,19.750,0000,0,4,1.000,unknown
9500.0,20.000,1001,2,2,0.950,kick
9625.0,20.250,0010,3,4,0.850,melody
9750.0,20.500,0110,4,3,0.900,snare
9875.0,20.750,1000,3,4,0.880,melody
10000.0,21.000,",",-1,-1,1.000,separator
10000.0,21.000,1000,4,2,0.900,kick
10125.0,21.250,0000,0,4,1.000,unknown
10250.0,21.500,0000,0,3,1.000,unknown
10375.0,21.750,0000,0,4,1.000,unknown
10500.0,22.000,0010,4,2,0.900,kick
10625.0,22.250,0000,0,4,1.000,unknown
10750.0,22.500,0000,0,3,1.000,unknown
10875.0,22.750,0000,0,4,1.000,unknown
11000.0,23.000,1000,4,2,0.900,kick
11125.0,23.250,0000,0,4,1.000,unknown
11250.0,23.500,0000,0,3,1.000,unknown
11375.0,23.750,0000,0,4,1.000,unknown
11500.0,24.000,0010,4,2,0.900,kick
11625.0,24.250,0000,0,4,1.000,unknown
11750.0,24.500,0000,0,3,1.000,unknown
11875.0,24.750,0000,0,4,1.000,unknown
12000.0,25.000,",",-1,-1,1.000,separator
12000.0,25.000,1010,4,2,0.950,kick
12250.0,25.500,0100,4,3,0.900,snare
12500.0,26.000,0010,4,2,0.900,kick
12750.0,26.500,0100,4,3,0.900,snare
13000.0,27.000,1010,4,2,0.950,kick
13250.0,27.500,0100,4,3,0.900,snare
13500.0,28.000,0010,4,2,0.900,kick
13750.0,28.500,0100,4,3,0.900,snare
14000.0,29.000,",",-1,-1,1.000,separator
14000.0,29.000,1001,4,2,0.950,kick
14125.0,29.250,1001,4,4,0.950,kick
14250.0,29.500,0110,4,3,0.950,snare
14375.0,29.750,0110,4,4,0.950,snare
14500.0,30.000,1001,4,2,0.950,kick
14625.0,30.250,1001,4,4,0.950,kick
14750.0,30.500,0110,4,3,0.950,snare
14875.0,30.750,0110,4,4,0.950,snare
15000.0,31.000,1001,4,2,0.950,kick
15125.0,31.250,1001,4,4,0.950,kick
15250.0,31.500,0110,4,3,0.950,snare
15375.0,31.750,0110,4,4,0.950,snare
15500.0,32.000,1001,4,2,0.950,kick
15625.0,32.250,1001,4,4,0.950,kick
15750.0,32.500,0110,4,3,0.950,snare
15875.0,32.750,0110,4,4,0.950,snare
16000.0,33.000,",",-1,-1,1.000,separator
16000.0,33.000,1100,4,2,0.900,kick
16125.0,33.250,0011,3,4,0.850,synth
16250.0,33.500,1100,4,3,0.900,kick
16375.0,33.750,0011,3,4,0.850,synth
16500.0,34.000,1100,4,2,0.900,kick
16625.0,34.250,0011,3,4,0.850,synth
16750.0,34.500,1100,4,3,0.900,kick
16875.0,34.750,0011,3,4,0.850,synth
17000.0,35.000,1100,4,2,0.900,kick
17125.0,35.250,0011,3,4,0.850,synth
17250.0,35.500,1100,4,3,0.900,kick
17375.0,35.750,0011,3,4,0.850,synth
17500.0,36.000,1100,4,2,0.900,kick
17625.0,36.250,0011,3,4,0.850,synth
17750.0,36.500,1100,4,3,0.900,kick
17875.0,36.750,0011,3,4,0.850,synth
18000.0,37.000,",",-1,-1,1.000,separator
18000.0,37.000,1001,4,2,0.900,kick
18500.0,38.000,0110,4,2,0.900,snare
19000.0,39.000,1001,4,2,0.900,kick
19500.0,40.000,0110,4,2,0.900,snare
20000.0,41.000,",",-1,-1,1.000,separator
20000.0,41.000,1000,4,2,0.950,kick
20125.0,41.250,1000,4,4,0.950,kick
20250.0,41.500,0100,4,3,0.950,snare
20375.0,41.750,0100,4,4,0.950,snare
20500.0,42.000,0010,4,2,0.950,kick
20625.0,42.250,0010,4,4,0.950,kick
20750.0,42.500,0001,4,3,0.950,snare
20875.0,42.750,0001,4,4,0.950,snare
21000.0,43.000,1000,4,2,0.950,kick
21125.0,43.250,1000,4,4,0.950,kick
21250.0,43.500,0100,4,3,0.950,snare
21375.0,43.750,0100,4,4,0.950,snare
21500.0,44.000,0010,4,2,0.950,kick
21625.0,44.250,0010,4,4,0.950,kick
21750.0,44.500,0001,4,3,0.950,snare
21875.0,44.750,0001,4,4,0.950,snare
22000.0,45.000,",",-1,-1,1.000,separator
22000.0,45.000,1111,4,2,1.000,kick
23000.0,47.000,1111,4,2,1.000,kick
24000.0,49.000,",",-1,-1,1.000,separator
24000.0,49.000,1001,4,2,0.900,kick
24125.0,49.250,0110,3,4,0.850,synth
24250.0,49.500,1001,4,3,0.900,kick
24375.0,49.750,0110,3,4,0.850,synth
24500.0,50.000,1001,4,2,0.900,kick
24625.0,50.250,0110,3,4,0.850,synth
24750.0,50.500,1001,4,3,0.900,kick
24875.0,50.750,0110,3,4,0.850,synth
25000.0,51.000,1001,4,2,0.900,kick
25125.0,51.250,0110,3,4,0.850,synth
25250.0,51.500,1001,4,3,0.900,kick
25375.0,51.750,0110,3,4,0.850,synth
25500.0,52.000,1001,4,2,0.900,kick
25625.0,52.250,0110,3,4,0.850,synth
25750.0,52.500,1001,4,3,0.900,kick
25875.0,52.750,0110,3,4,0.850,synth
26000.0,53.000,",",-1,-1,1.000,separator
26000.0,53.000,1111,4,2,1.000,kick
26500.0,54.000,1111,4,2,1.000,kick
27000.0,55.000,1111,4,2,1.000,kick
27500.0,56.000,1111,4,2,1.000,kick
28000.0,57.000,",",-1,-1,1.000,separator
28000.0,57.000,1000,4,2,0.900,kick
28250.0,57.500,0100,4,3,0.900,snare
28500.0,58.000,0010,4,2,0.900,kick
28750.0,58.500,0001,4,3,0.900,snare
29000.0,59.000,1000,4,2,0.900,kick
29250.0,59.500,0100,4,3,0.900,snare
29500.0,60.000,0010,4,2,0.900,kick
29750.0,60.500,0001,4,3,0.900,snare
30000.0,61.000,",",-1,-1,1.000,separator
30000.0,61.000,1100,4,2,0.950,kick
30500.0,62.000,0011,4,2,0.950,kick
31000.0,63.000,1100,4,2,0.950,kick
31500.0,64.000,0011,4,2,0.950,kick
32000.0,65.000,",",-1,-1,1.000,separator
32000.0,65.000,1000,4,2,0.900,kick
32125.0,65.250,0100,3,4,0.850,synth
32250.0,65.500,0010,4,3,0.900,snare
32375.0,65.750,0001,3,4,0.850,synth
32500.0,66.000,1000,4,2,0.900,kick
32625.0,66.250,0100,3,4,0.850,synth
32750.0,66.500,0010,4,3,0.900,snare
32875.0,66.750,0001,3,4,0.850,synth
33000.0,67.000,1000,4,2,0.900,kick
33125.0,67.250,0100,3,4,0.850,synth
33250.0,67.500,0010,4,3,0.900,snare
33375.0,67.750,0001,3,4,0.850,synth
33500.0,68.000,1000,4,2,0.900,kick
33625.0,68.250,0100,3,4,0.850,synth
33750.0,68.500,0010,4,3,0.900,snare
33875.0,68.750,0001,3,4,0.850,synth
34000.0,69.000,",",-1,-1,1.000,separator
34000.0,69.000,1001,4,2,0.950,kick
34500.0,70.000,0110,4,2,0.950,snare
35000.0,71.000,1001,4,2,0.950,kick
35500.0,72.000,0110,4,2,0.950,snare
36000.0,73.000,",",-1,-1,1.000,separator
36000.0,73.000,1000,4,2,0.900,kick
36125.0,73.250,1000,4,4,0.900,kick
36250.0,73.500,0100,4,3,0.900,snare
36375.0,73.750,0100,4,4,0.900,snare
36500.0,74.000,0010,4,2,0.900,kick
36625.0,74.250,0010,4,4,0.900,kick
36750.0,74.500,0001,4,3,0.900,snare
36875.0,74.750,0001,4,4,0.900,snare
37000.0,75.000,1000,4,2,0.900,kick
37125.0,75.250,1000,4,4,0.900,kick
37250.0,75.500,0100,4,3,0.900,snare
37375.0,75.750,0100,4,4,0.900,snare
37500.0,76.000,0010,4,2,0.900,kick
37625.0,76.250,0010,4,4,0.900,kick
37750.0,76.500,0001,4,3,0.900,snare
37875.0,76.750,0001,4,4,0.900,snare
38000.0,77.000,",",-1,-1,1.000,separator
38000.0,77.000,1100,4,2,0.950,kick
38250.0,77.500,0011,4,3,0.950,snare
38500.0,78.000,1100,4,2,0.950,kick
38750.0,78.500,0011,4,3,0.950,snare
39000.0,79.000,1100,4,2,0.950,kick
39250.0,79.500,0011,4,3,0.950,snare
39500.0,80.000,1100,4,2,0.950,kick
39750.0,80.500,0011,4,3,0.950,snare
40000.0,81.000,",",-1,-1,1.000,separator
40000.0,81.000,1111,4,2,1.000,kick
41000.0,83.000,1111,4,2,1.000,kick
42000.0,85.000,",",-1,-1,1.000,separator
42000.0,85.000,1000,4,2,0.900,kick
42250.0,85.500,0100,4,3,0.900,snare
42500.0,86.000,0010,4,2,0.900,kick
42750.0,86.500,0001,4,3,0.900,snare
43000.0,87.000,1000,4,2,0.900,kick
43250.0,87.500,0100,4,3,0.900,snare
43500.0,88.000,0010,4,2,0.900,kick
43750.0,88.500,0001,4,3,0.900,snare
44000.0,89.000,",",-1,-1,1.000,separator
44000.0,89.000,1100,4,2,0.950,kick
44500.0,90.000,0011,4,2,0.950,kick
45000.0,91.000,1100,4,2,0.950,kick
45500.0,92.000,0011,4,2,0.950,kick
46000.0,93.000,",",-1,-1,1.000,separator
46000.0,93.000,1001,4,2,0.950,kick
46500.0,94.000,0110,4,2,0.950,snare
47000.0,95.000,1001,4,2,0.950,kick
47500.0,96.000,0110,4,2,0.950,snare
48000.0,97.000,",",-1,-1,1.000,separator
48000.0,97.000,1111,4,2,1.000,kick
49000.0,99.000,1111,4,2,1.000,kick
50000.0,101.000,",",-1,-1,1.000,separator
50000.0,101.000,1000,4,2,0.900,kick
50125.0,101.250,0100,3,4,0.800,synth
50250.0,101.500,0010,4,3,0.900,snare
50375.0,101.750,0001,3,4,0.800,synth
50500.0,102.000,1000,4,2,0.900,kick
50625.0,102.250,0100,3,4,0.800,synth
50750.0,102.500,0010,4,3,0.900,snare
50875.0,102.750,0001,3,4,0.800,synth
