time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,0100,4,2,0.920,kick
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,1000,4,3,0.850,snare
875.0,2.750,0001,4,3,0.800,synth
1000.0,3.000,0010,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0101,4,3,0.840,snare
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,1000,4,2,0.940,kick
1625.0,4.250,0100,4,3,0.820,synth
1750.0,4.500,0010,4,3,0.790,snare
1875.0,4.750,0001,4,3,0.880,synth
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1001,4,2,0.960,kick
2125.0,5.250,0000,0,3,1.000,unknown
2250.0,5.500,0100,4,3,0.870,snare
2375.0,5.750,0010,4,3,0.810,synth
2500.0,6.000,1000,4,2,0.930,kick
2625.0,6.250,0000,0,3,1.000,unknown
2750.0,6.500,0001,4,3,0.860,snare
2875.0,6.750,0000,0,3,1.000,unknown
3000.0,7.000,0110,4,2,0.900,kick
3125.0,7.250,0000,0,3,1.000,unknown
3250.0,7.500,1000,4,3,0.850,snare
3375.0,7.750,0100,4,3,0.830,synth
3500.0,8.000,0010,4,2,0.920,kick
3625.0,8.250,0001,4,3,0.890,synth
3750.0,8.500,1000,4,3,0.820,snare
3875.0,8.750,0000,0,3,1.000,unknown
4000.0,9.000,",",-1,-1,1.000,separator
