time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,1,2,0.900,kick
444.44,1.000,0000,0,2,1.000,unknown
888.89,2.000,0010,2,2,0.800,snare
1333.33,3.000,0000,0,2,1.000,unknown
1777.78,4.000,",",-1,-1,1.000,separator
1777.78,4.000,1000,1,2,0.900,kick
2222.22,5.000,0000,0,2,1.000,unknown
2666.67,6.000,0010,2,2,0.800,snare
3111.11,7.000,0000,0,2,1.000,unknown
3555.56,8.000,",",-1,-1,1.000,separator
3555.56,8.000,1001,1,2,0.950,kick
4000.0,9.000,0000,0,2,1.000,unknown
4444.44,10.000,0100,2,2,0.850,snare
4888.89,11.000,0000,0,2,1.000,unknown
5333.33,12.000,",",-1,-1,1.000,separator
5333.33,12.000,1000,1,2,0.900,kick
5777.78,13.000,0000,0,2,1.000,unknown
6222.22,14.000,0010,2,2,0.800,snare
6666.67,15.000,0000,0,2,1.000,unknown
7111.11,16.000,",",-1,-1,1.000,separator
7111.11,16.000,0001,1,2,0.900,kick
7555.56,17.000,0000,0,2,1.000,unknown
8000.0,18.000,0100,2,2,0.800,snare
8444.44,19.000,0000,0,2,1.000,unknown
8888.89,20.000,",",-1,-1,1.000,separator
8888.89,20.000,1000,1,3,0.900,kick
9111.11,20.500,0000,0,3,1.000,unknown
9333.33,21.000,0000,0,3,1.000,unknown
9555.56,21.500,0010,3,3,0.700,hat
9777.78,22.000,0100,2,3,0.850,snare
10000.0,22.500,0000,0,3,1.000,unknown
10222.22,23.000,0001,2,3,0.800,kick
10444.44,23.500,0000,0,3,1.000,unknown
10666.67,24.000,",",-1,-1,1.000,separator
10666.67,24.000,1000,1,3,0.900,kick
10888.89,24.500,0000,0,3,1.000,unknown
11111.11,25.000,0010,3,3,0.700,hat
11333.33,25.500,0000,0,3,1.000,unknown
11555.56,26.000,0100,2,3,0.850,snare
11777.78,26.500,0000,0,3,1.000,unknown
12000.0,27.000,0001,2,3,0.800,kick
12222.22,27.500,1000,3,3,0.800,kick
12444.44,28.000,",",-1,-1,1.000,separator
12444.44,28.000,0100,1,3,0.900,snare
12666.67,28.500,0000,0,3,1.000,unknown
12888.89,29.000,0010,3,3,0.700,hat
13111.11,29.500,0000,0,3,1.000,unknown
13333.33,30.000,1001,2,3,0.900,kick
13555.56,30.500,0000,0,3,1.000,unknown
13777.78,31.000,0010,2,3,0.800,snare
14000.0,31.500,0100,3,3,0.750,hat
14222.22,32.000,",",-1,-1,1.000,separator
14222.22,32.000,1000,1,2,0.950,kick
14333.33,32.250,0000,0,3,1.000,unknown
14444.44,32.500,0000,0,3,1.000,unknown
14555.56,32.750,0010,4,3,0.700,synth
14666.67,33.000,0000,0,2,1.000,unknown
14777.78,33.250,0000,0,3,1.000,unknown
14888.89,33.500,0100,4,3,0.850,snare
15000.0,33.750,0000,0,3,1.000,unknown
15111.11,34.000,0000,0,2,1.000,unknown
15222.22,34.250,0001,4,3,0.750,kick
15333.33,34.500,0000,0,3,1.000,unknown
15444.44,34.750,0010,4,3,0.700,hat
15555.56,35.000,1000,4,2,0.900,kick
15666.67,35.250,0000,0,3,1.000,unknown
15777.78,35.500,0000,0,3,1.000,unknown
15888.89,35.750,0100,4,3,0.800,snare
16000.0,36.000,",",-1,-1,1.000,separator
16000.0,36.000,1000,1,2,0.950,kick
16111.11,36.250,0000,0,3,1.000,unknown
16222.22,36.500,0000,0,3,1.000,unknown
16333.33,36.750,0001,4,3,0.750,kick
16444.44,37.000,0100,4,2,0.900,snare
16555.56,37.250,0000,0,3,1.000,unknown
16666.67,37.500,0010,4,3,0.800,kick
16777.78,37.750,0000,0,3,1.000,unknown
16888.89,38.000,1001,4,2,0.920,snare
17000.0,38.250,0000,0,3,1.000,unknown
17111.11,38.500,0100,4,3,0.750,hat
17222.22,38.750,0000,0,3,1.000,unknown
17333.33,39.000,1000,4,2,0.900,kick
17444.44,39.250,0000,0,3,1.000,unknown
17555.56,39.500,0010,4,3,0.850,snare
17666.67,39.750,0000,0,3,1.000,unknown
17777.78,40.000,",",-1,-1,1.000,separator
17777.78,40.000,1000,1,2,0.900,kick
17888.89,40.250,0010,4,3,0.700,hat
18000.0,40.500,0000,0,3,1.000,unknown
18111.11,40.750,0100,4,3,0.800,snare
18222.22,41.000,0000,0,2,1.000,unknown
18333.33,41.250,0001,4,3,0.750,kick
18444.44,41.500,0000,0,3,1.000,unknown
18555.56,41.750,1000,4,3,0.850,snare
18666.67,42.000,0010,4,2,0.900,kick
18777.78,42.250,0000,0,3,1.000,unknown
18888.89,42.500,0100,4,3,0.800,hat
19000.0,42.750,0000,0,3,1.000,unknown
19111.11,43.000,1001,4,2,0.950,kick
19222.22,43.250,0000,0,3,1.000,unknown
19333.33,43.500,0000,0,3,1.000,unknown
19444.44,43.750,0100,4,3,0.850,snare
19555.56,44.000,",",-1,-1,1.000,separator
19555.56,44.000,1000,1,2,0.900,kick
19666.67,44.250,0000,0,3,1.000,unknown
19777.78,44.500,0010,4,3,0.700,hat
19888.89,44.750,0000,0,3,1.000,unknown
20000.0,45.000,0100,4,2,0.850,snare
20111.11,45.250,0000,0,3,1.000,unknown
20222.22,45.500,1000,4,3,0.800,kick
20333.33,45.750,0000,0,3,1.000,unknown
20444.44,46.000,0001,4,2,0.900,kick
20555.56,46.250,0010,4,3,0.750,hat
20666.67,46.500,0000,0,3,1.000,unknown
20777.78,46.750,0000,0,3,1.000,unknown
20888.89,47.000,1000,4,2,0.900,snare
21000.0,47.250,0000,0,3,1.000,unknown
21111.11,47.500,0000,0,3,1.000,unknown
21222.22,47.750,0100,4,3,0.800,hat
21333.33,48.000,",",-1,-1,1.000,separator
21333.33,48.000,1000,1,2,0.900,kick
21444.44,48.250,0000,0,3,1.000,unknown
21555.56,48.500,0010,4,3,0.750,hat
21666.67,48.750,0000,0,3,1.000,unknown
21777.78,49.000,0100,4,2,0.850,snare
21888.89,49.250,0000,0,3,1.000,unknown
22000.0,49.500,1000,4,3,0.800,kick
22111.11,49.750,0000,0,3,1.000,unknown
22222.22,50.000,0001,4,2,0.900,kick
22333.33,50.250,0010,4,3,0.750,hat
22444.44,50.500,0000,0,3,1.000,unknown
22555.56,50.750,0000,0,3,1.000,unknown
22666.67,51.000,1000,4,2,0.900,snare
22777.78,51.250,0000,0,3,1.000,unknown
22888.89,51.500,0100,4,3,0.800,hat
23000.0,51.750,0000,0,3,1.000,unknown
23111.11,52.000,",",-1,-1,1.000,separator
23111.11,52.000,1000,1,2,0.950,kick
23555.56,53.000,0010,2,2,0.800,snare
24000.0,54.000,0100,2,2,0.800,snare
24444.44,55.000,1001,1,2,0.900,kick
24888.89,56.000,",",-1,-1,1.000,separator
24888.89,56.000,1000,1,2,0.900,kick
25000.0,56.250,0000,0,3,1.000,unknown
25111.11,56.500,0000,0,3,1.000,unknown
25222.22,56.750,0010,4,3,0.700,hat
25333.33,57.000,0100,4,2,0.850,snare
25444.44,57.250,0000,0,3,1.000,unknown
25555.56,57.500,0001,4,3,0.800,kick
25666.67,57.750,0000,0,3,1.000,unknown
25777.78,58.000,1001,4,2,0.900,snare
25888.89,58.250,0000,0,3,1.000,unknown
26000.0,58.500,0100,4,3,0.750,hat
26111.11,58.750,0000,0,3,1.000,unknown
26222.22,59.000,1000,4,2,0.900,kick
26333.33,59.250,0000,0,3,1.000,unknown
26444.44,59.500,0010,4,3,0.850,snare
26555.56,59.750,0000,0,3,1.000,unknown
26666.67,60.000,",",-1,-1,1.000,separator
26666.67,60.000,1000,1,2,0.900,kick
27111.11,61.000,0010,2,2,0.800,snare
27555.56,62.000,0100,2,2,0.800,snare
28000.0,63.000,0001,2,2,0.900,kick
28444.44,64.000,",",-1,-1,1.000,separator
28444.44,64.000,1000,1,2,0.950,kick
28555.56,64.250,0000,0,3,1.000,unknown
28666.67,64.500,0010,4,3,0.750,hat
28777.78,64.750,0000,0,3,1.000,unknown
28888.89,65.000,0100,4,2,0.850,snare
29000.0,65.250,0000,0,3,1.000,unknown
29111.11,65.500,1000,4,3,0.800,kick
29222.22,65.750,0000,0,3,1.000,unknown
29333.33,66.000,0001,4,2,0.900,kick
29444.44,66.250,0010,4,3,0.750,hat
29555.56,66.500,0000,0,3,1.000,unknown
29666.67,66.750,0000,0,3,1.000,unknown
29777.78,67.000,1000,4,2,0.900,snare
29888.89,67.250,0000,0,3,1.000,unknown
30000.0,67.500,0100,4,3,0.800,hat
30111.11,67.750,0000,0,3,1.000,unknown
30222.22,68.000,",",-1,-1,1.000,separator
30222.22,68.000,1000,1,2,0.900,kick
30666.67,69.000,0010,2,2,0.800,snare
31111.11,70.000,0000,0,2,1.000,unknown
31555.56,71.000,0100,2,2,0.800,snare
32000.0,72.000,",",-1,-1,1.000,separator
32000.0,72.000,0001,1,2,0.900,kick
32444.44,73.000,0000,0,2,1.000,unknown
32888.89,74.000,1000,2,2,0.850,snare
33333.33,75.000,0010,2,2,0.800,kick
33777.78,76.000,",",-1,-1,1.000,separator
33777.78,76.000,1001,1,2,0.950,kick
33888.89,76.250,0000,0,3,1.000,unknown
34000.0,76.500,0100,4,3,0.750,hat
34111.11,76.750,0000,0,3,1.000,unknown
34222.22,77.000,0010,4,2,0.850,snare
34333.33,77.250,0000,0,3,1.000,unknown
34444.44,77.500,0001,4,3,0.800,kick
34555.56,77.750,0000,0,3,1.000,unknown
34666.67,78.000,1000,4,2,0.900,kick
34777.78,78.250,0010,4,3,0.750,hat
34888.89,78.500,0000,0,3,1.000,unknown
35000.0,78.750,0000,0,3,1.000,unknown
35111.11,79.000,0100,4,2,0.900,snare
35222.22,79.250,0000,0,3,1.000,unknown
35333.33,79.500,1000,4,3,0.800,hat
35444.44,79.750,0000,0,3,1.000,unknown
35555.56,80.000,",",-1,-1,1.000,separator
35555.56,80.000,1000,1,2,0.950,kick
35666.67,80.250,0000,0,3,1.000,unknown
35777.78,80.500,0100,4,3,0.750,hat
35888.89,80.750,0000,0,3,1.000,unknown
36000.0,81.000,0010,4,2,0.850,snare
36111.11,81.250,0000,0,3,1.000,unknown
36222.22,81.500,0001,4,3,0.800,kick
36333.33,81.750,0000,0,3,1.000,unknown
36444.44,82.000,1000,4,2,0.900,kick
36555.56,82.250,0010,4,3,0.750,hat
36666.67,82.500,0000,0,3,1.000,unknown
36777.78,82.750,0000,0,3,1.000,unknown
36888.89,83.000,0100,4,2,0.900,snare
37000.0,83.250,0000,0,3,1.000,unknown
37111.11,83.500,1000,4,3,0.800,hat
37222.22,83.750,0000,0,3,1.000,unknown
37333.33,84.000,",",-1,-1,1.000,separator
37333.33,84.000,0001,1,2,0.900,kick
37777.78,85.000,0100,2,2,0.800,snare
38222.22,86.000,1000,2,2,0.800,snare
38666.67,87.000,0010,2,2,0.900,kick
39111.11,88.000,",",-1,-1,1.000,separator
39111.11,88.000,1000,1,2,0.950,kick
39222.22,88.250,0000,0,3,1.000,unknown
39333.33,88.500,0100,4,3,0.750,hat
39444.44,88.750,0000,0,3,1.000,unknown
39555.56,89.000,0010,4,2,0.850,snare
39666.67,89.250,0000,0,3,1.000,unknown
39777.78,89.500,0001,4,3,0.800,kick
39888.89,89.750,0000,0,3,1.000,unknown
40000.0,90.000,1000,4,2,0.900,kick
40111.11,90.250,0010,4,3,0.750,hat
40222.22,90.500,0000,0,3,1.000,unknown
40333.33,90.750,0000,0,3,1.000,unknown
40444.44,91.000,0100,4,2,0.900,snare
40555.56,91.250,0000,0,3,1.000,unknown
40666.67,91.500,1000,4,3,0.800,hat
40777.78,91.750,0000,0,3,1.000,unknown
40888.89,92.000,",",-1,-1,1.000,separator
40888.89,92.000,0001,1,2,0.900,kick
41333.33,93.000,0100,2,2,0.800,snare
41777.78,94.000,1000,2,2,0.800,snare
42222.22,95.000,0010,2,2,0.900,kick
42666.67,96.000,",",-1,-1,1.000,separator
42666.67,96.000,1000,1,2,0.950,kick
42777.78,96.250,0000,0,3,1.000,unknown
42888.89,96.500,0010,4,3,0.750,hat
43000.0,96.750,0000,0,3,1.000,unknown
43111.11,97.000,0100,4,2,0.850,snare
43222.22,97.250,0000,0,3,1.000,unknown
43333.33,97.500,1000,4,3,0.800,kick
43444.44,97.750,0000,0,3,1.000,unknown
43555.56,98.000,0001,4,2,0.900,kick
43666.67,98.250,0010,4,3,0.750,hat
43777.78,98.500,0000,0,3,1.000,unknown
43888.89,98.750,0000,0,3,1.000,unknown
44000.0,99.000,1000,4,2,0.900,snare
44111.11,99.250,0000,0,3,1.000,unknown
44222.22,99.500,0100,4,3,0.800,hat
44333.33,99.750,0000,0,3,1.000,unknown
44444.44,100.000,",",-1,-1,1.000,separator
44444.44,100.000,1000,1,2,0.900,kick
44888.89,101.000,0010,2,2,0.800,snare
45333.33,102.000,0100,2,2,0.800,snare
45777.78,103.000,0001,2,2,0.900,kick
46222.22,104.000,",",-1,-1,1.000,separator
46222.22,104.000,1000,1,2,0.950,kick
46333.33,104.250,0000,0,3,1.000,unknown
46444.44,104.500,0010,4,3,0.750,hat
46555.56,104.750,0000,0,3,1.000,unknown
46666.67,105.000,0100,4,2,0.850,snare
46777.78,105.250,0000,0,3,1.000,unknown
46888.89,105.500,1000,4,3,0.800,kick
47000.0,105.750,0000,0,3,1.000,unknown
47111.11,106.000,0001,4,2,0.900,kick
47222.22,106.250,0010,4,3,0.750,hat
47333.33,106.500,0000,0,3,1.000,unknown
47444.44,106.750,0000,0,3,1.000,unknown
47555.56,107.000,1000,4,2,0.900,snare
47666.67,107.250,0000,0,3,1.000,unknown
47777.78,107.500,0100,4,3,0.800,hat
47888.89,107.750,0000,0,3,1.000,unknown
48000.0,108.000,",",-1,-1,1.000,separator
48000.0,108.000,1000,1,2,0.900,kick
48444.44,109.000,0010,2,2,0.800,snare
48888.89,110.000,0100,2,2,0.800,snare
49333.33,111.000,0001,2,2,0.900,kick
49777.78,112.000,",",-1,-1,1.000,separator
49777.78,112.000,1000,1,2,0.950,kick
49888.89,112.250,0000,0,3,1.000,unknown
50000.0,112.500,0010,4,3,0.750,hat
50111.11,112.750,0000,0,3,1.000,unknown
50222.22,113.000,0100,4,2,0.850,snare
50333.33,113.250,0000,0,3,1.000,unknown
50444.44,113.500,1000,4,3,0.800,kick
50555.56,113.750,0000,0,3,1.000,unknown
50666.67,114.000,0001,4,2,0.900,kick
50777.78,114.250,0010,4,3,0.750,hat
50888.89,114.500,0000,0,3,1.000,unknown
51000.0,114.750,0000,0,3,1.000,unknown
51111.11,115.000,1000,4,2,0.900,snare
51222.22,115.250,0000,0,3,1.000,unknown
51333.33,115.500,0100,4,3,0.800,hat
51444.44,115.750,0000,0,3,1.000,unknown
51555.56,116.000,",",-1,-1,1.000,separator
51555.56,116.000,1000,1,2,0.900,kick
52000.0,117.000,0010,2,2,0.800,snare
52444.44,118.000,0100,2,2,0.800,snare
52888.89,119.000,0001,2,2,0.900,kick
53333.33,120.000,",",-1,-1,1.000,separator
53333.33,120.000,1001,1,2,0.950,kick
53444.44,120.250,0000,0,3,1.000,unknown
53555.56,120.500,0010,4,3,0.750,hat
53666.67,120.750,0000,0,3,1.000,unknown
53777.78,121.000,0100,4,2,0.850,snare
53888.89,121.250,0000,0,3,1.000,unknown
54000.0,121.500,1000,4,3,0.800,kick
54111.11,121.750,0000,0,3,1.000,unknown
54222.22,122.000,0001,4,2,0.900,kick
54333.33,122.250,0010,4,3,0.750,hat
54444.44,122.500,0000,0,3,1.000,unknown
54555.56,122.750,0000,0,3,1.000,unknown
54666.67,123.000,1000,4,2,0.900,snare
54777.78,123.250,0000,0,3,1.000,unknown
