onset_index,onset_ms
0,0.0
1,2.0
2,123.4
3,246.8
4,297.12
5,333.93
6,372.02
7,413.07
8,456.0
9,499.97
10,543.94
11,587.93
12,631.92
13,675.91
14,719.9
15,763.89
16,807.88
17,851.87
18,895.86
19,940.85
20,984.84
21,1028.83
22,1072.82
23,1116.81
24,1160.8
25,1204.79
26,1248.78
27,1292.77
28,1336.76
29,1380.75
30,1424.74
31,1468.73
32,1512.72
33,1556.71
34,1600.7
35,1644.69
36,1688.68
37,1732.67
38,1776.66
39,1820.65
40,1864.64
41,1908.63
42,1952.62
43,1996.61
44,2040.6
45,2084.59
46,2128.58
47,2172.57
48,2216.56
49,2260.55
50,2304.54
51,2348.53
52,2392.52
53,2436.51
54,2480.5
55,2524.49
56,2568.48
57,2612.47
58,2656.46
59,2700.45
60,2744.44
61,2788.43
62,2832.42
63,2876.41
64,2920.4
65,2964.39
66,3008.38
67,3052.37
68,3096.36
69,3140.35
70,3184.34
71,3228.33
72,3272.32
73,3316.31
74,3360.3
75,3404.29
76,3448.28
77,3492.27
78,3536.26
79,3580.25
80,3624.24
81,3668.23
82,3712.22
83,3756.21
84,3800.2
85,3844.19
86,3888.18
87,3932.17
88,3976.16
89,4020.15
90,4064.14
91,4108.13
92,4152.12
93,4196.11
94,4240.1
95,4284.09
96,4328.08
97,4372.07
98,4416.06
99,4460.05
100,4504.04
101,4548.03
102,4592.02
103,4636.01
104,4680.0
105,4724.0
106,4768.0
107,4812.0
108,4856.0
109,4900.0
110,4944.0
111,4988.0
112,5032.0
113,5076.0
114,5120.0
115,5164.0
116,5208.0
117,5252.0
118,5296.0
119,5340.0
120,5384.0
121,5428.0
122,5472.0
123,5516.0
124,5560.0
125,5604.0
126,5648.0
127,5692.0
128,5736.0
129,5780.0
130,5824.0
131,5868.0
132,5912.0
133,5956.0
134,5999.99
135,6043.98
136,6087.97
137,6131.96
138,6175.95
139,6219.94
140,6263.93
141,6307.92
142,6351.91
143,6395.9
144,6439.89
145,6483.88
146,6527.87
147,6571.86
148,6615.85
149,6659.84
150,6703.83
151,6747.82
152,6791.81
153,6835.8
154,6879.79
155,6923.78
156,6967.77
157,7011.76
158,7055.75
159,7100.74
160,7144.73
161,7188.72
162,7232.71
163,7276.7
164,7320.69
165,7364.68
166,7408.67
167,7452.66
168,7496.65
169,7540.64
170,7584.63
171,7628.62
172,7672.61
173,7716.6
174,7760.59
175,7804.58
176,7848.57
177,7892.56
178,7936.55
179,7980.54
180,8024.53
181,8068.52
182,8112.51
183,8156.5
184,8200.49
185,8244.48
186,8288.47
187,8332.46
188,8376.45
189,8420.44
190,8464.43
191,8508.42
192,8552.41
193,8596.4
194,8640.39
195,8684.38
196,8728.37
197,8772.36
198,8816.35
199,8860.34
200,8904.33
201,8948.32
202,8992.31
203,9036.3
204,9080.29
205,9124.28
206,9168.27
207,9212.26
208,9256.25
209,9300.24
210,9344.23
211,9388.22
212,9432.21
213,9476.2
214,9520.19
215,9564.18
216,9608.17
217,9652.16
218,9696.15
