time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,4,2,0.950,kick
115.4,1.250,0000,0,4,1.000,unknown
230.8,1.500,0000,0,3,1.000,unknown
346.2,1.750,0100,3,4,0.850,synth
461.5,2.000,0010,4,2,0.900,snare
576.9,2.250,0000,0,4,1.000,unknown
692.3,2.500,0000,0,3,1.000,unknown
807.7,2.750,1000,3,4,0.820,synth
923.1,3.000,1001,4,2,0.950,kick
1038.5,3.250,0000,0,4,1.000,unknown
1153.8,3.500,0000,0,3,1.000,unknown
1269.2,3.750,0010,3,4,0.850,synth
1384.6,4.000,0100,4,2,0.900,snare
1500.0,4.250,0000,0,4,1.000,unknown
1615.4,4.500,0000,0,3,1.000,unknown
1730.8,4.750,0001,3,4,0.800,synth
1846.2,5.000,",",-1,-1,1.000,separator
1846.2,5.000,1100,4,2,0.950,kick
1961.5,5.250,0000,0,4,1.000,unknown
2076.9,5.500,0010,3,3,0.880,synth
2192.3,5.750,0001,3,4,0.880,synth
2307.7,6.000,0101,4,2,0.900,snare
2423.1,6.250,1000,3,4,0.820,synth
2538.5,6.500,0010,3,3,0.820,synth
2653.8,6.750,0100,3,4,0.820,synth
2769.2,7.000,1100,4,2,0.950,kick
2884.6,7.250,0000,0,4,1.000,unknown
3000.0,7.500,0001,3,3,0.880,synth
3115.4,7.750,0010,3,4,0.880,synth
3230.8,8.000,0110,4,2,0.900,snare
3346.2,8.250,1000,3,4,0.820,synth
3461.5,8.500,0100,3,3,0.820,synth
3576.9,8.750,0010,3,4,0.820,synth
3692.3,9.000,",",-1,-1,1.000,separator
3692.3,9.000,1001,4,2,0.950,kick
3807.7,9.250,0100,3,4,0.850,synth
3923.1,9.500,0010,3,3,0.850,synth
4038.5,9.750,0001,3,4,0.850,synth
4153.8,10.000,0101,4,2,0.920,snare
4269.2,10.250,1000,3,4,0.800,synth
4384.6,10.500,0010,3,3,0.800,synth
4500.0,10.750,0100,3,4,0.800,synth
4615.4,11.000,1010,4,2,0.950,kick
4730.8,11.250,0001,3,4,0.800,synth
4846.2,11.500,0010,3,3,0.800,synth
4961.5,11.750,1000,3,4,0.800,synth
5076.9,12.000,1111,4,2,0.900,snare
5192.3,12.250,0100,3,4,0.800,synth
5307.7,12.500,0010,3,3,0.800,synth
5423.1,12.750,0001,3,4,0.800,synth
5538.5,13.000,",",-1,-1,1.000,separator
133000.0,289.000,1001,4,2,0.900,kick
133115.4,289.250,0000,0,4,1.000,unknown
133230.8,289.500,0010,3,3,0.800,synth
133346.2,289.750,0000,0,4,1.000,unknown
133461.5,290.000,0110,4,2,0.900,snare
133576.9,290.250,0000,0,4,1.000,unknown
133692.3,290.500,0001,3,3,0.800,synth
133807.7,290.750,0000,0,4,1.000,unknown
133923.1,291.000,1001,4,2,0.900,kick
134038.5,291.250,0000,0,4,1.000,unknown
134153.8,291.500,0010,3,3,0.800,synth
134269.2,291.750,0000,0,4,1.000,unknown
134384.6,292.000,1111,4,2,0.950,kick
134500.0,292.250,0000,0,4,1.000,unknown
134615.4,292.500,0000,0,3,1.000,unknown
134730.8,292.750,0000,0,4,1.000,unknown
134800.0,293.000,",",-1,-1,1.000,separator
