time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,1000,4,2,0.920,kick
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,1001,4,2,0.910,kick
1125.0,3.250,0100,4,3,0.850,snare
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0010,4,3,0.770,melody
1500.0,4.000,1000,4,2,0.900,kick
1625.0,4.250,0001,4,3,0.800,melody
1750.0,4.500,0110,4,3,0.790,snare
1875.0,4.750,0000,0,3,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1100,4,2,0.950,kick
2250.0,5.500,0011,4,3,0.880,snare
2500.0,6.000,1001,4,2,0.920,kick
2750.0,6.500,0110,4,3,0.820,snare
3000.0,7.000,1100,4,2,0.910,kick
3250.0,7.500,0011,4,3,0.850,snare
3500.0,8.000,1001,4,2,0.900,kick
3750.0,8.500,0110,4,3,0.790,snare
4000.0,9.000,",",-1,-1,1.000,separator
4000.0,9.000,1001,4,2,0.950,kick
4125.0,9.250,0110,4,3,0.880,snare
4250.0,9.500,1001,4,2,0.920,kick
4375.0,9.750,0110,4,3,0.820,snare
4500.0,10.000,1001,4,2,0.910,kick
4625.0,10.250,0110,4,3,0.850,snare
4750.0,10.500,1001,4,2,0.900,kick
4875.0,10.750,0110,4,3,0.790,snare
5000.0,11.000,1001,4,2,0.950,kick
5125.0,11.250,0110,4,3,0.880,snare
5250.0,11.500,1001,4,2,0.920,kick
5375.0,11.750,0110,4,3,0.820,snare
5500.0,12.000,1001,4,2,0.910,kick
5625.0,12.250,0110,4,3,0.850,snare
5750.0,12.500,1001,4,2,0.900,kick
5875.0,12.750,0110,4,3,0.790,snare
6000.0,13.000,",",-1,-1,1.000,separator
6000.0,13.000,1010,4,2,0.950,kick
6500.0,14.000,0101,4,2,0.920,snare
7000.0,15.000,1010,4,2,0.910,kick
7500.0,16.000,0101,4,2,0.900,snare
8000.0,17.000,",",-1,-1,1.000,separator
8000.0,17.000,1111,4,1,0.950,synth
9000.0,19.000,1111,4,1,0.920,synth
10000.0,21.000,1111,4,1,0.910,synth
11000.0,23.000,1111,4,1,0.900,synth
12000.0,25.000,",",-1,-1,1.000,separator
12000.0,25.000,1000,4,2,0.950,kick
12250.0,25.500,0100,4,3,0.880,snare
12500.0,26.000,0010,4,3,0.850,melody
12750.0,26.500,0001,4,3,0.820,melody
13000.0,27.000,1000,4,2,0.910,kick
13250.0,27.500,0100,4,3,0.850,snare
13500.0,28.000,0010,4,3,0.800,melody
13750.0,28.500,0001,4,3,0.790,melody
14000.0,29.000,",",-1,-1,1.000,separator
14000.0,29.000,1000,4,2,0.950,kick
14125.0,29.250,0100,4,3,0.880,snare
14250.0,29.500,0010,4,3,0.850,melody
14375.0,29.750,0001,4,3,0.820,melody
14500.0,30.000,1000,4,2,0.910,kick
14625.0,30.250,0100,4,3,0.850,snare
14750.0,30.500,0010,4,3,0.820,melody
14875.0,30.750,0001,4,3,0.810,melody
15000.0,31.000,1000,4,2,0.900,kick
15125.0,31.250,0100,4,3,0.840,snare
15250.0,31.500,0010,4,3,0.820,melody
15375.0,31.750,0001,4,3,0.780,melody
15500.0,32.000,1000,4,2,0.890,kick
15625.0,32.250,0100,4,3,0.830,snare
15750.0,32.500,0010,4,3,0.810,melody
15875.0,32.750,0001,4,3,0.770,melody
16000.0,33.000,",",-1,-1,1.000,separator
16000.0,33.000,1011,4,2,0.950,kick
17000.0,35.000,0111,4,2,0.920,snare
18000.0,37.000,1101,4,2,0.910,kick
