time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
100.0,1.000,1000,1,2,0.900,kick
452.9,2.000,0001,3,2,0.800,synth
805.8,3.000,0100,2,2,0.850,kick
1158.7,4.000,0010,3,2,0.800,synth
1500.0,5.000,",",-1,-1,1.000,separator
1511.7,5.000,1000,1,2,0.900,kick
2217.6,7.000,0001,2,2,0.850,kick
2570.5,8.000,0100,3,2,0.800,synth
2900.0,9.000,",",-1,-1,1.000,separator
2923.5,9.000,1001,1,2,0.950,melody
3629.4,11.000,0110,2,2,0.900,melody
4335.2,13.000,",",-1,-1,1.000,separator
4335.2,13.000,0010,4,2,0.800,snare
5041.1,15.000,1000,2,2,0.850,kick
5747.0,17.000,",",-1,-1,1.000,separator
5747.0,17.000,0001,1,2,0.900,kick
6452.9,19.000,0100,2,2,0.850,kick
7158.8,21.000,",",-1,-1,1.000,separator
7158.8,21.000,1000,3,2,0.800,synth
7864.7,23.000,0010,2,2,0.850,snare
8570.5,25.000,",",-1,-1,1.000,separator
8570.5,25.000,1001,1,2,0.900,kick
9276.4,27.000,0110,3,2,0.800,synth
9982.3,29.000,",",-1,-1,1.000,separator
9982.3,29.000,1000,1,2,0.950,kick
10688.2,31.000,0001,2,2,0.900,kick
11300.0,33.000,",",-1,-1,1.000,separator
11394.1,33.000,0100,1,2,0.950,bass
12100.0,35.000,0010,2,2,0.850,snare
12805.8,37.000,",",-1,-1,1.000,separator
12805.8,37.000,1000,3,2,0.800,kick
13511.7,39.000,0001,2,2,0.850,kick
14217.6,41.000,",",-1,-1,1.000,separator
14217.6,41.000,0100,1,2,0.900,melody
14923.5,43.000,0010,2,2,0.850,snare
15629.4,45.000,",",-1,-1,1.000,separator
15629.4,45.000,1010,3,2,0.900,kick
16335.2,47.000,0101,2,2,0.850,kick
17041.1,49.000,",",-1,-1,1.000,separator
17041.1,49.000,1000,1,2,0.900,bass
17747.0,51.000,0001,2,2,0.850,bass
18452.9,53.000,",",-1,-1,1.000,separator
18452.9,53.000,0100,3,2,0.800,snare
19158.8,55.000,0010,2,2,0.850,snare
19864.7,57.000,",",-1,-1,1.000,separator
19864.7,57.000,1001,1,2,0.950,kick
20570.5,59.000,0110,2,2,0.900,kick
21276.4,61.000,",",-1,-1,1.000,separator
21276.4,61.000,0001,4,2,0.800,perc
21982.3,63.000,1000,4,2,0.850,perc
22688.2,65.000,",",-1,-1,1.000,separator
22688.2,65.000,0100,1,2,0.950,kick
23041.1,66.000,0010,2,2,0.850,snare
23394.1,67.000,0001,2,2,0.850,kick
