# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
112.3,2.25,0.00,0.21|0.37,True,0010,0000-10.1%|0001-15.0%|0010-9.6%|0100-6.4%|1000-3.7%|0011-9.2%|0101-5.3%|0110-15.8%|1001-3.0%|1010-3.3%|1100-0.0%|0111-10.6%|1011-0.0%|1101-0.0%|1110-3.6%|1111-4.2%,0010,2.06
112.3,2.25,0.53,0.56|0.72|0.93|1.02,True,0010,0000-10.7%|0001-16.2%|0010-3.4%|0100-6.7%|1000-4.0%|0011-9.2%|0101-5.8%|0110-17.1%|1001-3.3%|1010-3.6%|1100-0.0%|0111-12.0%|1011-0.0%|1101-0.0%|1110-3.7%|1111-4.4%,0010,1.85
112.3,2.25,1.07,1.09|1.44,True,0000,0000-9.9%|0001-15.2%|0010-0.0%|0100-7.0%|1000-4.6%|0011-9.1%|0101-5.9%|0110-16.7%|1001-3.6%|1010-4.2%|1100-0.0%|0111-11.8%|1011-3.5%|1101-0.0%|1110-4.0%|1111-4.6%,0000,1.85
112.3,2.25,1.60,1.67|1.79,True,0001,0000-10.8%|0001-15.2%|0010-0.0%|0100-6.9%|1000-4.4%|0011-8.8%|0101-5.8%|0110-16.7%|1001-3.6%|1010-4.2%|1100-0.0%|0111-11.5%|1011-3.4%|1101-0.0%|1110-4.0%|1111-4.7%,0001,1.85
112.3,2.25,2.14,2.14|2.51,True,0010,0000-11.5%|0001-6.9%|0010-22.7%|0100-7.2%|1000-3.4%|0011-12.1%|0101-5.1%|0110-19.9%|1001-0.0%|1010-4.1%|1100-0.0%|0111-7.2%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0010,1.91
112.3,2.25,2.67,2.86|3.20,True,0000,0000-13.3%|0001-9.6%|0010-18.2%|0100-7.8%|1000-0.0%|0011-14.2%|0101-5.6%|0110-20.5%|1001-0.0%|1010-3.0%|1100-0.0%|0111-7.9%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,1.93
112.3,2.25,3.20,3.55,True,0011,0000-11.9%|0001-9.1%|0010-20.3%|0100-7.6%|1000-0.0%|0011-13.9%|0101-5.6%|0110-21.0%|1001-0.0%|1010-2.4%|1100-0.0%|0111-8.1%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0011,1.90
112.3,2.25,3.74,3.76|3.85|3.92|4.25,True,0100,0000-13.9%|0001-10.0%|0010-20.5%|0100-8.0%|1000-2.6%|0011-6.2%|0101-5.6%|0110-21.4%|1001-0.0%|1010-3.2%|1100-0.0%|0111-8.7%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0100,1.91
112.3,2.25,4.27,4.62,True,1111,0000-9.1%|0001-5.4%|0010-16.7%|0100-0.0%|1000-4.8%|0011-13.9%|0101-6.6%|0110-18.6%|1001-3.3%|1010-4.6%|1100-0.0%|0111-10.2%|1011-3.8%|1101-0.0%|1110-0.0%|1111-2.9%,1111,2.02
112.3,2.25,4.81,4.97|5.32,True,0111,0000-8.7%|0001-5.2%|0010-20.0%|0100-3.0%|1000-4.0%|0011-14.6%|0101-7.0%|0110-19.1%|1001-0.0%|1010-4.2%|1100-0.0%|0111-10.8%|1011-3.5%|1101-0.0%|1110-0.0%|1111-0.0%,0111,2.02
112.3,2.25,5.34,5.67,True,0110,0000-9.3%|0001-5.3%|0010-29.2%|0100-3.0%|1000-3.4%|0011-15.4%|0101-7.1%|0110-20.1%|1001-0.0%|1010-3.3%|1100-0.0%|0111-3.8%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0110,2.01
112.3,2.25,5.87,6.04|6.39,True,0010,0000-10.2%|0001-5.9%|0010-29.3%|0100-3.2%|1000-4.1%|0011-16.7%|0101-7.7%|0110-10.2%|1001-0.0%|1010-4.1%|1100-0.0%|0111-5.2%|1011-3.4%|1101-0.0%|1110-0.0%|1111-0.0%,0010,2.02
112.3,2.25,6.41,6.57|6.66|6.73,True,0110,0000-9.3%|0001-10.5%|0010-12.9%|0100-0.0%|1000-3.6%|0011-13.9%|0101-5.8%|0110-12.4%|1001-0.0%|1010-0.0%|1100-4.4%|0111-9.7%|1011-0.0%|1101-3.4%|1110-8.9%|1111-5.2%,0110,2.10
112.3,2.25,6.94,7.08|7.45,True,1101,0000-9.1%|0001-10.4%|0010-20.3%|0100-3.3%|1000-0.0%|0011-14.3%|0101-6.0%|0110-6.0%|1001-0.0%|1010-0.0%|1100-4.3%|0111-9.8%|1011-0.0%|1101-3.4%|1110-8.5%|1111-4.9%,1101,2.10
112.3,2.25,7.48,7.80,True,1110,0000-9.1%|0001-10.3%|0010-19.4%|0100-3.3%|1000-3.3%|0011-13.8%|0101-6.0%|0110-7.3%|1001-0.0%|1010-0.0%|1100-4.2%|0111-10.1%|1011-0.0%|1101-0.0%|1110-8.3%|1111-4.8%,1110,2.11
112.3,2.25,8.01,8.15|8.50,True,0111,0000-9.7%|0001-10.5%|0010-20.8%|0100-3.0%|1000-3.2%|0011-22.4%|0101-5.6%|0110-7.0%|1001-0.0%|1010-0.0%|1100-4.1%|0111-8.9%|1011-0.0%|1101-0.0%|1110-0.0%|1111-4.8%,0111,2.11
112.3,2.25,8.54,8.85,True,1100,0000-6.0%|0001-8.0%|0010-17.6%|0100-7.0%|1000-0.0%|0011-21.0%|0101-6.0%|0110-11.0%|1001-0.0%|1010-0.0%|1100-5.2%|0111-6.4%|1011-2.9%|1101-0.0%|1110-3.8%|1111-5.1%,1100,2.18
112.3,2.25,9.08,9.20|9.40|9.57,True,0010,0000-6.1%|0001-8.4%|0010-17.4%|0100-7.6%|1000-0.0%|0011-22.2%|0101-6.6%|0110-11.2%|1001-0.0%|1010-0.0%|1100-0.0%|0111-8.3%|1011-0.0%|1101-0.0%|1110-2.7%|1111-9.5%,0010,2.18
112.3,2.25,9.61,9.91,True,0011,0000-6.3%|0001-8.4%|0010-9.5%|0100-7.8%|1000-0.0%|0011-22.3%|0101-6.9%|0110-11.9%|1001-0.0%|1010-0.0%|1100-0.0%|0111-14.5%|1011-0.0%|1101-0.0%|1110-2.7%|1111-9.8%,0011,2.18
112.3,2.25,10.15,10.26|10.61,True,0101,0000-5.9%|0001-7.6%|0010-10.9%|0100-7.3%|1000-0.0%|0011-9.9%|0101-6.8%|0110-18.2%|1001-0.0%|1010-3.7%|1100-0.0%|0111-13.7%|1011-4.4%|1101-0.0%|1110-0.0%|1111-11.7%,0101,2.17
112.3,2.25,10.68,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
112.3,2.25,11.22,11.33|11.52|11.68,True,0011,0000-5.9%|0001-8.0%|0010-16.8%|0100-7.8%|1000-0.0%|0011-14.4%|0101-2.8%|0110-25.4%|1001-0.0%|1010-0.0%|1100-0.0%|0111-11.2%|1011-0.0%|1101-0.0%|1110-0.0%|1111-7.8%,0011,2.24
112.3,2.25,11.75,12.03,True,0110,0000-5.6%|0001-7.7%|0010-15.6%|0100-8.4%|1000-0.0%|0011-7.1%|0101-3.1%|0110-24.9%|1001-0.0%|1010-0.0%|1100-0.0%|0111-11.1%|1011-0.0%|1101-5.4%|1110-2.5%|1111-8.6%,0110,2.24
112.3,2.25,12.28,12.40|12.59|12.75,True,0111,0000-6.4%|0001-8.0%|0010-16.6%|0100-8.3%|1000-0.0%|0011-7.9%|0101-2.9%|0110-15.3%|1001-0.0%|1010-0.0%|1100-0.0%|0111-11.7%|1011-0.0%|1101-5.2%|1110-8.0%|1111-9.6%,0111,2.24
112.3,2.25,12.82,13.10|13.28,True,0010,0000-8.3%|0001-8.0%|0010-13.3%|0100-6.0%|1000-0.0%|0011-8.8%|0101-0.0%|0110-11.3%|1001-0.0%|1010-3.1%|1100-0.0%|0111-8.3%|1011-3.8%|1101-6.3%|1110-10.6%|1111-12.2%,0010,2.34
112.3,2.25,13.35,13.44,True,1100,0000-8.0%|0001-8.0%|0010-6.9%|0100-5.9%|1000-0.0%|0011-9.7%|0101-0.0%|0110-11.2%|1001-0.0%|1010-0.0%|1100-6.5%|0111-9.8%|1011-3.7%|1101-6.5%|1110-10.9%|1111-12.8%,1100,2.34
112.3,2.25,13.89,14.14,True,1110,0000-8.1%|0001-7.8%|0010-13.2%|0100-6.1%|1000-0.0%|0011-9.5%|0101-0.0%|0110-11.3%|1001-0.0%|1010-0.0%|1100-0.0%|0111-10.2%|1011-3.8%|1101-6.6%|1110-10.8%|1111-12.7%,1110,2.34
112.3,2.25,14.42,14.51|14.86,True,0010,0000-8.2%|0001-7.6%|0010-12.7%|0100-6.1%|1000-0.0%|0011-13.6%|0101-0.0%|0110-11.3%|1001-0.0%|1010-3.5%|1100-0.0%|0111-9.8%|1011-4.2%|1101-6.6%|1110-3.7%|1111-12.7%,0010,2.34
112.3,2.25,14.95,15.05|15.21,True,0100,0000-7.8%|0001-7.1%|0010-10.6%|0100-6.5%|1000-0.0%|0011-10.4%|0101-5.3%|0110-11.0%|1001-0.0%|1010-4.3%|1100-0.0%|0111-7.1%|1011-4.5%|1101-6.9%|1110-5.3%|1111-13.3%,0100,2.57
112.3,2.25,15.49,15.56|15.74|15.91,True,0011,0000-8.6%|0001-7.8%|0010-13.0%|0100-0.0%|1000-0.0%|0011-11.3%|0101-5.9%|0110-11.8%|1001-0.0%|1010-4.1%|1100-0.0%|0111-7.9%|1011-4.3%|1101-6.9%|1110-5.1%|1111-13.5%,0011,2.57
112.3,2.25,16.02,16.09|16.23|16.28,True,0000,0000-8.5%|0001-8.0%|0010-13.6%|0100-0.0%|1000-0.0%|0011-9.7%|0101-6.4%|0110-12.3%|1001-0.0%|1010-4.0%|1100-0.0%|0111-7.9%|1011-4.1%|1101-7.2%|1110-5.0%|1111-13.3%,0000,2.57
112.3,2.25,16.56,16.63|16.79|16.97,True,0111,0000-8.2%|0001-7.1%|0010-12.4%|0100-0.0%|1000-0.0%|0011-10.5%|0101-5.3%|0110-19.0%|1001-0.0%|1010-3.6%|1100-0.0%|0111-7.2%|1011-3.7%|1101-6.2%|1110-4.6%|1111-12.2%,0111,2.57
112.3,2.25,17.09,17.16|17.30,True,0110,0000-8.0%|0001-8.0%|0010-10.6%|0100-3.4%|1000-0.0%|0011-12.0%|0101-6.8%|0110-20.4%|1001-0.0%|1010-3.6%|1100-0.0%|0111-7.2%|1011-0.0%|1101-5.0%|1110-4.1%|1111-10.9%,0110,2.62
112.3,2.25,17.62,17.67|18.04,True,1111,0000-8.4%|0001-8.1%|0010-16.4%|0100-3.5%|1000-0.0%|0011-12.5%|0101-7.1%|0110-11.3%|1001-0.0%|1010-3.4%|1100-0.0%|0111-9.5%|1011-0.0%|1101-5.0%|1110-3.9%|1111-11.1%,1111,2.61
112.3,2.25,18.16,18.20|18.39,True,0110,0000-8.8%|0001-8.6%|0010-17.0%|0100-3.6%|1000-0.0%|0011-12.9%|0101-7.4%|0110-14.3%|1001-0.0%|1010-3.3%|1100-5.4%|0111-10.3%|1011-0.0%|1101-4.7%|1110-3.5%|1111-0.0%,0110,2.61
