onset_index,onset_ms
0,139.32
1,348.3
2,708.21
3,859.14
4,1033.29
5,1393.2
6,1753.11
7,2101.41
8,2461.32
9,2809.61
10,3169.52
11,3529.43
12,3680.36
13,3784.85
14,3854.51
15,4237.64
16,4562.72
17,4934.24
18,5282.54
19,5630.84
20,5990.75
21,6339.05
22,6536.42
23,6606.08
24,6675.74
25,7047.26
26,7267.85
27,7395.56
28,7767.07
29,8115.37
30,8475.28
31,8707.48
32,8811.97
33,9171.88
34,9322.81
35,9496.96
36,9856.87
37,10240.0
38,10588.3
39,11296.51
40,11459.05
41,11621.59
42,11644.81
43,11946.67
44,11981.5
45,12178.87
46,12341.41
47,12527.17
48,12701.32
49,13026.39
50,13212.15
51,13397.91
52,13746.21
53,13943.58
54,14094.51
55,14280.27
56,14442.81
57,14616.96
58,14767.89
59,14814.33
60,14965.26
61,15139.41
62,15313.56
63,15499.32
64,15673.47
65,15882.45
66,16044.99
67,16184.31
68,16230.75
69,16579.05
70,16741.59
71,16938.96
72,17101.5
73,17252.43
74,17298.87
75,17589.12
76,17635.56
77,17983.85
78,18169.61
79,18343.76
80,18680.45
81,18854.6
82,19040.36
83,19388.66
84,19539.59
85,19667.3
86,19760.18
87,19922.72
88,20108.48
89,20282.63
90,20456.78
91,20723.81
92,20793.47
93,20967.62
94,21153.38
95,21315.92
96,21884.81
97,22291.16
98,22581.41
99,22639.46
100,22836.83
101,22929.71
102,23092.24
103,23278.0
104,23440.54
105,23556.64
106,23626.3
107,23788.84
108,23986.21
109,24160.36
110,24322.9
111,24497.05
112,24636.37
113,24694.42
114,25031.11
115,25228.48
116,25402.63
117,25495.51
118,25576.78
119,25669.66
120,25750.93
121,25925.08
122,26017.96
123,26099.23
124,26273.38
125,26366.26
126,26435.92
127,26621.68
128,26807.44
129,27004.81
130,27178.96
131,27295.06
132,27480.82
133,27515.65
134,27875.56
135,28061.32
136,28212.24
137,28316.73
138,28398.0
139,28490.88
140,28583.76
141,28757.91
142,28804.35
143,28839.18
144,28932.06
145,29129.43
146,29187.48
147,29280.36
148,29466.12
149,29617.05
150,29802.81
151,29976.96
152,30174.33
153,30290.43
154,30336.87
155,30673.56
156,30882.54
157,31056.69
158,31149.57
159,31219.23
160,31323.72
161,31381.77
162,31590.75
163,31660.41
164,31753.29
165,32020.32
166,32113.2
167,32275.74
168,32461.5
169,32647.26
170,32809.8
