onset_index,onset_ms
0,0.0
1,172.4
2,344.8
3,517.2
4,689.7
5,862.1
6,1034.5
7,1206.9
8,1379.3
9,1551.7
10,1724.1
11,1896.6
12,2069.0
13,2241.4
14,2413.8
15,2586.2
16,2758.6
17,2931.0
18,3103.4
19,3275.9
20,3448.3
21,3620.7
22,3793.1
23,3965.5
24,4137.9
25,4310.3
26,4482.8
27,4655.2
28,4827.6
29,5000.0
30,5172.4
31,5344.8
32,5517.2
33,5689.7
34,5862.1
35,6034.5
36,6206.9
37,6379.3
38,6551.7
39,6724.1
40,6896.6
41,7069.0
42,7241.4
43,7413.8
44,7586.2
45,7758.6
46,7931.0
47,8103.4
48,8275.9
49,8448.3
50,8620.7
51,8793.1
52,8965.5
53,9137.9
54,9310.3
55,9482.8
56,9655.2
57,9827.6
58,10000.0
59,10172.4
60,10344.8
61,10517.2
62,10689.7
63,10862.1
64,11034.5
65,11206.9
66,11379.3
67,11551.7
68,11724.1
69,11896.6
70,12069.0
71,12241.4
72,12413.8
73,12586.2
74,12758.6
75,12931.0
76,13103.4
77,13275.9
78,13448.3
79,13620.7
80,13793.1
81,13965.5
82,14137.9
83,14310.3
84,14482.8
85,14655.2
86,14827.6
87,15000.0
88,15172.4
89,15344.8
90,15517.2
91,15689.7
92,15862.1
93,16034.5
94,16206.9
95,16379.3
96,16551.7
97,16724.1
98,16896.6
99,17069.0
100,17241.4
101,17413.8
102,17586.2
103,17758.6
104,17931.0
105,18103.4
106,18275.9
107,18448.3
108,18620.7
109,18793.1
110,18965.5
111,19137.9
112,19310.3
113,19482.8
114,19655.2
115,19827.6
116,20000.0
117,20172.4
118,20344.8
119,20517.2
120,20689.7
121,20862.1
122,21034.5
123,21206.9
124,21379.3
125,21551.7
126,21724.1
127,21896.6
128,22069.0
129,22241.4
130,22413.8
131,22586.2
132,22758.6
133,22931.0
134,23103.4
135,23275.9
136,23448.3
137,23620.7
138,23793.1
139,23965.5
140,24137.9
141,24310.3
142,24482.8
143,24655.2
144,24827.6
145,24913.8
146,25000.0
147,25086.2
148,25172.4
149,25258.6
150,25344.8
151,25431.0
152,25517.2
153,25603.4
154,25689.7
155,25775.9
156,25862.1
157,25948.3
158,26034.5
159,26120.7
160,26206.9
161,26293.1
162,26379.3
163,26465.5
164,26551.7
165,26637.9
166,26724.1
167,26810.3
168,26896.6
169,26982.8
170,27069.0
171,27155.2
172,27241.4
173,27327.6
174,27413.8
175,27500.0
176,27586.2
177,27758.6
178,27844.8
179,27931.0
180,28103.4
181,28189.7
182,28275.9
183,28362.1
184,28448.3
185,28534.5
186,28620.7
187,28793.1
188,28879.3
189,28965.5
190,29137.9
191,29224.1
192,29310.3
193,29482.8
194,29569.0
195,29655.2
196,29741.4
197,29827.6
198,29913.8
199,30000.0
200,30172.4
201,30258.6
202,30344.8
203,30517.2
204,30603.4
205,30689.7
206,30862.1
207,30948.3
208,31034.5
209,31120.7
210,31206.9
211,31293.1
212,31379.3
213,31551.7
214,31637.9
215,31724.1
216,31896.6
217,31982.8
218,32069.0
219,32241.4
220,32327.6
221,32413.8
222,32500.0
223,32586.2
224,32672.4
225,32758.6
226,32931.0
227,33017.2
228,33103.4
229,33275.9
230,33362.1
231,33448.3
232,33620.7
233,33706.9
234,33793.1
235,33879.3
236,33965.5
237,34051.7
238,34137.9
239,34310.3
240,34396.6
241,34482.8
242,34655.2
243,34741.4
244,34827.6
245,35000.0
246,35086.2
247,35172.4
248,35258.6
249,35344.8
250,35431.0
251,35517.2
252,35689.7
253,35775.9
254,35862.1
255,36034.5
256,36120.7
257,36206.9
258,36379.3
259,36465.5
260,36551.7
261,36637.9
262,36724.1
263,36810.3
264,36896.6
265,37069.0
266,37155.2
267,37241.4
268,37413.8
269,37500.0
270,37586.2
271,37758.6
272,37844.8
273,37931.0
274,38017.2
275,38103.4
276,38189.7
277,38275.9
278,38448.3
279,38534.5
280,38620.7
281,38793.1
282,38879.3
283,38965.5
284,39137.9
285,39224.1
286,39310.3
287,39396.6
288,39482.8
289,39569.0
290,39655.2
291,39827.6
292,39913.8
293,40000.0
294,40172.4
295,40258.6
296,40344.8
297,40517.2
298,40603.4
299,40689.7
300,40775.9
301,40862.1
302,40948.3
303,41034.5
304,41206.9
305,41293.1
306,41379.3
307,41551.7
308,41637.9
309,41724.1
310,41896.6
311,41982.8
312,42069.0
313,42155.2
314,42241.4
315,42327.6
316,42413.8
317,42586.2
318,42672.4
319,42758.6
320,42931.0
321,43017.2
322,43103.4
323,43275.9
324,43362.1
325,43448.3
326,43534.5
327,43620.7
328,43706.9
329,43793.1
330,43965.5
331,44051.7
332,44137.9
333,44310.3
334,44396.6
335,44482.8
336,44655.2
337,44741.4
338,44827.6
339,44913.8
340,45000.0
341,45086.2
342,45172.4
343,45344.8
344,45431.0
345,45517.2
346,45689.7
347,45775.9
348,45862.1
349,46034.5
350,46120.7
351,46206.9
352,46293.1
353,46379.3
354,46465.5
355,46551.7
356,46724.1
357,46810.3
358,46896.6
359,47069.0
360,47155.2
361,47241.4
362,47413.8
363,47500.0
364,47586.2
365,47672.4
366,47758.6
367,47844.8
368,47931.0
369,48103.4
370,48189.7
371,48275.9
372,48448.3
373,48534.5
374,48620.7
375,48793.1
376,48879.3
377,48965.5
378,49051.7
379,49137.9
380,49224.1
381,49310.3
382,49482.8
383,49569.0
384,49655.2
385,49827.6
386,49913.8
387,50000.0
388,50172.4
389,50258.6
390,50344.8
391,50431.0
392,50517.2
393,50603.4
394,50689.7
395,50862.1
396,50948.3
397,51034.5
398,51206.9
399,51293.1
400,51379.3
401,51551.7
402,51637.9
403,51724.1
404,51810.3
405,51896.6
406,51982.8
407,52069.0
408,52241.4
409,52327.6
410,52413.8
411,52586.2
412,52672.4
413,52758.6
414,52931.0
415,53017.2
416,53103.4
417,53189.7
418,53275.9
419,53362.1
420,53448.3
421,53620.7
422,53706.9
423,53793.1
424,53965.5
425,54051.7
426,54137.9
427,54310.3
428,54396.6
429,54482.8
430,54569.0
431,54655.2
432,54741.4
433,54827.6
434,55000.0
435,55086.2
436,55172.4
437,55344.8
438,55431.0
439,55517.2
440,55689.7
441,55775.9
442,55862.1
443,55948.3
444,56034.5
445,56120.7
446,56206.9
447,56379.3
448,56465.5
449,56551.7
450,56724.1
451,56810.3
452,56896.6
453,57069.0
454,57155.2
455,57241.4
456,57327.6
457,57413.8
458,57500.0
459,57586.2
460,57758.6
461,57844.8
462,57931.0
463,58103.4
464,58189.7
465,58275.9
466,58448.3
467,58534.5
468,58620.7
469,58706.9
470,58793.1
471,58879.3
472,58965.5
473,59137.9
474,59224.1
475,59310.3
476,59482.8
477,59569.0
478,59655.2
479,59827.6
480,59913.8
481,60000.0
482,60086.2
483,60172.4
484,60258.6
485,60344.8
486,60517.2
487,60603.4
488,60689.7
489,60862.1
490,60948.3
491,61034.5
492,61206.9
493,61293.1
494,61379.3
495,61465.5
496,61551.7
497,61637.9
498,61724.1
499,61896.6
500,61982.8
501,62069.0
502,62241.4
503,62327.6
504,62413.8
505,62586.2
506,62672.4
507,62758.6
508,62844.8
509,62931.0
510,63017.2
511,63103.4
512,63275.9
513,63362.1
514,63448.3
515,63620.7
516,63706.9
517,63793.1
518,63965.5
519,64051.7
520,64137.9
521,64224.1
522,64310.3
523,64396.6
524,64482.8
525,64655.2
526,64741.4
527,64827.6
528,65000.0
529,65086.2
530,65172.4
531,65344.8
532,65431.0
533,65517.2
534,65603.4
535,65689.7
536,65775.9
537,65862.1
538,66034.5
539,66120.7
540,66206.9
541,66379.3
542,66465.5
543,66551.7
544,66724.1
545,66810.3
546,66896.6
547,66982.8
548,67069.0
549,67155.2
550,67241.4
551,67413.8
552,67500.0
553,67586.2
554,67758.6
555,67844.8
556,67931.0
557,68103.4
558,68189.7
559,68275.9
560,68362.1
561,68448.3
562,68534.5
563,68620.7
564,68793.1
565,68879.3
566,68965.5
567,69137.9
568,69224.1
569,69310.3
570,69482.8
571,69569.0
572,69655.2
573,69741.4
574,69827.6
575,69913.8
576,70000.0
577,70172.4
578,70258.6
579,70344.8
580,70517.2
581,70603.4
582,70689.7
583,70862.1
584,70948.3
585,71034.5
586,71120.7
587,71206.9
588,71293.1
589,71379.3
590,71551.7
591,71637.9
592,71724.1
593,71896.6
594,72069.0
595,72241.4
596,72413.8
597,72586.2
598,72758.6
599,72931.0
600,73103.4
601,73275.9
602,73448.3
603,73620.7
604,73793.1
605,73965.5
606,74137.9
607,74310.3
608,74482.8
609,74655.2
610,74827.6
611,75000.0
612,75172.4
613,75344.8
614,75517.2
615,75689.7
616,75862.1
617,76034.5
618,76206.9
619,76379.3
620,76551.7
621,76724.1
622,76896.6
623,77069.0
624,77241.4
625,77413.8
626,77586.2
627,77758.6
628,77931.0
629,78103.4
630,78275.9
631,78448.3
632,78620.7
633,78793.1
634,78965.5
635,79137.9
636,79310.3
637,79482.8
638,79655.2
639,79827.6
640,80000.0
641,80172.4
642,80344.8
643,80517.2
644,80689.7
645,80862.1
646,81034.5
647,81206.9
648,81379.3
649,81551.7
650,81724.1
651,81896.6
652,82069.0
653,82241.4
654,82413.8
655,82586.2
656,82758.6
657,82931.0
658,83103.4
659,83275.9
660,83448.3
661,83620.7
662,83793.1
663,83965.5
664,84137.9
665,84310.3
666,84482.8
667,84655.2
668,84827.6
669,85000.0
670,85172.4
671,85344.8
672,85517.2
673,85689.7
674,85862.1
675,86034.5
676,86206.9
677,86379.3
678,86551.7
679,86724.1
680,86896.6
681,87069.0
682,87241.4
683,87413.8
684,87586.2
685,87758.6
686,87931.0
687,88103.4
688,88275.9
689,88448.3
690,88620.7
691,88793.1
692,88965.5
693,89137.9
694,89310.3
695,89482.8
696,89655.2
697,89827.6
698,90000.0
699,90172.4
700,90344.8
701,90517.2
702,90689.7
703,90862.1
704,91034.5
705,91206.9
706,91379.3
707,91551.7
708,91724.1
709,91896.6
710,92069.0
711,92241.4
712,92413.8
713,92586.2
714,92758.6
715,92931.0
716,93103.4
717,93275.9
718,93448.3
719,93620.7
720,93793.1
721,93965.5
722,94137.9
723,94310.3
724,94482.8
725,94655.2
726,94827.6
727,95000.0
728,95172.4
729,95344.8
730,95517.2
731,95689.7
732,95862.1
733,96034.5
734,96206.9
735,96379.3
736,96551.7
737,96637.9
738,96724.1
739,96810.3
740,96896.6
741,96982.8
742,97069.0
743,97155.2
744,97241.4
745,97327.6
746,97413.8
747,97500.0
748,97586.2
749,97672.4
750,97758.6
751,97844.8
752,97931.0
753,98017.2
754,98103.4
755,98189.7
756,98275.9
757,98362.1
758,98448.3
759,98534.5
760,98620.7
761,98706.9
762,98793.1
763,98879.3
764,98965.5
765,99051.7
766,99137.9
767,99224.1
768,99310.3
769,99482.8
770,99569.0
771,99655.2
772,99827.6
773,99913.8
774,100000.0
775,100086.2
776,100172.4
777,100258.6
778,100344.8
779,100517.2
780,100603.4
781,100689.7
782,100862.1
783,100948.3
784,101034.5
785,101206.9
786,101293.1
787,101379.3
788,101465.5
789,101551.7
790,101637.9
791,101724.1
792,101896.6
793,101982.8
794,102069.0
795,102241.4
796,102327.6
797,102413.8
798,102586.2
799,102672.4
800,102758.6
801,102844.8
802,102931.0
803,103017.2
804,103103.4
805,103275.9
806,103362.1
807,103448.3
808,103620.7
809,103706.9
810,103793.1
811,103965.5
812,104051.7
813,104137.9
814,104224.1
815,104310.3
816,104396.6
817,104482.8
818,104655.2
819,104741.4
820,104827.6
821,105000.0
822,105086.2
823,105172.4
824,105344.8
825,105431.0
826,105517.2
827,105603.4
828,105689.7
829,105775.9
830,105862.1
831,106034.5
832,106120.7
833,106206.9
834,106379.3
835,106465.5
836,106551.7
837,106724.1
838,106810.3
839,106896.6
840,106982.8
841,107069.0
842,107155.2
843,107241.4
844,107413.8
845,107500.0
846,107586.2
847,107758.6
848,107844.8
849,107931.0
850,108103.4
851,108189.7
852,108275.9
853,108362.1
854,108448.3
855,108534.5
856,108620.7
857,108793.1
858,108879.3
859,108965.5
860,109137.9
861,109224.1
862,109310.3
863,109482.8
864,109569.0
865,109655.2
866,109741.4
867,109827.6
868,109913.8
869,110000.0
870,110172.4
871,110258.6
872,110344.8
873,110517.2
874,110603.4
875,110689.7
876,110862.1
877,110948.3
878,111034.5
879,111120.7
880,111206.9
881,111293.1
882,111379.3
883,111551.7
884,111637.9
885,111724.1
886,111896.6
887,111982.8
888,112069.0
889,112241.4
890,112327.6
891,112413.8
892,112500.0
893,112586.2
894,112672.4
895,112758.6
896,112931.0
897,113017.2
898,113103.4
899,113275.9
900,113362.1
901,113448.3
902,113620.7
903,113706.9
904,113793.1
905,113879.3
906,113965.5
907,114051.7
908,114137.9
909,114310.3
910,114396.6
911,114482.8
912,114655.2
913,114741.4
914,114827.6
915,115000.0
916,115086.2
917,115172.4
918,115258.6
919,115344.8
920,115431.0
921,115517.2
922,115689.7
923,115775.9
924,115862.1
925,116034.5
926,116120.7
927,116206.9
928,116379.3
929,116465.5
930,116551.7
931,116637.9
932,116724.1
933,116810.3
934,116896.6
935,117069.0
936,117155.2
937,117241.4
938,117413.8
939,117500.0
940,117586.2
941,117758.6
942,117844.8
943,117931.0
944,118017.2
945,118103.4
946,118189.7
947,118275.9
948,118448.3
949,118534.5
950,118620.7
951,118793.1
952,118879.3
953,118965.5
954,119137.9
955,119224.1
956,119310.3
957,119396.6
958,119482.8
959,119569.0
960,119655.2
961,119827.6
962,119913.8
963,120000.0
964,120172.4
965,120258.6
966,120344.8
967,120517.2
968,120603.4
969,120689.7
970,120775.9
971,120862.1
972,120948.3
973,121034.5
974,121206.9
975,121293.1
976,121379.3
977,121551.7
978,121637.9
979,121724.1
980,121896.6
981,121982.8
982,122069.0
983,122155.2
984,122241.4
985,122327.6
986,122413.8
987,122586.2
988,122672.4
