time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,2,2,0.950,synth
86.2,1.250,0000,0,4,1.000,unknown
172.4,1.500,0000,0,3,1.000,unknown
258.6,1.750,0000,0,4,1.000,unknown
344.8,2.000,0100,2,2,0.950,synth
431.0,2.250,0000,0,4,1.000,unknown
517.2,2.500,0000,0,3,1.000,unknown
603.4,2.750,0000,0,4,1.000,unknown
689.6,3.000,0010,2,2,0.950,synth
775.8,3.250,0000,0,4,1.000,unknown
862.0,3.500,0000,0,3,1.000,unknown
948.2,3.750,0000,0,4,1.000,unknown
1034.4,4.000,0001,2,2,0.950,synth
1120.6,4.250,0000,0,4,1.000,unknown
1206.8,4.500,0000,0,3,1.000,unknown
1293.0,4.750,0000,0,4,1.000,unknown
1379.2,5.000,",",-1,-1,1.000,separator
1379.2,5.000,1001,4,2,0.980,kick
1465.4,5.250,0000,0,4,1.000,unknown
1551.6,5.500,0110,4,3,0.920,snare
1637.8,5.750,0000,0,4,1.000,unknown
1724.0,6.000,1000,4,2,0.980,kick
1810.2,6.250,0000,0,4,1.000,unknown
1896.4,6.500,0110,4,3,0.920,snare
1982.6,6.750,0001,4,4,0.880,kick
2068.8,7.000,1000,4,2,0.980,kick
2155.0,7.250,0000,0,4,1.000,unknown
2241.2,7.500,0110,4,3,0.920,snare
2327.4,7.750,0000,0,4,1.000,unknown
2413.6,8.000,1001,4,2,0.980,kick
2499.8,8.250,0000,0,4,1.000,unknown
2586.0,8.500,0110,4,3,0.920,snare
2672.2,8.750,1000,4,4,0.850,kick
2758.4,9.000,",",-1,-1,1.000,separator
