time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
100.0,1.000,1000,1,2,0.900,kick
442.8,2.000,0000,0,3,0.000,unknown
785.7,3.000,0001,1,2,0.800,synth
1128.5,4.000,0000,0,3,0.000,unknown
1471.4,5.000,",",-1,-1,1.000,separator
1471.4,5.000,0000,0,2,0.000,unknown
1814.2,6.000,0010,1,2,0.800,snare
2157.1,7.000,0000,0,3,0.000,unknown
2500.0,8.000,0100,1,2,0.800,synth
2842.8,9.000,",",-1,-1,1.000,separator
2842.8,9.000,1001,1,2,0.900,kick
3185.7,10.000,0000,0,3,0.000,unknown
3528.5,11.000,0000,0,3,0.000,unknown
3871.4,12.000,0010,3,2,0.700,hat
4214.2,13.000,",",-1,-1,1.000,separator
4214.2,13.000,0000,0,3,0.000,unknown
4385.7,13.500,0100,4,3,0.850,snare
4557.1,14.000,0000,0,3,0.000,unknown
4728.5,14.500,0010,4,3,0.850,snare
4900.0,15.000,0000,0,3,0.000,unknown
5071.4,15.500,1001,4,3,0.900,kick
5242.8,16.000,0110,1,2,0.950,snare
5414.2,16.500,0000,0,3,0.000,unknown
5585.7,17.000,",",-1,-1,1.000,separator
5585.7,17.000,1000,1,2,1.000,kick
5757.1,17.500,0000,0,3,0.000,unknown
5928.5,18.000,0010,2,2,1.000,snare
6100.0,18.500,0000,0,3,0.000,unknown
6271.4,19.000,0000,0,3,0.000,unknown
6442.8,19.500,0100,4,3,0.900,kick
6614.2,20.000,0001,2,2,1.000,snare
6785.7,20.500,0000,0,3,0.000,unknown
6957.1,21.000,",",-1,-1,1.000,separator
6957.1,21.000,1000,1,2,1.000,kick
7128.5,21.500,0000,0,3,0.000,unknown
7300.0,22.000,0010,2,2,1.000,snare
7471.4,22.500,0000,0,3,0.000,unknown
7642.8,23.000,0000,0,3,0.000,unknown
7814.2,23.500,1000,4,3,0.900,kick
7985.7,24.000,0100,2,2,1.000,snare
8157.1,24.500,0001,3,3,0.800,hat
8328.5,25.000,",",-1,-1,1.000,separator
8328.5,25.000,0001,1,2,1.000,kick
8500.0,25.500,0000,0,3,0.000,unknown
8671.4,26.000,0100,2,2,1.000,snare
8842.8,26.500,0000,0,3,0.000,unknown
9014.2,27.000,0000,0,3,0.000,unknown
9185.7,27.500,0010,4,3,0.900,kick
9357.1,28.000,1000,2,2,1.000,snare
9528.5,28.500,0000,0,3,0.000,unknown
9700.0,29.000,",",-1,-1,1.000,separator
9700.0,29.000,1000,1,2,1.000,kick
9871.4,29.500,0010,4,3,0.800,bass
10042.8,30.000,0100,2,2,1.000,snare
10214.2,30.500,0000,0,3,0.000,unknown
10385.7,31.000,0000,0,3,0.000,unknown
10557.1,31.500,0001,4,3,0.900,kick
10728.5,32.000,0010,2,2,1.000,snare
10900.0,32.500,1000,3,3,0.800,fill
11071.4,33.000,",",-1,-1,1.000,separator
11071.4,33.000,0100,1,2,1.000,kick
11242.8,33.500,0000,0,3,0.000,unknown
11414.2,34.000,0001,2,2,1.000,snare
11585.7,34.500,0000,0,3,0.000,unknown
11757.1,35.000,0000,0,3,0.000,unknown
11928.5,35.500,1000,4,3,0.900,kick
12100.0,36.000,0010,2,2,1.000,snare
12271.4,36.500,0000,0,3,0.000,unknown
12442.8,37.000,",",-1,-1,1.000,separator
12442.8,37.000,1001,1,2,1.000,kick
12614.2,37.500,0000,0,3,0.000,unknown
12785.7,38.000,0100,2,2,1.000,snare
