time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.0,```json,1,1,0.9,mixed
125.0,0.125,[,1,1,0.9,mixed
250.0,0.25,"{""time_ms"": 0.0, ""beat_position"": 1, ""notes"": ""1000""},",1,1,0.9,mixed
375.0,0.375,"{""time_ms"": 1.79, ""beat_position"": 2, ""notes"": ""0000""},",1,1,0.9,mixed
500.0,0.5,"{""time_ms"": 3.57, ""beat_position"": 3, ""notes"": ""0010""},",1,1,0.9,mixed
625.0,0.625,"{""time_ms"": 5.34, ""beat_position"": 4, ""notes"": "",""},",1,1,0.9,mixed
750.0,0.75,"{""time_ms"": 5.46, ""beat_position"": 1, ""notes"": ""1000""},",1,1,0.9,mixed
875.0,0.875,"{""time_ms"": 7.23, ""beat_position"": 2, ""notes"": ""0000""},",1,1,0.9,mixed
1000.0,0.0,"{""time_ms"": 8.99, ""beat_position"": 3, ""notes"": ""0010""},",1,1,0.9,mixed
1125.0,0.125,"{""time_ms"": 10.76, ""beat_position"": 4, ""notes"": "",""},",1,1,0.9,mixed
1250.0,0.25,"{""time_ms"": 10.88, ""beat_position"": 1, ""notes"": ""1000""},",1,1,0.9,mixed
1375.0,0.375,"{""time_ms"": 12.65, ""beat_position"": 2, ""notes"": ""0000""},",1,1,0.9,mixed
1500.0,0.5,"{""time_ms"": 14.42, ""beat_position"": 3, ""notes"": ""0010""},",1,1,0.9,mixed
1625.0,0.625,"{""time_ms"": 16.19, ""beat_position"": 4, ""notes"": "",""}",1,1,0.9,mixed
1750.0,0.75,],1,1,0.9,mixed
1875.0,0.875,```,1,1,0.9,mixed
