time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,0.900,synth
344.8,2.000,0000,0,2,1.000,unknown
689.7,3.000,0010,1,2,0.800,synth
1034.5,4.000,0000,0,2,1.000,unknown
1379.3,5.000,",",-1,-1,1.000,separator
1379.3,5.000,0001,1,2,0.900,synth
1724.1,6.000,0000,0,2,1.000,unknown
2069.0,7.000,0100,1,2,0.800,synth
2413.8,8.000,0000,0,2,1.000,unknown
2758.6,9.000,",",-1,-1,1.000,separator
2758.6,9.000,1000,1,2,0.900,synth
3103.4,10.000,0000,0,2,1.000,unknown
3448.3,11.000,0010,1,2,0.800,synth
3793.1,12.000,0000,0,2,1.000,unknown
4137.9,13.000,",",-1,-1,1.000,separator
4137.9,13.000,0001,1,2,0.900,synth
4482.8,14.000,0000,0,2,1.000,unknown
4827.6,15.000,1000,4,2,0.900,build-up
5172.4,16.000,0010,4,2,0.900,build-up
5517.2,17.000,",",-1,-1,1.000,separator
5517.2,17.000,1000,2,2,1.000,kick
5689.7,17.500,0000,0,3,1.000,unknown
5862.1,18.000,0100,2,2,0.950,snare
6034.5,18.500,0000,0,3,1.000,unknown
6206.9,19.000,0000,0,2,1.000,unknown
6379.3,19.500,0010,4,3,0.900,kick
6551.7,20.000,0001,2,2,0.950,snare
6724.1,20.500,0000,0,3,1.000,unknown
6896.6,21.000,",",-1,-1,1.000,separator
6896.6,21.000,1000,2,2,1.000,kick
7069.0,21.500,0000,0,3,1.000,unknown
7241.4,22.000,0010,2,2,0.950,snare
7413.8,22.500,0000,0,3,1.000,unknown
7586.2,23.000,0000,0,2,1.000,unknown
7758.6,23.500,0100,4,3,0.900,kick
7931.0,24.000,0001,2,2,0.950,snare
8103.4,24.500,0000,0,3,1.000,unknown
8275.9,25.000,",",-1,-1,1.000,separator
8275.9,25.000,1000,2,2,1.000,kick
8448.3,25.500,0000,0,3,1.000,unknown
8620.7,26.000,0100,2,2,0.950,snare
8793.1,26.500,0000,0,3,1.000,unknown
8965.5,27.000,0000,0,2,1.000,unknown
9137.9,27.500,0010,4,3,0.900,kick
9310.3,28.000,0001,2,2,0.950,snare
9482.8,28.500,0000,0,3,1.000,unknown
9655.2,29.000,",",-1,-1,1.000,separator
9655.2,29.000,0001,2,2,1.000,kick
9827.6,29.500,0000,0,3,1.000,unknown
10000.0,30.000,0010,2,2,0.950,snare
10172.4,30.500,0000,0,3,1.000,unknown
10344.8,31.000,0000,0,2,1.000,unknown
10517.2,31.500,0100,4,3,0.900,kick
10689.7,32.000,1000,2,2,0.950,snare
10862.1,32.500,0000,0,3,1.000,unknown
11034.5,33.000,",",-1,-1,1.000,separator
11034.5,33.000,1000,2,2,1.000,kick
11206.9,33.500,0000,0,3,1.000,unknown
11379.3,34.000,0100,2,2,0.950,snare
11551.7,34.500,0000,0,3,1.000,unknown
11724.1,35.000,0000,0,2,1.000,unknown
11896.6,35.500,0010,4,3,0.900,kick
12069.0,36.000,0001,2,2,0.950,snare
12241.4,36.500,0000,0,3,1.000,unknown
12413.8,37.000,",",-1,-1,1.000,separator
12413.8,37.000,0001,2,2,1.000,kick
12586.2,37.500,0000,0,3,1.000,unknown
12758.6,38.000,0010,2,2,0.950,snare
12931.0,38.500,0000,0,3,1.000,unknown
13103.4,39.000,0000,0,2,1.000,unknown
13275.9,39.500,0100,4,3,0.900,kick
13448.3,40.000,1000,2,2,0.950,snare
13620.7,40.500,0000,0,3,1.000,unknown
13793.1,41.000,",",-1,-1,1.000,separator
13793.1,41.000,1000,2,2,1.000,kick
13965.5,41.500,0000,0,3,1.000,unknown
14137.9,42.000,0100,2,2,0.950,snare
14310.3,42.500,0000,0,3,1.000,unknown
14482.8,43.000,0000,0,2,1.000,unknown
14655.2,43.500,0010,4,3,0.900,kick
14827.6,44.000,0001,2,2,0.950,snare
15000.0,44.500,0000,0,3,1.000,unknown
15172.4,45.000,",",-1,-1,1.000,separator
15172.4,45.000,0001,2,2,1.000,kick
15344.8,45.500,0000,0,3,1.000,unknown
15517.2,46.000,0010,2,2,0.950,snare
15689.7,46.500,0000,0,3,1.000,unknown
15862.1,47.000,0000,0,2,1.000,unknown
16034.5,47.500,0100,4,3,0.900,kick
16206.9,48.000,1000,2,2,0.950,snare
16379.3,48.500,0000,0,3,1.000,unknown
16551.7,49.000,",",-1,-1,1.000,separator
16551.7,49.000,1000,2,2,1.000,kick
16724.1,49.500,0000,0,3,1.000,unknown
16896.6,50.000,0100,2,2,0.950,snare
17069.0,50.500,0000,0,3,1.000,unknown
17241.4,51.000,0000,0,2,1.000,unknown
17413.8,51.500,0010,4,3,0.900,kick
17586.2,52.000,0001,2,2,0.950,snare
17758.6,52.500,0000,0,3,1.000,unknown
17931.0,53.000,",",-1,-1,1.000,separator
17931.0,53.000,0001,2,2,1.000,kick
18103.4,53.500,0000,0,3,1.000,unknown
18275.9,54.000,0010,2,2,0.950,snare
18448.3,54.500,0000,0,3,1.000,unknown
18620.7,55.000,0000,0,2,1.000,unknown
18793.1,55.500,0100,4,3,0.900,kick
18965.5,56.000,1000,2,2,0.950,snare
19137.9,56.500,0000,0,3,1.000,unknown
19310.3,57.000,",",-1,-1,1.000,separator
19310.3,57.000,1000,2,2,1.000,kick
19482.8,57.500,0000,0,3,1.000,unknown
19655.2,58.000,0100,2,2,0.950,snare
19827.6,58.500,0000,0,3,1.000,unknown
20000.0,59.000,0000,0,2,1.000,unknown
20172.4,59.500,0010,4,3,0.900,kick
20344.8,60.000,0001,2,2,0.950,snare
20517.2,60.500,0000,0,3,1.000,unknown
20689.7,61.000,",",-1,-1,1.000,separator
20689.7,61.000,0001,2,2,1.000,kick
20862.1,61.500,0000,0,3,1.000,unknown
21034.5,62.000,0010,2,2,0.950,snare
21206.9,62.500,0000,0,3,1.000,unknown
21379.3,63.000,0000,0,2,1.000,unknown
21551.7,63.500,0100,4,3,0.900,kick
21724.1,64.000,1000,2,2,0.950,snare
21896.6,64.500,0000,0,3,1.000,unknown
22069.0,65.000,",",-1,-1,1.000,separator
22069.0,65.000,1000,2,2,1.000,kick
22241.4,65.500,0000,0,3,1.000,unknown
22413.8,66.000,0100,2,2,0.950,snare
22586.2,66.500,0000,0,3,1.000,unknown
22758.6,67.000,0000,0,2,1.000,unknown
22931.0,67.500,0010,4,3,0.900,kick
23103.4,68.000,0001,2,2,0.950,snare
23275.9,68.500,0000,0,3,1.000,unknown
23448.3,69.000,",",-1,-1,1.000,separator
23448.3,69.000,0001,2,2,1.000,kick
23620.7,69.500,0000,0,3,1.000,unknown
23793.1,70.000,0010,2,2,0.950,snare
23965.5,70.500,0000,0,3,1.000,unknown
24137.9,71.000,0000,0,2,1.000,unknown
24310.3,71.500,0100,4,3,0.900,kick
24482.8,72.000,1000,2,2,0.950,snare
24655.2,72.500,0000,0,3,1.000,unknown
24827.6,73.000,",",-1,-1,1.000,separator
24827.6,73.000,1000,2,2,1.000,kick
25000.0,73.500,0000,0,3,1.000,unknown
25172.4,74.000,0100,2,2,0.950,snare
25344.8,74.500,0000,0,3,1.000,unknown
25517.2,75.000,0000,0,2,1.000,unknown
25689.7,75.500,0010,4,3,0.900,kick
25862.1,76.000,0001,2,2,0.950,snare
26034.5,76.500,0000,0,3,1.000,unknown
26206.9,77.000,",",-1,-1,1.000,separator
26206.9,77.000,0001,2,2,1.000,kick
26379.3,77.500,0000,0,3,1.000,unknown
26551.7,78.000,0010,2,2,0.950,snare
26724.1,78.500,0000,0,3,1.000,unknown
26896.6,79.000,0000,0,2,1.000,unknown
27069.0,79.500,0100,4,3,0.900,kick
27241.4,80.000,1000,2,2,0.950,snare
27413.8,80.500,0000,0,3,1.000,unknown
27586.2,81.000,",",-1,-1,1.000,separator
27586.2,81.000,1000,1,2,0.850,pad
27931.0,82.000,0000,0,2,1.000,unknown
28275.9,83.000,0100,1,2,0.800,vocal
28620.7,84.000,0000,0,2,1.000,unknown
28965.5,85.000,",",-1,-1,1.000,separator
28965.5,85.000,0010,1,2,0.850,pad
29310.3,86.000,0000,0,2,1.000,unknown
29655.2,87.000,0001,1,2,0.800,vocal
30000.0,88.000,0000,0,2,1.000,unknown
30344.8,89.000,",",-1,-1,1.000,separator
30344.8,89.000,1000,1,2,0.850,pad
30689.7,90.000,0000,0,2,1.000,unknown
31034.5,91.000,0010,1,2,0.800,vocal
31379.3,92.000,0000,0,2,1.000,unknown
31724.1,93.000,",",-1,-1,1.000,separator
31724.1,93.000,0100,1,2,0.850,pad
32069.0,94.000,0000,0,2,1.000,unknown
32413.8,95.000,1000,1,2,0.800,vocal
32758.6,96.000,0000,0,2,1.000,unknown
33103.4,97.000,",",-1,-1,1.000,separator
33103.4,97.000,0010,1,2,0.850,pad
33448.3,98.000,0000,0,2,1.000,unknown
33793.1,99.000,0001,1,2,0.800,vocal
34137.9,100.000,0000,0,2,1.000,unknown
34482.8,101.000,",",-1,-1,1.000,separator
34482.8,101.000,1000,1,2,0.850,pad
34827.6,102.000,0000,0,2,1.000,unknown
35172.4,103.000,0100,1,2,0.800,vocal
35517.2,104.000,0000,0,2,1.000,unknown
35862.1,105.000,",",-1,-1,1.000,separator
35862.1,105.000,0001,1,2,0.850,pad
36206.9,106.000,0000,0,2,1.000,unknown
36551.7,107.000,1000,1,2,0.800,vocal
36896.6,108.000,0000,0,2,1.000,unknown
37241.4,109.000,",",-1,-1,1.000,separator
37241.4,109.000,0010,1,2,0.850,pad
37586.2,110.000,0000,0,2,1.000,unknown
37931.0,111.000,0100,1,2,0.800,vocal
38275.9,112.000,0000,0,2,1.000,unknown
38620.7,113.000,",",-1,-1,1.000,separator
38620.7,113.000,1000,1,2,0.850,pad
38965.5,114.000,0000,0,2,1.000,unknown
39310.3,115.000,0001,1,2,0.800,vocal
39655.2,116.000,0000,0,2,1.000,unknown
40000.0,117.000,",",-1,-1,1.000,separator
40000.0,117.000,0010,1,2,0.850,pad
40344.8,118.000,0000,0,2,1.000,unknown
40689.7,119.000,1000,1,2,0.800,vocal
41034.5,120.000,0000,0,2,1.000,unknown
41379.3,121.000,",",-1,-1,1.000,separator
41379.3,121.000,0100,1,2,0.850,pad
41724.1,122.000,0000,0,2,1.000,unknown
42069.0,123.000,0010,1,2,0.800,vocal
42413.8,124.000,0000,0,2,1.000,unknown
42758.6,125.000,",",-1,-1,1.000,separator
42758.6,125.000,0001,1,2,0.850,pad
