onset_index,onset_ms
0,5421.86
1,5723.72
2,6025.58
3,6095.24
4,6257.78
5,6431.93
6,6501.59
7,6582.86
8,6757.01
9,6931.16
10,7105.31
11,7267.85
12,7453.61
13,7627.76
14,7778.68
15,7871.56
16,7941.22
17,8103.76
18,8312.74
19,8452.06
20,8637.82
21,8707.48
22,8811.97
23,8893.24
24,8986.12
25,9137.05
26,9206.71
27,9299.59
28,9496.96
29,9659.5
30,9740.77
31,9822.04
32,9996.19
33,10089.07
34,10158.73
35,10332.88
36,10483.81
37,10599.91
38,10657.96
39,10843.72
40,11006.26
41,11180.41
42,11366.17
43,11447.44
44,11493.88
45,11668.03
46,11865.4
47,11958.28
48,12004.72
49,12202.09
50,12364.63
51,12527.17
52,12712.93
53,12887.07
54,13049.61
55,13200.54
56,13363.08
57,13479.18
58,13560.45
59,13722.99
60,13873.92
61,14059.68
62,14164.17
63,14245.44
64,14326.71
65,14396.37
66,14582.13
67,14663.4
68,14744.67
69,14907.21
70,15081.36
71,15162.63
72,15243.9
73,15418.05
74,15510.93
75,15568.98
76,15673.47
77,15754.74
78,15928.89
79,15998.55
80,16091.43
81,16184.31
82,16277.19
83,16613.88
84,16764.81
85,16869.3
86,16938.96
87,17101.5
88,17287.26
89,17380.14
90,17449.8
91,17623.95
92,17798.1
93,17972.24
94,18134.78
95,18227.66
96,18308.93
97,18471.47
98,18645.62
99,18738.5
100,18808.16
101,18901.04
102,18982.31
103,19156.46
104,19237.73
105,19307.39
106,19493.15
107,19586.03
108,19667.3
109,19736.96
110,19818.23
111,19969.16
112,20085.26
113,20154.92
114,20259.41
115,20329.07
116,20514.83
117,20596.1
118,20665.76
119,20851.52
120,21025.67
121,21188.21
122,21362.36
123,21432.02
124,21536.51
125,21687.44
126,21838.37
127,21942.86
128,22024.13
129,22186.67
130,22360.82
131,22546.58
132,22720.73
133,22802.0
134,22871.66
135,22964.54
136,23045.8
137,23219.95
138,23312.83
139,23394.1
140,23568.25
141,23649.52
142,23707.57
143,23823.67
144,23904.94
145,24079.09
146,24160.36
147,24241.63
148,24311.29
149,24404.17
150,24485.44
151,24578.32
152,24659.59
153,24740.86
154,24915.01
155,24984.67
156,25065.94
157,25158.82
158,25228.48
159,25425.85
160,25507.12
161,25600.0
162,25681.27
163,25762.54
164,25913.47
165,26087.62
166,26273.38
167,26447.53
