time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,0100,4,3,0.950,snare
2.5,1.250,0000,0,3,1.000,unknown
3.8,1.500,0010,4,3,0.880,snare
5.0,1.750,0000,0,3,1.000,unknown
7.5,2.000,2000,4,2,1.000,bass
8.8,2.250,0000,0,3,1.000,unknown
10.0,2.500,0100,4,3,0.820,snare
11.2,2.750,0000,0,3,1.000,unknown
12.5,3.000,3001,4,2,0.910,kick
13.8,3.250,,-1,-1,1.000,separator
15.0,3.500,,-1,-1,1.000,separator
16.2,3.750,,-1,-1,1.000,separator
17.5,4.000,,-1,-1,1.000,separator
18.8,4.250,,-1,-1,1.000,separator
20.0,4.500,,-1,-1,1.000,separator
120000.0,393.000,1000,4,2,0.950,kick
120125.0,393.250,0000,0,3,1.000,unknown
120250.0,393.500,0010,4,3,0.880,snare
120375.0,393.750,0000,0,3,1.000,unknown
120500.0,394.000,2000,4,2,1.000,bass
120625.0,394.250,0000,0,3,1.000,unknown
120750.0,394.500,0100,4,3,0.820,snare
120875.0,394.750,0000,0,3,1.000,unknown
121000.0,395.000,3001,4,2,0.910,kick
121125.0,395.250,0000,0,3,1.000,unknown
121250.0,395.500,0000,0,3,1.000,unknown
121375.0,395.750,0000,0,3,1.000,unknown
121500.0,396.000,0000,0,2,1.000,unknown
121625.0,396.250,0000,0,3,1.000,unknown
121750.0,396.500,0010,4,3,0.890,snare
121875.0,396.750,0000,0,3,1.000,unknown
122000.0,397.000,",",-1,-1,1.000,separator
160000.0,523.667,1000,4,2,0.950,kick
160125.0,523.917,0000,0,3,1.000,unknown
160250.0,524.167,0010,4,3,0.880,snare
160375.0,524.417,0000,0,3,1.000,unknown
160500.0,524.667,2000,4,2,1.000,bass
160625.0,524.917,0000,0,3,1.000,unknown
160750.0,525.167,0100,4,3,0.820,snare
160875.0,525.417,0000,0,3,1.000,unknown
161000.0,525.667,3001,4,2,0.910,kick
161125.0,525.917,0000,0,3,1.000,unknown
161250.0,526.167,0000,0,3,1.000,unknown
161375.0,526.417,0000,0,3,1.000,unknown
161500.0,526.667,0000,0,2,1.000,unknown
161625.0,526.917,0000,0,3,1.000,unknown
161750.0,527.167,0010,4,3,0.890,snare
161875.0,527.417,0000,0,3,1.000,unknown
162000.0,527.667,",",-1,-1,1.000,separator
180000.0,589.000,1000,4,2,0.950,kick
180125.0,589.250,0000,0,3,1.000,unknown
180250.0,589.500,0010,4,3,0.880,snare
180375.0,589.750,0000,0,3,1.000,unknown
180500.0,590.000,2000,4,2,1.000,bass
180625.0,590.250,0000,0,3,1.000,unknown
180750.0,590.500,0100,4,3,0.820,snare
180875.0,590.750,0000,0,3,1.000,unknown
181000.0,591.000,3001,4,2,0.910,kick
181125.0,591.250,0000,0,3,1.000,unknown
181250.0,591.500,0000,0,3,1.000,unknown
181375.0,591.750,0000,0,3,1.000,unknown
181500.0,592.000,0000,0,2,1.000,unknown
181625.0,592.250,0000,0,3,1.000,unknown
181750.0,592.500,0010,4,3,0.790,snare
181875.0,592.750,0000,0,3,1.000,unknown
182000.0,593.000,",",-1,-1,1.000,separator
200000.0,654.333,1000,4,2,0.950,kick
200125.0,654.583,0000,0,3,1.000,unknown
200250.0,654.833,0010,4,3,0.880,snare
200375.0,655.083,0000,0,3,1.000,unknown
200500.0,655.333,2000,4,2,1.000,bass
200625.0,655.583,0000,0,3,1.000,unknown
200750.0,655.833,0100,4,3,0.820,snare
200875.0,656.083,0000,0,3,1.000,unknown
201000.0,656.333,3001,4,2,0.910,kick
201125.0,656.583,0000,0,3,1.000,unknown
201250.0,656.833,0000,0,3,1.000,unknown
201375.0,657.083,0000,0,3,1.000,unknown
201500.0,657.333,0000,0,2,1.000,unknown
201625.0,657.583,0000,0,3,1.000,unknown
201750.0,657.833,0010,4,3,0.890,snare
201875.0,658.083,0000,0,3,1.000,unknown
202000.0,658.333,",",-1,-1,1.000,separator
220000.0,719.667,1000,4,2,0.950,kick
220125.0,719.917,0000,0,3,1.000,unknown
220250.0,720.167,0010,4,3,0.880,snare
220375.0,720.417,0000,0,3,1.000,unknown
220500.0,720.667,2000,4,2,1.000,bass
220625.0,720.917,0000,0,3,1.000,unknown
220750.0,721.167,0100,4,3,0.820,snare
220875.0,721.417,0000,0,3,1.000,unknown
221000.0,721.667,3001,4,2,0.910,kick
221125.0,721.917,0000,0,3,1.000,unknown
221250.0,722.167,0000,0,2,1.000,unknown
221375.0,722.417,0000,0,3,1.000,unknown
221500.0,722.667,0000,0,2,1.000,unknown
221625.0,722.917,0000,0,3,1.000,unknown
221750.0,723.167,0010,4,3,0.890,snare
221875.0,723.417,0000,0,3,1.000,unknown
222000.0,723.667,",",-1,-1,1.000,separator
