time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,1.000,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0100,4,3,1.000,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,1010,4,2,1.000,kick
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,1.000,snare
875.0,2.750,0010,1,3,0.900,melody
1000.0,3.000,1001,4,2,1.000,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0110,4,3,1.000,snare
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,1000,4,2,1.000,kick
1625.0,4.250,0100,1,3,0.850,melody
1750.0,4.500,0010,4,3,1.000,snare
1875.0,4.750,0001,1,3,0.880,melody
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1100,4,2,1.000,kick
2125.0,5.250,0000,0,3,1.000,unknown
2250.0,5.500,0011,4,3,1.000,snare
2375.0,5.750,0000,0,3,1.000,unknown
2500.0,6.000,1111,4,2,1.000,kick
2625.0,6.250,0000,0,3,1.000,unknown
2750.0,6.500,1001,4,3,1.000,snare
2875.0,6.750,0110,1,3,0.950,synth
3000.0,7.000,1010,4,2,1.000,kick
3125.0,7.250,0000,0,3,1.000,unknown
3250.0,7.500,0101,4,3,1.000,snare
3375.0,7.750,1000,1,3,0.800,melody
3500.0,8.000,0010,4,2,1.000,kick
3625.0,8.250,0000,0,3,1.000,unknown
3750.0,8.500,0100,4,3,1.000,snare
3875.0,8.750,0001,1,3,0.920,synth
4000.0,9.000,",",-1,-1,1.000,separator
4000.0,9.000,1000,4,2,1.000,kick
4250.0,9.500,0100,4,3,1.000,snare
4500.0,10.000,1010,4,2,1.000,kick
4750.0,10.500,0101,4,3,1.000,snare
5000.0,11.000,1100,4,2,1.000,kick
5250.0,11.500,0011,4,3,1.000,snare
5500.0,12.000,1001,4,2,1.000,kick
5750.0,12.500,0110,4,3,1.000,snare
6000.0,13.000,",",-1,-1,1.000,separator
6000.0,13.000,1111,4,2,1.000,kick
6500.0,14.000,0110,4,2,1.000,snare
7000.0,15.000,1001,4,2,1.000,kick
7500.0,16.000,1111,4,2,1.000,snare
8000.0,17.000,",",-1,-1,1.000,separator
117500.0,236.000,1000,4,2,1.000,kick
118000.0,237.000,0100,4,2,1.000,snare
118500.0,238.000,0010,1,2,1.000,melody
119000.0,239.000,0001,1,2,1.000,melody
119500.0,240.000,",",-1,-1,1.000,separator
234000.0,469.000,1111,4,2,1.000,kick
234250.0,469.500,0000,0,3,1.000,unknown
234500.0,470.000,1111,4,2,1.000,snare
234750.0,470.500,0000,0,3,1.000,unknown
235000.0,471.000,1111,4,0,1.000,kick
235100.0,471.200,",",-1,-1,1.000,separator
