# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
129.2,3.92,0.00,0.07|0.21,True,0100,0000-10.0%|0001-13.5%|0010-8.5%|0100-5.9%|1000-3.5%|0011-8.1%|0101-5.0%|0110-14.2%|1001-0.0%|1010-0.0%|1100-4.0%|0111-9.4%|1011-0.0%|1101-4.9%|1110-5.5%|1111-7.5%,0100,2.55
129.2,3.92,0.46,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,0.93,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,1.39,1.81,True,0000,0000-10.6%|0001-14.0%|0010-8.0%|0100-0.0%|1000-3.8%|0011-7.7%|0101-5.1%|0110-14.8%|1001-0.0%|1010-3.0%|1100-4.2%|0111-10.3%|1011-0.0%|1101-4.9%|1110-5.6%|1111-7.9%,0000,1.84
129.2,3.92,1.86,1.88|2.02,True,0001,0000-16.4%|0001-15.1%|0010-4.7%|0100-9.1%|1000-5.9%|0011-4.0%|0101-5.3%|0110-15.0%|1001-0.0%|1010-3.7%|1100-4.6%|0111-7.1%|1011-0.0%|1101-0.0%|1110-3.8%|1111-5.2%,0001,1.89
129.2,3.92,2.32,2.35|2.48|2.65,True,0000,0000-21.2%|0001-10.0%|0010-6.4%|0100-10.8%|1000-2.8%|0011-5.5%|0101-6.9%|0110-20.0%|1001-0.0%|1010-0.0%|1100-2.9%|0111-9.8%|1011-0.0%|1101-0.0%|1110-0.0%|1111-3.7%,0000,1.89
129.2,3.92,2.79,2.79|3.02|3.11|3.25,True,0011,0000-3.4%|0001-14.0%|0010-7.8%|0100-13.1%|1000-3.4%|0011-6.8%|0101-8.4%|0110-24.0%|1001-0.0%|1010-0.0%|1100-3.3%|0111-11.8%|1011-0.0%|1101-0.0%|1110-0.0%|1111-4.2%,0011,1.89
129.2,3.92,3.25,3.41|3.58,True,0001,0000-5.0%|0001-14.7%|0010-8.0%|0100-12.5%|1000-3.5%|0011-0.0%|0101-8.6%|0110-24.1%|1001-0.0%|1010-0.0%|1100-3.4%|0111-12.3%|1011-0.0%|1101-0.0%|1110-3.1%|1111-4.7%,0001,1.89
129.2,3.92,3.72,3.72|3.88|4.02,True,0111,0000-0.0%|0001-10.4%|0010-9.7%|0100-11.1%|1000-4.7%|0011-5.9%|0101-11.0%|0110-17.5%|1001-0.0%|1010-0.0%|1100-4.3%|0111-12.3%|1011-0.0%|1101-4.0%|1110-3.9%|1111-5.2%,0111,1.95
129.2,3.92,4.18,4.25|4.34|4.48|4.64,True,0100,0000-0.0%|0001-13.6%|0010-10.6%|0100-19.2%|1000-0.0%|0011-6.8%|0101-11.2%|0110-18.6%|1001-0.0%|1010-0.0%|1100-3.7%|0111-4.7%|1011-0.0%|1101-3.5%|1110-3.4%|1111-4.8%,0100,1.95
129.2,3.92,4.64,4.78|4.95,True,0001,0000-15.5%|0001-12.8%|0010-9.9%|0100-9.2%|1000-2.7%|0011-6.1%|0101-11.2%|0110-17.4%|1001-0.0%|1010-0.0%|1100-3.0%|0111-5.7%|1011-0.0%|1101-2.8%|1110-0.0%|1111-3.8%,0001,1.95
129.2,3.92,5.11,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,5.57,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,6.04,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,6.50,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,6.97,7.38,True,0010,0000-0.0%|0001-11.8%|0010-8.1%|0100-9.0%|1000-0.0%|0011-12.6%|0101-10.7%|0110-21.7%|1001-0.0%|1010-0.0%|1100-3.7%|0111-10.8%|1011-0.0%|1101-3.7%|1110-3.5%|1111-4.4%,0010,2.08
129.2,3.92,7.43,7.55|7.69,True,1100,0000-0.0%|0001-15.6%|0010-3.6%|0100-10.4%|1000-0.0%|0011-13.7%|0101-9.8%|0110-21.4%|1001-0.0%|1010-0.0%|1100-3.8%|0111-10.4%|1011-0.0%|1101-3.3%|1110-3.4%|1111-4.5%,1100,2.13
129.2,3.92,7.89,7.92|8.01|8.15,True,0111,0000-0.0%|0001-15.9%|0010-4.5%|0100-8.8%|1000-0.0%|0011-13.6%|0101-9.0%|0110-20.8%|1001-0.0%|1010-0.0%|1100-0.0%|0111-17.8%|1011-0.0%|1101-2.8%|1110-2.9%|1111-3.9%,0111,2.13
129.2,3.92,8.36,8.48|8.61|8.75,True,0111,0000-0.0%|0001-15.1%|0010-4.4%|0100-16.5%|1000-0.0%|0011-13.2%|0101-9.4%|0110-21.5%|1001-0.0%|1010-0.0%|1100-0.0%|0111-9.0%|1011-0.0%|1101-3.3%|1110-3.3%|1111-4.5%,0111,2.13
129.2,3.92,8.82,8.92|9.15|9.24,True,0010,0000-0.0%|0001-22.4%|0010-4.3%|0100-14.6%|1000-2.8%|0011-12.7%|0101-8.4%|0110-19.5%|1001-0.0%|1010-0.0%|1100-0.0%|0111-4.2%|1011-0.0%|1101-3.2%|1110-3.3%|1111-4.5%,0010,2.14
129.2,3.92,9.29,9.38|9.61|9.68,True,0110,0000-13.7%|0001-19.8%|0010-0.0%|0100-13.2%|1000-2.6%|0011-11.0%|0101-6.5%|0110-16.6%|1001-0.0%|1010-0.0%|1100-0.0%|0111-5.3%|1011-0.0%|1101-0.0%|1110-4.7%|1111-6.5%,0110,2.22
129.2,3.92,9.75,9.85|10.15,True,0111,0000-15.1%|0001-22.9%|0010-0.0%|0100-13.7%|1000-0.0%|0011-13.0%|0101-7.6%|0110-9.6%|1001-0.0%|1010-0.0%|1100-0.0%|0111-6.3%|1011-0.0%|1101-2.1%|1110-4.0%|1111-5.6%,0111,2.22
129.2,3.92,10.22,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,10.68,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,11.15,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,11.61,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,12.07,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,12.54,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,13.00,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,13.47,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,13.93,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,14.40,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,14.86,15.05,True,0110,0000-0.0%|0001-18.3%|0010-6.4%|0100-10.9%|1000-4.3%|0011-8.3%|0101-6.1%|0110-13.3%|1001-0.0%|1010-0.0%|1100-6.0%|0111-12.0%|1011-0.0%|1101-3.1%|1110-5.2%|1111-6.0%,0110,2.59
129.2,3.92,15.33,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,15.79,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,16.25,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,16.72,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,17.18,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,17.65,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,18.11,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,18.58,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,19.04,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,3.92,19.50,19.64|19.95,True,0111,0000-0.0%|0001-19.5%|0010-6.1%|0100-11.8%|1000-3.5%|0011-8.5%|0101-6.7%|0110-16.5%|1001-0.0%|1010-0.0%|1100-4.1%|0111-15.3%|1011-0.0%|1101-0.0%|1110-3.8%|1111-4.3%,0111,2.66
129.2,3.92,19.97,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
