onset_index,onset_ms
0,0.0
1,78.9
2,157.9
3,236.8
4,315.8
5,394.7
6,473.7
7,552.6
8,631.6
9,710.5
10,789.5
11,868.4
12,947.4
13,1026.3
14,1105.3
15,1184.2
16,1263.2
17,1342.1
18,1421.1
19,1500.0
20,1578.9
21,1657.9
22,1736.8
23,1815.8
24,1894.7
25,1973.7
26,2052.6
27,2131.6
28,2210.5
29,2289.5
30,2368.4
31,2447.4
32,2526.3
33,2605.3
34,2684.2
35,2763.2
36,2842.1
37,2921.1
38,3000.0
39,3078.9
40,3157.9
41,3236.8
42,3315.8
43,3394.7
44,3473.7
45,3552.6
46,3631.6
47,3710.5
48,3789.5
49,3868.4
50,3947.4
51,4026.3
52,4105.3
53,4184.2
54,4263.2
55,4342.1
56,4421.1
57,4500.0
58,4578.9
59,4657.9
60,4736.8
61,4815.8
62,4894.7
63,4973.7
64,5052.6
65,5131.6
66,5210.5
67,5289.5
68,5368.4
69,5447.4
70,5526.3
71,5605.3
72,5684.2
73,5763.2
74,5842.1
75,5921.1
76,6000.0
77,6078.9
78,6157.9
79,6236.8
80,6315.8
81,6394.7
82,6473.7
83,6552.6
84,6631.6
85,6710.5
86,6789.5
87,6868.4
88,6947.4
89,7026.3
90,7105.3
91,7184.2
92,7263.2
93,7342.1
94,7421.1
95,7500.0
96,7578.9
97,7657.9
98,7736.8
99,7815.8
100,7894.7
101,7973.7
102,8052.6
103,8131.6
104,8210.5
105,8289.5
106,8368.4
107,8447.4
108,8526.3
109,8605.3
110,8684.2
111,8763.2
112,8842.1
113,8921.1
114,9000.0
115,9078.9
116,9157.9
117,9236.8
118,9315.8
119,9394.7
120,9473.7
121,9552.6
122,9631.6
123,9710.5
124,9789.5
125,9868.4
126,9947.4
127,10026.3
128,10105.3
129,10184.2
130,10263.2
131,10342.1
132,10421.1
133,10500.0
134,10578.9
135,10657.9
136,10736.8
137,10815.8
138,10894.7
139,10973.7
140,11052.6
141,11131.6
142,11210.5
143,11289.5
144,11368.4
145,11447.4
146,11526.3
147,11605.3
148,11684.2
149,11763.2
150,11842.1
151,11921.1
152,12000.0
153,12078.9
154,12157.9
155,12236.8
156,12315.8
157,12394.7
158,12473.7
159,12552.6
160,12631.6
161,12789.5
162,12947.4
163,13105.3
164,13263.2
165,13421.1
166,13578.9
167,13736.8
168,13894.7
169,14052.6
170,14210.5
171,14368.4
172,14526.3
173,14684.2
174,14842.1
175,15000.0
176,15157.9
177,15315.8
178,15473.7
179,15631.6
180,15789.5
181,15947.4
182,16105.3
183,16263.2
184,16421.1
185,16578.9
186,16736.8
187,16894.7
188,17052.6
189,17210.5
190,17368.4
191,17526.3
192,17684.2
193,17842.1
194,18000.0
195,18157.9
196,18315.8
197,18473.7
198,18631.6
199,18789.5
200,18947.4
201,19105.3
202,19263.2
203,19421.1
204,19578.9
205,19736.8
206,19894.7
207,20052.6
208,20210.5
209,20368.4
210,20526.3
211,20684.2
212,20842.1
213,21000.0
214,21157.9
215,21315.8
216,21473.7
217,21631.6
218,21789.5
219,21947.4
220,22105.3
221,22263.2
222,22421.1
223,22578.9
224,22736.8
225,22894.7
226,23052.6
227,23210.5
228,23368.4
229,23526.3
230,23684.2
231,23842.1
232,24000.0
233,24157.9
234,24315.8
235,24473.7
236,24631.6
237,24789.5
238,24947.4
239,25105.3
240,25263.2
241,25421.1
242,25578.9
243,25736.8
244,25894.7
245,26052.6
246,26210.5
247,26368.4
248,26526.3
249,26684.2
250,26842.1
