time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,0.900,synth
428.57,2.000,0001,2,2,0.900,synth
857.14,3.000,0100,2,2,0.900,synth
1285.71,4.000,0010,2,2,0.900,synth
1714.28,5.000,",",-1,-1,1.000,separator
1714.28,5.000,1000,1,2,0.900,synth
2142.85,6.000,0001,2,2,0.900,synth
2571.42,7.000,0100,2,2,0.900,synth
3000.0,8.000,0010,2,2,0.900,synth
3428.57,9.000,",",-1,-1,1.000,separator
3428.57,9.000,1000,1,2,0.900,synth
3857.14,10.000,0001,2,2,0.900,synth
4285.71,11.000,0100,2,2,0.900,synth
4714.28,12.000,0010,2,2,0.900,synth
5142.85,13.000,",",-1,-1,1.000,separator
5142.85,13.000,1000,1,2,0.900,synth
5571.42,14.000,0001,2,2,0.900,synth
6000.0,15.000,0100,2,2,0.900,synth
6428.57,16.000,0010,2,2,0.900,synth
6857.14,17.000,",",-1,-1,1.000,separator
6857.14,17.000,1000,1,2,0.900,synth
7285.71,18.000,0001,2,2,0.900,synth
7714.28,19.000,0100,2,2,0.900,synth
8142.85,20.000,0010,2,2,0.900,synth
8571.42,21.000,",",-1,-1,1.000,separator
8571.42,21.000,1000,1,2,0.900,synth
9000.0,22.000,0001,2,2,0.900,synth
9428.57,23.000,0100,2,2,0.900,synth
9857.14,24.000,0010,2,2,0.900,synth
10285.71,25.000,",",-1,-1,1.000,separator
10285.71,25.000,1000,1,2,0.900,synth
10714.28,26.000,0001,2,2,0.900,synth
11142.85,27.000,0100,2,2,0.900,synth
11571.42,28.000,0010,2,2,0.900,synth
12000.0,29.000,",",-1,-1,1.000,separator
12000.0,29.000,1000,1,2,0.900,synth
12428.57,30.000,0001,2,2,0.900,synth
12857.14,31.000,0100,2,2,0.900,synth
13285.71,32.000,0010,2,2,0.900,synth
13714.28,33.000,",",-1,-1,1.000,separator
13714.28,33.000,1000,1,2,0.900,vocal
14142.85,34.000,0000,0,2,0.000,unknown
14571.42,35.000,0000,0,2,0.000,unknown
15000.0,36.000,0000,0,2,0.000,unknown
15428.57,37.000,",",-1,-1,1.000,separator
15428.57,37.000,0000,0,2,0.000,unknown
15857.14,38.000,0000,0,2,0.000,unknown
16285.71,39.000,0000,0,2,0.000,unknown
16714.28,40.000,0000,0,2,0.000,unknown
17142.85,41.000,",",-1,-1,1.000,separator
17142.85,41.000,1000,4,2,1.000,kick
17571.42,42.000,0010,4,2,1.000,kick
18000.0,43.000,0100,4,2,1.000,kick
18428.57,44.000,0001,4,2,1.000,kick
18857.14,45.000,",",-1,-1,1.000,separator
18857.14,45.000,1000,4,2,1.000,kick
19285.71,46.000,0010,4,2,1.000,kick
19714.28,47.000,0100,4,2,1.000,kick
20142.85,48.000,0001,4,2,1.000,kick
20571.42,49.000,",",-1,-1,1.000,separator
20571.42,49.000,1000,4,2,1.000,kick
21000.0,50.000,0010,4,2,1.000,kick
21428.57,51.000,0100,4,2,1.000,kick
21857.14,52.000,0001,4,2,1.000,kick
