time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,4,2,0.950,kick
117.1875,0.250,0000,0,3,1.000,unknown
234.375,0.500,0010,4,3,0.880,synth
351.5625,0.750,0000,0,3,1.000,unknown
468.75,1.000,0100,4,2,0.920,snare
585.9375,1.250,0000,0,3,1.000,unknown
703.125,1.500,0010,4,3,0.850,synth
820.3125,1.750,0000,0,3,1.000,unknown
937.5,2.000,1000,4,2,0.940,kick
1054.6875,2.250,0000,0,3,1.000,unknown
1171.875,2.500,0010,4,3,0.870,synth
1289.0625,2.750,0000,0,3,1.000,unknown
1406.25,3.000,0100,4,2,0.910,snare
1523.4375,3.250,0000,0,3,1.000,unknown
1640.625,3.500,0010,4,3,0.840,synth
1757.8125,3.750,0000,0,3,1.000,unknown
1875.0,4.000,",",-1,-1,1.000,separator
1875.0,4.000,1100,4,2,0.960,kick
1992.1875,4.250,0011,4,3,0.890,synth
2109.375,4.500,1000,4,3,0.880,kick
2226.5625,4.750,0010,4,3,0.870,synth
2343.75,5.000,0100,4,2,0.920,snare
2460.9375,5.250,0000,0,3,1.000,unknown
2578.125,5.500,1000,4,3,0.850,kick
2695.3125,5.750,0001,4,3,0.860,synth
2812.5,6.000,1001,4,2,0.930,kick
2929.6875,6.250,0000,0,3,1.000,unknown
3046.875,6.500,0110,4,3,0.880,synth
3164.0625,6.750,0000,0,3,1.000,unknown
3281.25,7.000,0100,4,2,0.910,snare
3398.4375,7.250,1000,4,3,0.840,kick
3515.625,7.500,0010,4,3,0.870,synth
3632.8125,7.750,0001,4,3,0.850,synth
3750.0,8.000,",",-1,-1,1.000,separator
3750.0,8.000,1000,4,2,0.950,kick
3867.1875,8.250,0010,4,3,0.890,synth
3984.375,8.500,0100,4,3,0.880,snare
4101.5625,8.750,0010,4,3,0.870,synth
4218.75,9.000,1001,4,2,0.920,kick
4335.9375,9.250,0000,0,3,1.000,unknown
4453.125,9.500,0110,4,3,0.850,synth
4570.3125,9.750,0000,0,3,1.000,unknown
4687.5,10.000,0100,4,2,0.940,snare
4804.6875,10.250,1000,4,3,0.870,kick
4921.875,10.500,0010,4,3,0.880,synth
5039.0625,10.750,0000,0,3,1.000,unknown
5156.25,11.000,1000,4,2,0.910,kick
5273.4375,11.250,0100,4,3,0.840,snare
5390.625,11.500,0011,4,3,0.870,synth
5507.8125,11.750,0000,0,3,1.000,unknown
5625.0,12.000,",",-1,-1,1.000,separator
5625.0,12.000,1010,4,2,0.950,kick
5742.1875,12.250,0100,4,3,0.890,snare
5859.375,12.500,0001,4,3,0.880,synth
5976.5625,12.750,1000,4,3,0.870,kick
6093.75,13.000,0110,4,2,0.920,snare
6210.9375,13.250,0000,0,3,1.000,unknown
6328.125,13.500,1001,4,3,0.850,kick
6445.3125,13.750,0000,0,3,1.000,unknown
6562.5,14.000,1100,4,2,0.940,kick
6679.6875,14.250,0010,4,3,0.870,synth
6796.875,14.500,0101,4,3,0.880,snare
6914.0625,14.750,0000,0,3,1.000,unknown
7031.25,15.000,1000,4,2,0.910,kick
7148.4375,15.250,0011,4,3,0.840,synth
7265.625,15.500,0100,4,3,0.870,snare
7382.8125,15.750,1000,4,3,0.850,kick
7500.0,16.000,",",-1,-1,1.000,separator
146250.0,312.000,1111,4,0,0.980,synth
146437.5,312.500,0000,0,3,1.000,unknown
146625.0,313.000,0000,0,2,1.000,unknown
146812.5,313.500,0000,0,3,1.000,unknown
147000.0,314.000,1111,4,2,0.970,kick
147187.5,314.500,0000,0,3,1.000,unknown
147375.0,315.000,0000,0,3,1.000,unknown
147562.5,315.500,0000,0,3,1.000,unknown
147700.0,316.000,",",-1,-1,1.000,separator
