time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,1.000,kick
87.2,1.250,0000,0,3,1.000,unknown
174.4,1.500,0100,4,3,1.000,snare
261.6,1.750,0000,0,3,1.000,unknown
348.8,2.000,0010,4,2,1.000,kick
436.0,2.250,0000,0,3,1.000,unknown
523.3,2.500,0001,4,3,1.000,snare
610.5,2.750,0000,0,3,1.000,unknown
697.7,3.000,1100,4,2,1.000,kick
784.9,3.250,0000,0,3,1.000,unknown
872.1,3.500,0011,4,3,1.000,snare
959.3,3.750,0000,0,3,1.000,unknown
1046.5,4.000,1001,4,2,1.000,kick
1133.7,4.250,0000,0,3,1.000,unknown
1220.9,4.500,0110,4,3,1.000,snare
1308.1,4.750,0000,0,3,1.000,unknown
1395.3,5.000,",",-1,-1,1.000,separator
1395.3,5.000,1000,4,2,1.000,kick
1482.6,5.250,0010,3,3,1.000,synth
1569.8,5.500,0100,4,3,1.000,snare
1657.0,5.750,0001,3,3,1.000,synth
1744.2,6.000,0010,4,2,1.000,kick
1831.4,6.250,1000,3,3,1.000,synth
1918.6,6.500,0001,4,3,1.000,snare
2005.8,6.750,0100,3,3,1.000,synth
2093.0,7.000,1010,4,2,1.000,kick
2180.2,7.250,0000,0,3,1.000,unknown
2267.4,7.500,0101,4,3,1.000,snare
2354.7,7.750,0000,0,3,1.000,unknown
2441.9,8.000,1001,4,2,1.000,kick
2529.1,8.250,0010,3,3,1.000,synth
2616.3,8.500,0110,4,3,1.000,snare
2703.5,8.750,1000,3,3,1.000,synth
2790.7,9.000,",",-1,-1,1.000,separator
