time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,1,2,0.980,kick
104.9,1.250,0000,0,4,1.000,unknown
209.8,1.500,0110,4,3,0.920,snare
314.7,1.750,0000,0,4,1.000,unknown
419.6,2.000,1000,2,2,0.950,kick
524.5,2.250,0010,3,4,0.880,synth
629.4,2.500,0100,4,3,0.910,snare
734.3,2.750,0001,3,4,0.850,synth
839.2,3.000,1010,2,2,0.940,kick
944.1,3.250,0000,0,4,1.000,unknown
1049.0,3.500,0100,4,3,0.900,snare
1153.9,3.750,0010,3,4,0.870,synth
1258.8,4.000,1000,2,2,0.960,kick
1363.7,4.250,0001,3,4,0.890,synth
1468.6,4.500,0110,4,3,0.930,snare
1573.5,4.750,0000,0,4,1.000,unknown
1678.4,5.000,",",-1,-1,1.000,separator
1678.4,5.000,1000,2,2,0.940,kick
1783.3,5.250,0100,3,4,0.880,synth
1888.2,5.500,0010,3,4,0.880,synth
1993.1,5.750,0001,3,4,0.880,synth
2098.0,6.000,1100,2,2,0.950,kick
2202.9,6.250,0010,3,4,0.880,synth
2307.8,6.500,0100,3,4,0.880,synth
2412.7,6.750,1000,3,4,0.880,synth
2517.6,7.000,0011,2,2,0.950,kick
2622.5,7.250,0100,3,4,0.880,synth
2727.4,7.500,0010,3,4,0.880,synth
2832.3,7.750,1000,3,4,0.880,synth
2937.2,8.000,1001,2,2,0.950,kick
3042.1,8.250,0100,3,4,0.880,synth
3147.0,8.500,0010,3,4,0.880,synth
3251.9,8.750,1000,3,4,0.880,synth
3356.8,9.000,",",-1,-1,1.000,separator
3356.8,9.000,0100,1,2,0.940,snare
3461.7,9.250,0010,3,4,0.850,synth
3566.6,9.500,0101,4,3,0.910,snare
3671.5,9.750,0010,3,4,0.850,synth
3776.4,10.000,1000,2,2,0.940,kick
3881.3,10.250,0100,3,4,0.850,synth
3986.2,10.500,0010,4,3,0.900,snare
4091.1,10.750,0001,3,4,0.850,synth
4196.0,11.000,1100,2,2,0.940,kick
4300.9,11.250,0010,3,4,0.850,synth
4405.8,11.500,0100,4,3,0.910,snare
4510.7,11.750,1000,3,4,0.850,synth
4615.6,12.000,0011,2,2,0.940,kick
4720.5,12.250,0100,3,4,0.850,synth
4825.4,12.500,1000,4,3,0.910,snare
4930.3,12.750,0010,3,4,0.850,synth
5035.2,13.000,",",-1,-1,1.000,separator
5035.2,13.000,1001,2,2,0.970,kick
5140.1,13.250,0100,3,4,0.890,synth
5245.0,13.500,0010,4,3,0.930,snare
5349.9,13.750,0100,3,4,0.890,synth
5454.8,14.000,1000,2,2,0.950,kick
5559.7,14.250,0001,3,4,0.890,synth
5664.6,14.500,0010,4,3,0.920,snare
5769.5,14.750,1000,3,4,0.890,synth
5874.4,15.000,1100,2,2,0.950,kick
5979.3,15.250,0000,0,4,1.000,unknown
6084.2,15.500,0011,4,3,0.920,snare
6189.1,15.750,0000,0,4,1.000,unknown
6294.0,16.000,0110,2,2,0.950,kick
6398.9,16.250,0000,0,4,1.000,unknown
6503.8,16.500,1001,4,3,0.920,snare
6608.7,16.750,0000,0,4,1.000,unknown
6713.6,17.000,",",-1,-1,1.000,separator
6713.6,17.000,2000,1,0,0.900,synth
6818.5,17.250,0100,3,4,0.850,synth
6923.4,17.500,0010,3,4,0.850,synth
7028.3,17.750,0001,3,4,0.850,synth
7133.2,18.000,3000,2,0,0.900,synth
7238.1,18.250,0100,3,4,0.850,synth
7343.0,18.500,0010,3,4,0.850,synth
7447.9,18.750,0001,3,4,0.850,synth
7552.8,19.000,0200,2,0,0.900,synth
7657.7,19.250,1000,3,4,0.850,synth
7762.6,19.500,0010,3,4,0.850,synth
7867.5,19.750,0001,3,4,0.850,synth
7972.4,20.000,0300,2,0,0.900,synth
8077.3,20.250,1000,3,4,0.850,synth
8182.2,20.500,0100,3,4,0.850,synth
8287.1,20.750,0001,3,4,0.850,synth
8392.0,21.000,",",-1,-1,1.000,separator
8392.0,21.000,1100,2,2,0.960,kick
8496.9,21.250,0011,3,4,0.880,synth
8601.8,21.500,1100,4,3,0.920,snare
8706.7,21.750,0011,3,4,0.880,synth
8811.6,22.000,1100,2,2,0.960,kick
8916.5,22.250,0011,3,4,0.880,synth
9021.4,22.500,1100,4,3,0.920,snare
9126.3,22.750,0011,3,4,0.880,synth
9231.2,23.000,1111,2,2,0.980,kick
9336.1,23.250,0000,0,4,1.000,unknown
9441.0,23.500,1111,4,3,0.920,snare
9545.9,23.750,0000,0,4,1.000,unknown
9650.8,24.000,1111,2,2,0.980,kick
9755.7,24.250,0000,0,4,1.000,unknown
9860.6,24.500,1111,4,3,0.920,snare
9965.5,24.750,0000,0,4,1.000,unknown
10070.4,25.000,",",-1,-1,1.000,separator
10070.4,25.000,1000,1,2,0.950,bass
10175.3,25.250,0100,3,4,0.850,synth
10280.2,25.500,0010,4,3,0.900,snare
10385.1,25.750,0100,3,4,0.850,synth
10490.0,26.000,1000,2,2,0.940,kick
10594.9,26.250,0001,3,4,0.850,synth
10699.8,26.500,0010,4,3,0.900,snare
10804.7,26.750,1000,3,4,0.850,synth
10909.6,27.000,1100,2,2,0.950,kick
11014.5,27.250,0010,3,4,0.850,synth
11119.4,27.500,0100,4,3,0.900,snare
11224.3,27.750,0001,3,4,0.850,synth
11329.2,28.000,1110,2,2,0.960,kick
11434.1,28.250,0001,3,4,0.850,synth
11539.0,28.500,0010,4,3,0.900,snare
11643.9,28.750,0000,0,4,1.000,unknown
11748.8,29.000,",",-1,-1,1.000,separator
11748.8,29.000,1100,2,2,0.950,kick
11853.7,29.250,0010,3,4,0.850,synth
11958.6,29.500,0100,3,4,0.850,synth
12063.5,29.750,0001,3,4,0.850,synth
12168.4,30.000,0011,2,2,0.950,kick
12273.3,30.250,1000,3,4,0.850,synth
12378.2,30.500,0100,3,4,0.850,synth
12483.1,30.750,0010,3,4,0.850,synth
12588.0,31.000,1001,2,2,0.950,kick
12692.9,31.250,0100,3,4,0.850,synth
12797.8,31.500,0010,3,4,0.850,synth
12902.7,31.750,0001,3,4,0.850,synth
13007.6,32.000,1100,2,2,0.950,kick
13112.5,32.250,0010,3,4,0.850,synth
13217.4,32.500,0110,4,3,0.900,snare
13322.3,32.750,0000,0,4,1.000,unknown
13427.2,33.000,",",-1,-1,1.000,separator
13427.2,33.000,0110,2,2,0.940,kick
13532.1,33.250,1001,3,4,0.850,synth
13637.0,33.500,0110,4,3,0.910,snare
13741.9,33.750,1001,3,4,0.850,synth
13846.8,34.000,0110,2,2,0.940,kick
13951.7,34.250,1001,3,4,0.850,synth
14056.6,34.500,0110,4,3,0.910,snare
14161.5,34.750,1001,3,4,0.850,synth
14266.4,35.000,0110,2,2,0.940,kick
14371.3,35.250,1001,3,4,0.850,synth
14476.2,35.500,0110,4,3,0.910,snare
14581.1,35.750,1001,3,4,0.850,synth
14686.0,36.000,1111,2,2,0.980,kick
14790.9,36.250,0000,0,4,1.000,unknown
14895.8,36.500,1111,4,3,0.950,snare
15000.7,36.750,0000,0,4,1.000,unknown
15105.6,37.000,",",-1,-1,1.000,separator
15105.6,37.000,2000,1,2,0.920,melody
15210.5,37.250,0000,0,4,1.000,unknown
15315.4,37.500,0100,4,3,0.880,snare
15420.3,37.750,0010,3,4,0.820,synth
15525.2,38.000,3000,2,2,0.920,melody
15630.1,38.250,0001,3,4,0.820,synth
15735.0,38.500,0100,4,3,0.880,snare
15839.9,38.750,0000,0,4,1.000,unknown
15944.8,39.000,0200,2,2,0.920,melody
16049.7,39.250,0000,0,4,1.000,unknown
16154.6,39.500,1000,4,3,0.880,snare
16259.5,39.750,0001,3,4,0.820,synth
16364.4,40.000,0300,2,2,0.920,melody
16469.3,40.250,1000,3,4,0.820,synth
16574.2,40.500,0010,4,3,0.880,snare
16679.1,40.750,0000,0,4,1.000,unknown
16784.0,41.000,",",-1,-1,1.000,separator
16784.0,41.000,0020,1,2,0.920,melody
16888.9,41.250,1000,3,4,0.820,synth
16993.8,41.500,0100,4,3,0.880,snare
17098.7,41.750,1000,3,4,0.820,synth
17203.6,42.000,0030,2,2,0.920,melody
17308.5,42.250,0001,3,4,0.820,synth
17413.4,42.500,0100,4,3,0.880,snare
17518.3,42.750,0000,0,4,1.000,unknown
17623.2,43.000,0002,2,2,0.920,melody
17728.1,43.250,1000,3,4,0.820,synth
17833.0,43.500,0100,4,3,0.880,snare
17937.9,43.750,0010,3,4,0.820,synth
18042.8,44.000,0003,2,2,0.920,melody
18147.7,44.250,1000,3,4,0.820,synth
18252.6,44.500,0100,4,3,0.880,snare
18357.5,44.750,0000,0,4,1.000,unknown
18462.4,45.000,",",-1,-1,1.000,separator
18462.4,45.000,1001,2,2,0.950,kick
18567.3,45.250,0000,0,4,1.000,unknown
18672.2,45.500,0110,4,3,0.900,snare
18777.1,45.750,0000,0,4,1.000,unknown
18882.0,46.000,2000,2,2,0.930,melody
18986.9,46.250,0010,3,4,0.820,synth
19091.8,46.500,0100,4,3,0.880,snare
19196.7,46.750,0001,3,4,0.820,synth
19301.6,47.000,3000,2,2,0.930,melody
19406.5,47.250,0100,3,4,0.820,synth
19511.4,47.500,0010,4,3,0.880,snare
19616.3,47.750,0001,3,4,0.820,synth
19721.2,48.000,1001,2,2,0.950,kick
19826.1,48.250,0100,3,4,0.820,synth
19931.0,48.500,0110,4,3,0.900,snare
20035.9,48.750,0000,0,4,1.000,unknown
20140.8,49.000,",",-1,-1,1.000,separator
20140.8,49.000,0200,2,2,0.940,melody
20245.7,49.250,1000,3,4,0.820,synth
20350.6,49.500,0010,4,3,0.880,snare
20455.5,49.750,0001,3,4,0.820,synth
20560.4,50.000,0300,2,2,0.940,melody
20665.3,50.250,1000,3,4,0.820,synth
20770.2,50.500,0100,4,3,0.880,snare
20875.1,50.750,0010,3,4,0.820,synth
20980.0,51.000,0020,2,2,0.940,melody
21084.9,51.250,0001,3,4,0.820,synth
21189.8,51.500,0100,4,3,0.880,snare
21294.7,51.750,1000,3,4,0.820,synth
21399.6,52.000,0030,2,2,0.940,melody
21504.5,52.250,0100,3,4,0.820,synth
21609.4,52.500,0010,4,3,0.880,snare
21714.3,52.750,0001,3,4,0.820,synth
21819.2,53.000,",",-1,-1,1.000,separator
21819.2,53.000,0002,2,2,0.940,melody
21924.1,53.250,1000,3,4,0.820,synth
22029.0,53.500,0100,4,3,0.880,snare
22133.9,53.750,0010,3,4,0.820,synth
22238.8,54.000,0003,2,2,0.940,melody
22343.7,54.250,0100,3,4,0.820,synth
22448.6,54.500,1001,4,3,0.900,snare
22553.5,54.750,0000,0,4,1.000,unknown
22658.4,55.000,1111,2,2,0.980,kick
22763.3,55.250,0000,0,4,1.000,unknown
22868.2,55.500,1111,4,3,0.920,snare
22973.1,55.750,0000,0,4,1.000,unknown
23078.0,56.000,1111,2,2,0.980,kick
23182.9,56.250,0000,0,4,1.000,unknown
23287.8,56.500,1111,4,3,0.920,snare
23392.7,56.750,0000,0,4,1.000,unknown
23497.6,57.000,",",-1,-1,1.000,separator
23497.6,57.000,1001,2,2,0.960,kick
23602.5,57.250,0110,3,4,0.880,synth
23707.4,57.500,1001,4,3,0.910,snare
23812.3,57.750,0110,3,4,0.880,synth
23917.2,58.000,1001,2,2,0.960,kick
24022.1,58.250,0110,3,4,0.880,synth
24127.0,58.500,1001,4,3,0.910,snare
24231.9,58.750,0110,3,4,0.880,synth
24336.8,59.000,1001,2,2,0.960,kick
24441.7,59.250,0110,3,4,0.880,synth
24546.6,59.500,1001,4,3,0.910,snare
24651.5,59.750,0110,3,4,0.880,synth
24756.4,60.000,1001,2,2,0.960,kick
24861.3,60.250,0110,3,4,0.880,synth
24966.2,60.500,1001,4,3,0.910,snare
25071.1,60.750,0110,3,4,0.880,synth
25176.0,61.000,",",-1,-1,1.000,separator
25176.0,61.000,1111,1,2,0.990,kick
25280.9,61.250,0000,0,4,1.000,unknown
25385.8,61.500,1111,4,3,0.950,snare
25490.7,61.750,0000,0,4,1.000,unknown
25595.6,62.000,1111,2,2,0.990,kick
25700.5,62.250,0000,0,4,1.000,unknown
25805.4,62.500,1111,4,3,0.950,snare
25910.3,62.750,0000,0,4,1.000,unknown
26015.2,63.000,1111,2,2,0.990,kick
26120.1,63.250,0000,0,4,1.000,unknown
26225.0,63.500,1111,4,3,0.950,snare
26329.9,63.750,0000,0,4,1.000,unknown
26434.8,64.000,1111,2,2,0.990,kick
26539.7,64.250,0000,0,4,1.000,unknown
26644.6,64.500,1111,4,3,0.950,snare
26749.5,64.750,0000,0,4,1.000,unknown
26854.4,65.000,",",-1,-1,1.000,separator
26854.4,65.000,2200,2,0,0.930,melody
26959.3,65.250,0000,0,4,1.000,unknown
27064.2,65.500,0011,4,3,0.900,snare
27169.1,65.750,0000,0,4,1.000,unknown
27274.0,66.000,3300,2,0,0.930,melody
27378.9,66.250,1100,3,4,0.850,synth
27483.8,66.500,0011,4,3,0.900,snare
27588.7,66.750,1100,3,4,0.850,synth
27693.6,67.000,0022,2,0,0.930,melody
27798.5,67.250,0000,0,4,1.000,unknown
27903.4,67.500,1100,4,3,0.900,snare
28008.3,67.750,0000,0,4,1.000,unknown
28113.2,68.000,0033,2,0,0.930,melody
28218.1,68.250,1100,3,4,0.850,synth
28323.0,68.500,0011,4,3,0.900,snare
28427.9,68.750,0000,0,4,1.000,unknown
28532.8,69.000,",",-1,-1,1.000,separator
28532.8,69.000,1001,2,2,0.960,kick
28637.7,69.250,0110,3,4,0.880,synth
28742.6,69.500,1001,4,3,0.910,snare
28847.5,69.750,0110,3,4,0.880,synth
28952.4,70.000,1001,2,2,0.960,kick
29057.3,70.250,0110,3,4,0.880,synth
29162.2,70.500,1001,4,3,0.910,snare
29267.1,70.750,0110,3,4,0.880,synth
29372.0,71.000,1001,2,2,0.960,kick
29476.9,71.250,0110,3,4,0.880,synth
29581.8,71.500,1001,4,3,0.910,snare
29686.7,71.750,0110,3,4,0.880,synth
29791.6,72.000,1111,2,2,0.990,kick
29896.5,72.250,0000,0,4,1.000,unknown
30001.4,72.500,1111,4,3,0.990,snare
30106.3,72.750,0000,0,4,1.000,unknown
30211.2,73.000,",",-1,-1,1.000,separator
0.0,1.000,1000,1,2,0.950,kick
104.9,1.250,0000,0,4,1.000,unknown
209.8,1.500,0100,4,3,0.880,snare
314.7,1.750,0000,0,4,1.000,unknown
419.6,2.000,1000,1,2,0.920,kick
524.5,2.250,0010,4,4,0.850,synth
629.4,2.500,0100,4,3,0.880,snare
734.3,2.750,0001,4,4,0.820,synth
839.2,3.000,1100,1,2,0.940,kick
944.1,3.250,0000,0,4,1.000,unknown
1049.0,3.500,0011,4,3,0.890,snare
1153.9,3.750,0000,0,4,1.000,unknown
1258.7,4.000,1001,4,2,0.900,kick
1363.6,4.250,0110,4,4,0.840,synth
1468.5,4.500,0000,0,3,1.000,unknown
1573.4,4.750,0001,4,4,0.810,synth
1678.3,5.000,",",-1,-1,1.000,separator
1678.3,5.000,2000,1,2,0.960,bass
1783.2,5.250,0000,0,4,1.000,unknown
1888.1,5.500,0010,4,3,0.880,snare
1993.0,5.750,0000,0,4,1.000,unknown
2097.9,6.000,3000,1,2,0.960,bass
2202.8,6.250,0100,4,4,0.850,synth
2307.7,6.500,0011,4,3,0.900,snare
2412.6,6.750,0000,0,4,1.000,unknown
2517.5,7.000,1001,1,2,0.930,kick
2622.4,7.250,0000,0,4,1.000,unknown
2727.3,7.500,1100,4,3,0.870,snare
2832.2,7.750,0000,0,4,1.000,unknown
2937.1,8.000,1001,1,2,0.920,kick
3042.0,8.250,0100,4,4,0.840,synth
3146.9,8.500,0010,4,3,0.880,snare
3251.8,8.750,0001,4,4,0.830,synth
3356.6,9.000,",",-1,-1,1.000,separator
3356.6,9.000,1001,1,2,0.960,kick
3461.5,9.250,0110,4,4,0.850,synth
3566.4,9.500,0000,0,3,1.000,unknown
3671.3,9.750,0110,4,4,0.860,synth
3776.2,10.000,1001,1,2,0.940,kick
3881.1,10.250,1100,4,4,0.880,synth
3986.0,10.500,0000,0,3,1.000,unknown
4090.9,10.750,0011,4,4,0.870,synth
4195.8,11.000,1001,1,2,0.950,kick
4300.7,11.250,0110,4,4,0.890,synth
4405.6,11.500,0000,0,3,1.000,unknown
4510.5,11.750,0110,4,4,0.840,synth
4615.4,12.000,1001,1,2,0.920,kick
4720.3,12.250,0000,0,4,1.000,unknown
4825.2,12.500,0110,4,3,0.900,snare
4930.1,12.750,1001,4,4,0.880,synth
5035.0,13.000,",",-1,-1,1.000,separator
5035.0,13.000,1001,1,2,0.950,kick
5139.9,13.250,0000,0,4,1.000,unknown
5244.8,13.500,0110,4,3,0.880,snare
5349.7,13.750,0000,0,4,1.000,unknown
5454.6,14.000,1001,1,2,0.940,kick
5559.5,14.250,1100,4,4,0.870,synth
5664.4,14.500,0011,4,3,0.890,snare
5769.3,14.750,0000,0,4,1.000,unknown
5874.2,15.000,1000,1,2,0.950,kick
5979.1,15.250,0100,4,4,0.850,synth
6084.0,15.500,0010,4,3,0.880,snare
6188.9,15.750,0001,4,4,0.820,synth
6293.8,16.000,1100,1,2,0.930,kick
6398.7,16.250,0000,0,4,1.000,unknown
6503.6,16.500,0011,4,3,0.900,snare
6608.5,16.750,0000,0,4,1.000,unknown
6713.4,17.000,",",-1,-1,1.000,separator
6713.4,17.000,1001,1,2,0.960,kick
6818.3,17.250,0110,4,4,0.870,synth
6923.2,17.500,0000,0,3,1.000,unknown
7028.1,17.750,0110,4,4,0.850,synth
7133.0,18.000,2100,1,2,0.940,bass
7237.9,18.250,0000,0,4,1.000,unknown
7342.8,18.500,0011,4,3,0.890,snare
7447.7,18.750,0000,0,4,1.000,unknown
7552.6,19.000,3100,1,2,0.940,bass
7657.5,19.250,0011,4,4,0.860,synth
7762.4,19.500,0000,0,3,1.000,unknown
7867.3,19.750,1100,4,4,0.880,synth
7972.2,20.000,1001,1,2,0.950,kick
8077.1,20.250,0000,0,4,1.000,unknown
8182.0,20.500,0110,4,3,0.900,snare
8286.9,20.750,1001,4,4,0.860,synth
8391.8,21.000,",",-1,-1,1.000,separator
8391.8,21.000,1000,1,2,0.950,kick
8496.7,21.250,0100,4,4,0.850,synth
8601.6,21.500,0010,4,3,0.880,snare
8706.5,21.750,0001,4,4,0.820,synth
8811.4,22.000,1000,1,2,0.920,kick
8916.3,22.250,0100,4,4,0.840,synth
9021.2,22.500,0010,4,3,0.890,snare
9126.1,22.750,0001,4,4,0.820,synth
9231.0,23.000,1000,1,2,0.940,kick
9335.9,23.250,0100,4,4,0.850,synth
9440.8,23.500,0010,4,3,0.880,snare
9545.7,23.750,0001,4,4,0.820,synth
9650.6,24.000,1000,1,2,0.930,kick
9755.5,24.250,0100,4,4,0.840,synth
9860.4,24.500,0010,4,3,0.890,snare
9965.3,24.750,0001,4,4,0.820,synth
10070.2,25.000,",",-1,-1,1.000,separator
10070.2,25.000,1001,1,2,0.960,kick
10175.1,25.250,0110,4,4,0.860,synth
10280.0,25.500,0000,0,3,1.000,unknown
10384.9,25.750,0110,4,4,0.840,synth
10489.8,26.000,1001,1,2,0.940,kick
10594.7,26.250,1100,4,4,0.870,synth
10699.6,26.500,0000,0,3,1.000,unknown
10804.5,26.750,0011,4,4,0.860,synth
10909.4,27.000,1001,1,2,0.950,kick
11014.3,27.250,0110,4,4,0.880,synth
11119.2,27.500,0000,0,3,1.000,unknown
11224.1,27.750,0110,4,4,0.850,synth
11329.0,28.000,1001,1,2,0.920,kick
11433.9,28.250,0000,0,4,1.000,unknown
11538.8,28.500,0110,4,3,0.890,snare
11643.7,28.750,1001,4,4,0.860,synth
11748.6,29.000,",",-1,-1,1.000,separator
11748.6,29.000,1000,1,2,0.950,kick
11853.5,29.250,0100,4,4,0.840,synth
11958.4,29.500,0010,4,3,0.880,snare
12063.3,29.750,0001,4,4,0.820,synth
12168.2,30.000,1000,1,2,0.920,kick
12273.1,30.250,0100,4,4,0.840,synth
12378.0,30.500,0010,4,3,0.880,snare
12482.9,30.750,0001,4,4,0.820,synth
12587.8,31.000,1000,1,2,0.940,kick
12692.7,31.250,0100,4,4,0.850,synth
12797.6,31.500,0010,4,3,0.880,snare
12902.5,31.750,0001,4,4,0.820,synth
13007.4,32.000,1000,1,2,0.930,kick
13112.3,32.250,0100,4,4,0.840,synth
13217.2,32.500,0010,4,3,0.890,snare
13322.1,32.750,0001,4,4,0.820,synth
13427.0,33.000,",",-1,-1,1.000,separator
13427.0,33.000,1100,1,2,0.960,kick
13531.9,33.250,0000,0,4,1.000,unknown
13636.8,33.500,0011,4,3,0.900,snare
13741.7,33.750,0000,0,4,1.000,unknown
13846.6,34.000,1001,1,2,0.940,kick
13951.5,34.250,0110,4,4,0.870,synth
14056.4,34.500,0000,0,3,1.000,unknown
14161.3,34.750,0110,4,4,0.850,synth
14266.2,35.000,1100,1,2,0.950,kick
