time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,3,2,0.800,synth
428.57,2.000,0001,3,2,0.800,synth
857.14,3.000,0100,3,2,0.800,synth
1285.71,4.000,0010,3,2,0.800,synth
1714.28,5.000,",",-1,-1,1.000,separator
1714.28,5.000,1000,3,2,0.850,synth
2571.42,7.000,0001,3,2,0.850,synth
3428.56,9.000,",",-1,-1,1.000,separator
3428.56,9.000,0100,3,2,0.850,synth
4285.7,11.000,0010,3,2,0.850,synth
5142.84,13.000,",",-1,-1,1.000,separator
6857.12,17.000,",",-1,-1,1.000,separator
6857.12,17.000,1001,1,2,0.900,synth
8571.4,21.000,",",-1,-1,1.000,separator
10285.68,25.000,",",-1,-1,1.000,separator
12000.0,29.000,",",-1,-1,1.000,separator
12857.1,31.000,0100,1,2,0.900,kick
13285.67,32.000,0010,1,2,0.900,kick
13714.24,33.000,",",-1,-1,1.000,separator
13714.24,33.000,1001,4,2,0.950,kick
14142.81,34.000,0100,2,2,0.900,bass
14571.38,35.000,0010,4,2,0.950,kick
14999.95,36.000,0001,2,2,0.900,bass
15428.52,37.000,",",-1,-1,1.000,separator
15428.52,37.000,1000,4,2,0.950,kick
16285.66,39.000,0010,4,2,0.950,kick
17142.8,41.000,",",-1,-1,1.000,separator
17142.8,41.000,0110,4,2,0.950,kick
18857.08,45.000,",",-1,-1,1.000,separator
18857.08,45.000,1001,4,2,0.950,kick
20571.36,49.000,",",-1,-1,1.000,separator
20571.36,49.000,0100,4,2,0.950,kick
20999.93,50.000,1000,2,2,0.900,bass
21428.5,51.000,0001,4,2,0.950,kick
22285.64,53.000,",",-1,-1,1.000,separator
24000.0,57.000,",",-1,-1,1.000,separator
24000.0,57.000,1001,4,2,0.950,kick
25714.2,61.000,",",-1,-1,1.000,separator
27428.48,65.000,",",-1,-1,1.000,separator
27428.48,65.000,0110,4,2,0.950,kick
29142.76,69.000,",",-1,-1,1.000,separator
30857.04,73.000,",",-1,-1,1.000,separator
30857.04,73.000,1000,4,2,0.950,kick
31071.32,73.500,0100,3,3,0.850,melody
31285.6,74.000,0010,3,3,0.850,melody
31499.88,74.500,0001,3,3,0.850,melody
32571.32,77.000,",",-1,-1,1.000,separator
34285.6,81.000,",",-1,-1,1.000,separator
34285.6,81.000,1001,4,2,0.950,kick
35999.88,85.000,",",-1,-1,1.000,separator
37714.16,89.000,",",-1,-1,1.000,separator
37714.16,89.000,0110,4,2,0.950,kick
39428.44,93.000,",",-1,-1,1.000,separator
40285.58,95.000,1111,1,2,0.900,crash
41142.72,97.000,",",-1,-1,1.000,separator
41142.72,97.000,0010,1,2,0.800,vocal
42857.0,101.000,",",-1,-1,1.000,separator
44571.28,105.000,",",-1,-1,1.000,separator
44571.28,105.000,1000,1,2,0.800,vocal
46285.56,109.000,",",-1,-1,1.000,separator
47999.84,113.000,",",-1,-1,1.000,separator
49714.12,117.000,",",-1,-1,1.000,separator
51428.4,121.000,",",-1,-1,1.000,separator
53142.68,125.000,",",-1,-1,1.000,separator
54000.0,127.000,0100,1,2,0.800,snare
54428.57,128.000,0010,1,2,0.800,snare
54857.14,129.000,",",-1,-1,1.000,separator
54857.14,129.000,1000,2,2,0.850,snare
55285.71,130.000,0100,2,2,0.850,snare
55714.28,131.000,0010,2,2,0.850,snare
56142.85,132.000,0001,2,2,0.850,snare
56571.42,133.000,",",-1,-1,1.000,separator
58285.7,137.000,",",-1,-1,1.000,separator
59999.98,141.000,",",-1,-1,1.000,separator
60857.12,143.000,1010,4,3,0.900,snare
61071.4,143.500,0101,4,3,0.900,snare
61714.26,145.000,",",-1,-1,1.000,separator
61714.26,145.000,1000,2,3,0.900,snare
61928.54,145.500,0100,2,3,0.900,snare
62142.82,146.000,0010,2,3,0.900,snare
62357.1,146.500,0001,2,3,0.900,snare
63428.54,149.000,",",-1,-1,1.000,separator
65142.82,153.000,",",-1,-1,1.000,separator
65142.82,153.000,1100,4,3,0.950,snare
65357.1,153.500,0011,4,3,0.950,snare
65571.38,154.000,1010,4,3,0.950,snare
65785.66,154.500,0101,4,3,0.950,snare
66857.1,157.000,",",-1,-1,1.000,separator
67714.24,159.000,1111,1,2,1.000,build_peak
68571.38,161.000,",",-1,-1,1.000,separator
68571.38,161.000,1001,4,2,1.000,kick
