# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation over MuMu-LLaMA c_loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,Dynamic Scale Matrix (1.0 + N*0.5)
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
117.5,2.50,0.00,0.30,True,0010,0001-0.2%|0011-0.2%|0010-0.1%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0000-0.1%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0010,2.57
117.5,2.50,0.51,0.53|0.91,True,0110,0001-0.2%|0011-0.2%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0010-0.1%|0000-0.1%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0110,2.29
117.5,2.50,1.02,1.04|1.28|1.53,True,0001,0001-0.2%|0011-0.2%|0101-0.1%|0111-0.1%|0100-0.1%|0010-0.1%|0000-0.1%|0110-0.1%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0001,2.29
117.5,2.50,1.53,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
117.5,2.50,2.04,2.28|2.53,True,0010,0110-0.2%|0010-0.2%|0101-0.1%|0001-0.1%|0100-0.1%|0011-0.1%|0111-0.1%|0000-0.0%|1010-0.0%|1011-0.0%|1110-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%,0010,2.40
117.5,2.50,2.55,2.79|2.90|3.04,True,1011,0110-0.3%|0101-0.1%|0010-0.1%|0001-0.1%|0100-0.1%|0011-0.1%|0000-0.1%|0111-0.1%|1010-0.0%|1011-0.0%|1110-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%,1011,2.39
117.5,2.50,3.07,3.27|3.53,True,0110,0110-0.3%|0010-0.1%|0101-0.1%|0001-0.1%|0100-0.1%|0011-0.1%|0111-0.1%|0000-0.1%|1010-0.0%|1110-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0110,2.39
117.5,2.50,3.58,3.78|4.04,True,0110,0110-0.2%|0010-0.2%|0101-0.1%|0001-0.1%|0100-0.1%|0011-0.1%|0000-0.1%|0111-0.1%|1010-0.1%|1110-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0110,2.39
117.5,2.50,4.09,4.27|4.53,True,1010,0010-0.1%|1011-0.1%|0101-0.1%|0110-0.1%|0001-0.1%|1110-0.1%|1100-0.1%|1010-0.1%|0011-0.1%|1101-0.1%|1111-0.1%|0000-0.1%|0100-0.1%|0111-0.0%|1000-0.0%|1001-0.0%,1010,2.46
117.5,2.50,4.60,4.78|4.90|5.04,True,1110,0010-0.2%|1011-0.1%|0110-0.1%|0101-0.1%|0001-0.1%|1100-0.1%|1101-0.1%|1110-0.1%|0011-0.1%|1111-0.1%|0000-0.1%|0100-0.1%|0111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%,1110,2.46
