time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
80000.0,161.000,1000,4,2,0.950,kick
80125.0,161.250,0000,0,3,1.000,unknown
80250.0,161.500,0010,4,3,0.880,snare
80375.0,161.750,0000,0,3,1.000,unknown
80500.0,162.000,2000,4,2,1.000,bass
80625.0,162.250,0000,0,3,1.000,unknown
80750.0,162.500,0100,4,3,0.820,snare
80875.0,162.750,0000,0,3,1.000,unknown
81000.0,163.000,3001,4,2,0.910,kick
81125.0,163.250,0000,0,3,1.000,unknown
81250.0,163.500,0000,0,3,1.000,unknown
81375.0,163.750,0000,0,3,1.000,unknown
81500.0,164.000,0000,0,2,1.000,unknown
81625.0,164.250,0000,0,3,1.000,unknown
81750.0,164.500,0010,4,3,0.890,snare
81875.0,164.750,0000,0,3,1.000,unknown
82000.0,165.000,",",-1,-1,1.000,separator
120000.0,241.000,1000,4,2,0.950,kick
120125.0,241.250,0000,0,3,1.000,unknown
120250.0,241.500,0010,4,3,0.880,snare
120375.0,241.750,0000,0,3,1.000,unknown
120500.0,242.000,2000,4,2,1.000,bass
120625.0,242.250,0000,0,3,1.000,unknown
120750.0,242.500,0100,4,3,0.820,snare
120875.0,242.750,0000,0,3,1.000,unknown
121000.0,243.000,3001,4,2,0.910,kick
121125.0,243.250,0000,0,3,1.000,unknown
121250.0,243.500,0000,0,3,1.000,unknown
121375.0,243.750,0000,0,3,1.000,unknown
121500.0,244.000,0000,0,2,1.000,unknown
121625.0,244.250,0000,0,3,1.000,unknown
121750.0,244.500,0010,4,3,0.790,snare
121875.0,244.750,0000,0,3,1.000,unknown
122000.0,245.000,",",-1,-1,1.000,separator
