time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.980,kick
250.0,1.500,0000,0,3,1.000,unknown
500.0,2.000,0010,4,2,0.950,snare
750.0,2.500,0000,0,3,1.000,unknown
1000.0,3.000,1000,4,2,0.980,kick
1250.0,3.500,0000,0,3,1.000,unknown
1500.0,4.000,0100,4,2,0.940,snare
1750.0,4.500,0001,3,3,0.850,synth
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1000,4,2,0.980,kick
2250.0,5.500,0000,0,3,1.000,unknown
2500.0,6.000,0010,4,2,0.950,snare
2750.0,6.500,0000,0,3,1.000,unknown
3000.0,7.000,1001,4,2,0.970,kick
3250.0,7.500,0100,4,3,0.920,snare
3500.0,8.000,0110,4,2,0.940,snare
3750.0,8.500,0000,0,3,1.000,unknown
4000.0,9.000,",",-1,-1,1.000,separator
4000.0,9.000,1000,4,2,0.980,kick
4250.0,9.500,0001,3,3,0.880,synth
4500.0,10.000,0010,4,2,0.950,snare
4750.0,10.500,0000,0,3,1.000,unknown
5000.0,11.000,1000,4,2,0.980,kick
5250.0,11.500,0000,0,3,1.000,unknown
5500.0,12.000,0100,4,2,0.940,snare
5750.0,12.500,1001,3,3,0.820,synth
6000.0,13.000,",",-1,-1,1.000,separator
6000.0,13.000,1010,4,2,0.960,kick
6250.0,13.500,0000,0,3,1.000,unknown
6500.0,14.000,0100,4,2,0.950,snare
6750.0,14.500,0001,3,3,0.880,melody
7000.0,15.000,1000,4,2,0.980,kick
7250.0,15.500,0100,4,3,0.920,snare
7500.0,16.000,0010,4,2,0.940,snare
7750.0,16.500,1001,3,3,0.850,synth
8000.0,17.000,",",-1,-1,1.000,separator
8000.0,17.000,1000,4,2,0.980,kick
8250.0,17.500,0000,0,3,1.000,unknown
8500.0,18.000,0010,4,2,0.950,snare
8750.0,18.500,0000,0,3,1.000,unknown
9000.0,19.000,1000,4,2,0.980,kick
9250.0,19.500,0000,0,3,1.000,unknown
9500.0,20.000,0100,4,2,0.940,snare
9750.0,20.500,0001,3,3,0.850,synth
10000.0,21.000,",",-1,-1,1.000,separator
10000.0,21.000,1000,4,2,0.980,kick
10250.0,21.500,0000,0,3,1.000,unknown
10500.0,22.000,0010,4,2,0.950,snare
10750.0,22.500,0000,0,3,1.000,unknown
11000.0,23.000,1001,4,2,0.970,kick
11250.0,23.500,0100,4,3,0.920,snare
11500.0,24.000,0110,4,2,0.940,snare
11750.0,24.500,0000,0,3,1.000,unknown
12000.0,25.000,",",-1,-1,1.000,separator
12000.0,25.000,1000,4,2,0.980,kick
12250.0,25.500,0001,3,3,0.880,synth
12500.0,26.000,0010,4,2,0.950,snare
12750.0,26.500,0000,0,3,1.000,unknown
13000.0,27.000,1000,4,2,0.980,kick
13250.0,27.500,0000,0,3,1.000,unknown
13500.0,28.000,0100,4,2,0.940,snare
13750.0,28.500,1001,3,3,0.820,synth
14000.0,29.000,",",-1,-1,1.000,separator
14000.0,29.000,1010,4,2,0.960,kick
14250.0,29.500,0000,0,3,1.000,unknown
14500.0,30.000,0100,4,2,0.950,snare
14750.0,30.500,0001,3,3,0.880,melody
15000.0,31.000,1000,4,2,0.980,kick
15250.0,31.500,0100,4,3,0.920,snare
15500.0,32.000,0010,4,2,0.940,snare
15750.0,32.500,1001,3,3,0.850,synth
16000.0,33.000,",",-1,-1,1.000,separator
16000.0,33.000,1000,4,2,0.980,kick
16250.0,33.500,0110,3,3,0.820,melody
16500.0,34.000,0010,4,2,0.950,snare
16750.0,34.500,0000,0,3,1.000,unknown
17000.0,35.000,1011,4,2,0.980,kick
17250.0,35.500,0000,0,3,1.000,unknown
17500.0,36.000,0100,4,2,0.940,snare
17750.0,36.500,0110,3,3,0.850,synth
18000.0,37.000,",",-1,-1,1.000,separator
18000.0,37.000,1001,4,2,0.980,kick
18250.0,37.500,0000,0,3,1.000,unknown
18500.0,38.000,0010,4,2,0.950,snare
18750.0,38.500,0100,4,3,0.900,snare
19000.0,39.000,1010,4,2,0.970,kick
19250.0,39.500,0001,3,3,0.880,synth
19500.0,40.000,0110,4,2,0.940,snare
19750.0,40.500,0000,0,3,1.000,unknown
20000.0,41.000,",",-1,-1,1.000,separator
20000.0,41.000,1100,4,2,0.980,kick
20250.0,41.500,0000,0,3,1.000,unknown
20500.0,42.000,0011,4,2,0.950,snare
20750.0,42.500,0000,0,3,1.000,unknown
21000.0,43.000,1000,4,2,0.980,kick
21250.0,43.500,0101,3,3,0.850,synth
21500.0,44.000,0110,4,2,0.940,snare
21750.0,44.500,1001,3,3,0.820,melody
22000.0,45.000,",",-1,-1,1.000,separator
22000.0,45.000,1011,4,2,0.960,kick
22250.0,45.500,0000,0,3,1.000,unknown
22500.0,46.000,0111,4,2,0.950,snare
22750.0,46.500,0001,3,3,0.880,melody
23000.0,47.000,1000,4,2,0.980,kick
23250.0,47.500,0100,4,3,0.920,snare
23500.0,48.000,0010,4,2,0.940,snare
23750.0,48.500,1011,3,3,0.850,synth
24000.0,49.000,",",-1,-1,1.000,separator
148000.0,297.000,1111,4,2,1.000,kick
148250.0,297.500,0000,0,3,1.000,unknown
148500.0,298.000,1111,4,2,1.000,snare
148750.0,298.500,0000,0,3,1.000,unknown
149000.0,299.000,1111,4,2,1.000,kick
149250.0,299.500,0000,0,3,1.000,unknown
149500.0,300.000,1111,4,2,1.000,snare
149750.0,300.500,0000,0,3,1.000,unknown
150000.0,301.000,",",-1,-1,1.000,separator
