time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,0.950,kick
125.0,1.250,0000,3,3,1.000,unknown
250.0,1.500,0010,4,3,0.920,snare
375.0,1.750,0000,3,3,1.000,unknown
500.0,2.000,1000,1,2,0.950,kick
625.0,2.250,0100,4,4,0.880,snare
750.0,2.500,0010,4,3,0.900,snare
875.0,2.750,0001,4,4,0.850,percussion
1000.0,3.000,1000,1,2,0.950,kick
1125.0,3.250,0000,3,3,1.000,unknown
1250.0,3.500,0100,4,3,0.920,snare
1375.0,3.750,0000,3,3,1.000,unknown
1500.0,4.000,1001,1,2,0.940,kick
1625.0,4.250,0010,4,4,0.870,snare
1750.0,4.500,0100,4,3,0.890,snare
1875.0,4.750,1000,4,4,0.820,kick
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,1100,1,2,0.960,kick
2125.0,5.250,0000,3,3,1.000,unknown
2250.0,5.500,0011,4,3,0.930,snare
2375.0,5.750,0000,3,3,1.000,unknown
2500.0,6.000,2000,2,2,0.980,bass
2625.0,6.250,0000,3,4,1.000,unknown
2750.0,6.500,0010,4,3,0.910,snare
2875.0,6.750,3000,3,4,0.980,bass
3000.0,7.000,1001,1,2,0.950,kick
3125.0,7.250,0100,4,4,0.880,snare
3250.0,7.500,0010,4,3,0.900,snare
3375.0,7.750,0000,3,3,1.000,unknown
3500.0,8.000,1001,1,2,0.960,kick
3625.0,8.250,0010,4,4,0.870,snare
3750.0,8.500,0100,4,3,0.890,snare
3875.0,8.750,1000,4,4,0.820,kick
4000.0,9.000,",",-1,-1,1.000,separator
0.0,1.000,1001,4,3,0.950,kick
125.0,1.250,0000,3,3,1.000,unknown
250.0,1.500,1000,4,3,0.880,synth
375.0,1.750,0000,3,3,1.000,unknown
500.0,2.000,0110,4,3,0.920,snare
625.0,2.250,0000,3,3,1.000,unknown
750.0,2.500,1000,4,3,0.850,kick
875.0,2.750,0100,4,3,0.800,synth
1000.0,3.000,1001,4,3,0.950,kick
1125.0,3.250,0000,3,3,1.000,unknown
1250.0,3.500,0010,4,3,0.880,synth
1375.0,3.750,0100,4,3,0.880,synth
1500.0,4.000,0110,4,3,0.920,snare
1625.0,4.250,1000,4,3,0.850,kick
1750.0,4.500,0010,4,3,0.850,synth
1875.0,4.750,0001,4,3,0.850,synth
2000.0,5.000,",",-1,-1,1.000,separator
2000.0,5.000,2000,1,2,0.980,bass
2125.0,5.250,0000,3,3,1.000,unknown
2250.0,5.500,0000,3,3,1.000,unknown
2375.0,5.750,0000,3,3,1.000,unknown
2500.0,6.000,3010,4,2,0.920,snare
2625.0,6.250,0100,4,3,0.880,synth
2750.0,6.500,1000,4,3,0.900,kick
2875.0,6.750,0001,4,3,0.880,synth
3000.0,7.000,1000,4,3,0.950,kick
3125.0,7.250,0100,4,3,0.880,synth
3250.0,7.500,1000,4,3,0.880,kick
3375.0,7.750,0001,4,3,0.880,synth
3500.0,8.000,0110,4,2,0.920,snare
3625.0,8.250,1000,4,3,0.850,kick
3750.0,8.500,0010,4,3,0.850,synth
3875.0,8.750,0101,4,3,0.850,synth
4000.0,9.000,",",-1,-1,1.000,separator
4000.0,9.000,1001,4,3,0.950,kick
4125.0,9.250,0010,4,3,0.880,synth
4250.0,9.500,1000,4,3,0.900,kick
4375.0,9.750,0100,4,3,0.880,synth
4500.0,10.000,0110,4,3,0.920,snare
4625.0,10.250,0000,3,3,1.000,unknown
4750.0,10.500,1010,4,3,0.900,kick
4875.0,10.750,0100,4,3,0.880,synth
5000.0,11.000,1001,4,3,0.950,kick
5125.0,11.250,0100,4,3,0.880,synth
5250.0,11.500,1000,4,3,0.900,kick
5375.0,11.750,0010,4,3,0.880,synth
5500.0,12.000,0110,4,3,0.920,snare
5625.0,12.250,1000,4,3,0.850,kick
5750.0,12.500,0010,4,3,0.850,synth
5875.0,12.750,1000,4,3,0.850,kick
6000.0,13.000,",",-1,-1,1.000,separator
6000.0,13.000,1100,4,2,0.950,kick
6125.0,13.250,0000,3,3,1.000,unknown
6250.0,13.500,1010,4,3,0.900,synth
6375.0,13.750,0000,3,3,1.000,unknown
6500.0,14.000,0110,4,3,0.920,snare
6625.0,14.250,1000,4,3,0.850,kick
6750.0,14.500,0011,4,3,0.880,synth
6875.0,14.750,0100,4,3,0.880,synth
7000.0,15.000,1001,4,3,0.950,kick
7125.0,15.250,0100,4,3,0.880,synth
7250.0,15.500,1010,4,3,0.900,kick
7375.0,15.750,0001,4,3,0.880,synth
7500.0,16.000,0110,4,3,0.920,snare
7625.0,16.250,1000,4,3,0.850,kick
7750.0,16.500,0010,4,3,0.850,synth
7875.0,16.750,0100,4,3,0.850,synth
8000.0,17.000,",",-1,-1,1.000,separator
8000.0,17.000,1001,4,3,0.950,kick
8125.0,17.250,0110,4,3,0.880,synth
8250.0,17.500,1000,4,3,0.900,kick
8375.0,17.750,0011,4,3,0.880,synth
8500.0,18.000,0110,4,3,0.920,snare
8625.0,18.250,0000,3,3,1.000,unknown
8750.0,18.500,1100,4,3,0.900,kick
8875.0,18.750,0010,4,3,0.880,synth
9000.0,19.000,1001,4,3,0.950,kick
9125.0,19.250,0100,4,3,0.880,synth
9250.0,19.500,1010,4,3,0.900,kick
9375.0,19.750,0001,4,3,0.880,synth
9500.0,20.000,0110,4,3,0.920,snare
9625.0,20.250,1000,4,3,0.850,kick
9750.0,20.500,0010,4,3,0.850,synth
9875.0,20.750,0100,4,3,0.850,synth
10000.0,21.000,",",-1,-1,1.000,separator
10000.0,21.000,1001,4,3,0.950,kick
10125.0,21.250,0000,3,3,1.000,unknown
10250.0,21.500,1000,4,3,0.900,kick
10375.0,21.750,0000,3,3,1.000,unknown
10500.0,22.000,0110,4,3,0.920,snare
10625.0,22.250,1000,4,3,0.850,kick
10750.0,22.500,0010,4,3,0.850,synth
10875.0,22.750,0100,4,3,0.850,synth
11000.0,23.000,1001,4,3,0.950,kick
11125.0,23.250,0110,4,3,0.880,synth
11250.0,23.500,1000,4,3,0.900,kick
11375.0,23.750,0011,4,3,0.880,synth
11500.0,24.000,0110,4,3,0.920,snare
11625.0,24.250,1000,4,3,0.850,kick
11750.0,24.500,0010,4,3,0.850,synth
11875.0,24.750,0100,4,3,0.850,synth
12000.0,25.000,",",-1,-1,1.000,separator
12000.0,25.000,2000,1,2,0.980,bass
12125.0,25.250,0000,3,3,1.000,unknown
12250.0,25.500,0000,3,3,1.000,unknown
12375.0,25.750,3011,4,3,0.920,synth
12500.0,26.000,0110,4,3,0.920,snare
12625.0,26.250,1000,4,3,0.850,kick
12750.0,26.500,0010,4,3,0.850,synth
12875.0,26.750,0100,4,3,0.850,synth
13000.0,27.000,1001,4,3,0.950,kick
13125.0,27.250,0000,3,3,1.000,unknown
13250.0,27.500,1000,4,3,0.900,kick
13375.0,27.750,0000,3,3,1.000,unknown
13500.0,28.000,0110,4,3,0.920,snare
13625.0,28.250,1000,4,3,0.850,kick
13750.0,28.500,0010,4,3,0.850,synth
13875.0,28.750,0100,4,3,0.850,synth
