time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
1000.0,1.000,",",-1,-1,1.000,separator
2846.15,5.000,",",-1,-1,1.000,separator
4692.3,9.000,",",-1,-1,1.000,separator
6538.46,13.000,",",-1,-1,1.000,separator
6538.46,13.000,0001,1,2,0.850,synth
7461.53,15.000,1000,1,2,0.880,synth
8384.61,17.000,",",-1,-1,1.000,separator
8384.61,17.000,1001,4,2,0.950,kick
8846.15,18.000,0100,4,2,0.920,kick
9307.69,19.000,0010,4,2,0.920,kick
9769.23,20.000,0001,4,2,0.920,kick
10230.77,21.000,",",-1,-1,1.000,separator
10230.77,21.000,1001,4,2,0.950,kick
11153.84,23.000,0010,4,2,0.920,kick
12076.92,25.000,",",-1,-1,1.000,separator
12076.92,25.000,1000,4,2,0.950,kick
13923.07,29.000,",",-1,-1,1.000,separator
13923.07,29.000,0001,4,2,0.950,kick
15769.23,33.000,",",-1,-1,1.000,separator
15769.23,33.000,1001,4,2,0.960,kick
16230.77,34.000,0100,3,2,0.890,snare
16692.3,35.000,0010,4,2,0.940,kick
17153.84,36.000,0001,3,2,0.890,snare
17615.38,37.000,",",-1,-1,1.000,separator
19461.53,41.000,",",-1,-1,1.000,separator
21307.69,45.000,",",-1,-1,1.000,separator
23153.84,49.000,",",-1,-1,1.000,separator
23153.84,49.000,1000,4,2,0.930,kick
25000.0,53.000,",",-1,-1,1.000,separator
26846.15,57.000,",",-1,-1,1.000,separator
28692.3,61.000,",",-1,-1,1.000,separator
30538.46,65.000,",",-1,-1,1.000,separator
30538.46,65.000,0100,4,2,0.910,kick
32384.61,69.000,",",-1,-1,1.000,separator
34230.76,73.000,",",-1,-1,1.000,separator
34230.76,73.000,1000,1,2,0.850,synth
36076.92,77.000,",",-1,-1,1.000,separator
37923.07,81.000,",",-1,-1,1.000,separator
39769.23,85.000,",",-1,-1,1.000,separator
41615.38,89.000,",",-1,-1,1.000,separator
43461.53,93.000,",",-1,-1,1.000,separator
43461.53,93.000,0010,3,2,0.800,melody
45307.69,97.000,",",-1,-1,1.000,separator
47153.84,101.000,",",-1,-1,1.000,separator
49000.0,105.000,",",-1,-1,1.000,separator
49000.0,105.000,0110,3,2,0.880,snare
49461.53,106.000,0110,3,2,0.880,snare
49923.07,107.000,0110,3,2,0.880,snare
50384.61,108.000,0110,3,2,0.880,snare
50846.15,109.000,",",-1,-1,1.000,separator
52692.3,113.000,",",-1,-1,1.000,separator
54538.46,117.000,",",-1,-1,1.000,separator
54538.46,117.000,1001,4,2,0.960,kick
55000.0,118.000,0100,4,2,0.940,kick
55461.53,119.000,0010,4,2,0.940,kick
55923.07,120.000,0001,4,2,0.940,kick
56384.61,121.000,",",-1,-1,1.000,separator
58230.76,125.000,",",-1,-1,1.000,separator
60076.92,129.000,",",-1,-1,1.000,separator
60076.92,129.000,1001,4,2,0.970,kick
60538.46,130.000,0100,4,2,0.950,kick
61000.0,131.000,0010,4,2,0.950,kick
61461.53,132.000,0001,4,2,0.950,kick
61923.07,133.000,",",-1,-1,1.000,separator
63769.23,137.000,",",-1,-1,1.000,separator
65615.38,141.000,",",-1,-1,1.000,separator
67461.53,145.000,",",-1,-1,1.000,separator
67461.53,145.000,1000,4,2,0.950,kick
69307.69,149.000,",",-1,-1,1.000,separator
71153.84,153.000,",",-1,-1,1.000,separator
73000.0,157.000,",",-1,-1,1.000,separator
73000.0,157.000,0001,4,2,0.920,kick
74846.15,161.000,",",-1,-1,1.000,separator
76692.3,165.000,",",-1,-1,1.000,separator
78538.46,169.000,",",-1,-1,1.000,separator
80384.61,173.000,",",-1,-1,1.000,separator
82230.76,177.000,",",-1,-1,1.000,separator
84076.92,181.000,",",-1,-1,1.000,separator
84076.92,181.000,1001,4,2,0.950,kick
85923.07,185.000,",",-1,-1,1.000,separator
87769.23,189.000,",",-1,-1,1.000,separator
89615.38,193.000,",",-1,-1,1.000,separator
91461.53,197.000,",",-1,-1,1.000,separator
93307.69,201.000,",",-1,-1,1.000,separator
93307.69,201.000,0010,3,2,0.820,synth
95153.84,205.000,",",-1,-1,1.000,separator
97000.0,209.000,",",-1,-1,1.000,separator
