# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation via AudioFlamingo3 loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
143.6,2.17,0.00,0.14|0.26|0.35,True,0001,0001-0.3%|0000-0.3%|0110-0.2%|0111-0.1%|0100-0.1%|0101-0.0%|0010-0.0%|0011-0.0%|1111-0.0%|1010-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0001,1.89
143.6,2.17,0.42,0.44|0.56,True,0101,0000-0.2%|0001-0.2%|0110-0.2%|0100-0.1%|0010-0.1%|0111-0.1%|0101-0.1%|0011-0.0%|1111-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0101,1.46
143.6,2.17,0.84,0.86|1.09|1.18,True,0111,0000-0.3%|0001-0.2%|0110-0.2%|0100-0.1%|0111-0.1%|0010-0.1%|0011-0.0%|1111-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0111,1.46
143.6,2.17,1.25,1.28|1.39|1.49,True,0000,0000-0.3%|0001-0.2%|0110-0.2%|0100-0.1%|0010-0.1%|0011-0.0%|1111-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0000,1.47
143.6,2.17,1.67,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.17,2.09,2.18|2.28,True,0110,0000-0.2%|0001-0.2%|0110-0.2%|0111-0.1%|0010-0.1%|0100-0.1%|0011-0.1%|0101-0.1%|1111-0.0%|1010-0.0%|1011-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0110,1.49
143.6,2.17,2.51,2.51|2.62|2.72,True,1010,0000-0.2%|0001-0.2%|0111-0.1%|0110-0.1%|0100-0.1%|0010-0.1%|0011-0.1%|0101-0.1%|1111-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,1010,1.49
143.6,2.17,2.93,2.93|3.32,True,0010,0000-0.2%|0001-0.2%|0111-0.1%|0110-0.1%|0100-0.1%|0010-0.1%|0011-0.1%|0101-0.1%|1111-0.0%|1011-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0010,1.49
143.6,2.17,3.34,3.44|3.53|3.65|3.74,True,1111,0000-0.3%|0110-0.1%|0001-0.1%|0100-0.1%|0011-0.1%|0111-0.1%|0101-0.1%|0010-0.0%|1111-0.0%|1011-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1101-0.0%,1111,1.52
143.6,2.17,3.76,3.85|4.13,True,1011,0000-0.2%|0001-0.2%|0110-0.1%|0100-0.1%|0010-0.1%|0011-0.1%|0111-0.1%|0101-0.1%|1011-0.0%|1110-0.0%|1010-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%|1111-0.0%,1011,1.52
143.6,2.17,4.18,4.37|4.46|4.57,True,0110,0000-0.2%|0001-0.2%|0110-0.1%|0101-0.1%|0100-0.1%|0011-0.1%|0111-0.0%|0010-0.0%|1110-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0110,1.52
143.6,2.17,4.60,4.67|4.76,True,0001,0000-0.2%|0001-0.2%|0111-0.1%|0101-0.1%|0100-0.1%|0110-0.1%|0011-0.1%|0010-0.1%|1110-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0001,1.52
143.6,2.17,5.02,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.17,5.43,5.48|5.57|5.80,True,0100,0000-0.2%|0001-0.1%|0111-0.1%|0101-0.1%|0110-0.1%|0100-0.1%|0011-0.1%|0010-0.1%|1110-0.1%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0100,1.76
143.6,2.17,5.85,5.90|6.01|6.11|6.20,True,0000,0000-0.2%|0001-0.2%|0110-0.1%|0111-0.1%|0101-0.1%|0011-0.1%|0010-0.1%|1110-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|0100-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0000,1.76
143.6,2.17,6.27,6.43|6.52|6.62,True,0110,0000-0.2%|0001-0.1%|0110-0.1%|0111-0.1%|0101-0.1%|1010-0.1%|0011-0.1%|0010-0.1%|1110-0.0%|1001-0.0%|1000-0.0%|0100-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,0110,1.76
143.6,2.17,6.69,6.71|6.83|6.92|7.04,True,1010,0000-0.3%|0001-0.1%|0010-0.1%|0111-0.1%|1010-0.1%|0101-0.1%|0110-0.1%|0011-0.1%|1110-0.0%|0100-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1111-0.0%,1010,1.83
143.6,2.17,7.11,7.13|7.43,True,0010,0000-0.3%|0001-0.1%|0010-0.1%|0110-0.1%|0111-0.1%|0101-0.1%|0011-0.1%|1110-0.0%|1111-0.0%|1000-0.0%|0100-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0010,1.83
143.6,2.17,7.52,7.64|7.76|7.85,True,0011,0000-0.3%|0001-0.1%|0110-0.1%|0111-0.1%|0101-0.1%|0011-0.1%|1011-0.0%|1110-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|0100-0.0%|0010-0.0%|1010-0.0%|1100-0.0%|1101-0.0%,0011,1.83
143.6,2.17,7.94,7.96|8.06,True,0001,0000-0.3%|0110-0.1%|0001-0.1%|0111-0.1%|0101-0.1%|0010-0.1%|1011-0.0%|1110-0.0%|1111-0.0%|1000-0.0%|0100-0.0%|1001-0.0%|0011-0.0%|1010-0.0%|1100-0.0%|1101-0.0%,0001,1.83
143.6,2.17,8.36,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.17,8.78,8.78|8.87|9.08,True,0001,0000-0.3%|0110-0.1%|0001-0.1%|0111-0.1%|0101-0.1%|0010-0.1%|1011-0.1%|1111-0.0%|1010-0.0%|0100-0.0%|1000-0.0%|1110-0.0%|0011-0.0%|1001-0.0%|1100-0.0%|1101-0.0%,0001,1.88
143.6,2.17,9.20,9.20|9.29|9.50,True,0111,0000-0.3%|0110-0.1%|0100-0.1%|0111-0.1%|0101-0.1%|0001-0.1%|0010-0.1%|1011-0.0%|1111-0.0%|1010-0.0%|1000-0.0%|1001-0.0%|0011-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0111,1.88
143.6,2.17,9.61,9.89|10.01,True,1000,0000-0.3%|0110-0.1%|0100-0.1%|0001-0.1%|0101-0.1%|0010-0.1%|1011-0.1%|1111-0.0%|1010-0.0%|1000-0.0%|1001-0.0%|1110-0.0%|0011-0.0%|1100-0.0%|0111-0.0%|1101-0.0%,1000,1.88
143.6,2.17,10.03,10.10|10.22|10.31|10.43,True,0110,0000-0.3%|0110-0.2%|0100-0.1%|0001-0.1%|0101-0.1%|0010-0.1%|1001-0.0%|1011-0.0%|1111-0.0%|0111-0.0%|1110-0.0%|1000-0.0%|0011-0.0%|1010-0.0%|1100-0.0%|1101-0.0%,0110,1.91
143.6,2.17,10.45,10.70,True,0001,0000-0.3%|0110-0.1%|0100-0.1%|0001-0.1%|1010-0.1%|0101-0.1%|0010-0.1%|1011-0.1%|0111-0.0%|1111-0.0%|1001-0.0%|1000-0.0%|0011-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0001,1.92
143.6,2.17,10.87,10.94|11.03|11.15|11.24,True,0000,0000-0.3%|0010-0.1%|0110-0.1%|0100-0.1%|1010-0.1%|0101-0.1%|1011-0.1%|0001-0.0%|1111-0.0%|0111-0.0%|1001-0.0%|1000-0.0%|0011-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0000,1.92
143.6,2.17,11.28,11.35|11.54,True,1010,0000-0.3%|0010-0.1%|0110-0.1%|0100-0.1%|1010-0.1%|0101-0.1%|0011-0.1%|0001-0.1%|1011-0.0%|1111-0.0%|0111-0.0%|1000-0.0%|1001-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,1010,1.92
143.6,2.17,11.70,12.05,True,1001,0000-0.3%|0010-0.1%|0110-0.1%|0001-0.1%|0100-0.1%|0101-0.1%|0011-0.1%|1011-0.0%|1111-0.0%|1110-0.0%|0111-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1101-0.0%,1001,1.96
