time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,1,1.000,kick
344.83,2.000,0000,0,2,0.000,unknown
689.66,3.000,0000,0,2,0.000,unknown
1034.48,4.000,0000,0,2,0.000,unknown
1379.31,5.000,",",-1,-1,0.000,separator
1379.31,5.000,0001,2,1,1.000,kick
1724.14,6.000,0000,0,2,0.000,unknown
2068.97,7.000,0000,0,2,0.000,unknown
2413.79,8.000,0000,0,2,0.000,unknown
2758.62,9.000,",",-1,-1,0.000,separator
2758.62,9.000,0100,2,1,1.000,kick
3103.45,10.000,0000,0,2,0.000,unknown
3448.28,11.000,0000,0,2,0.000,unknown
3793.1,12.000,0000,0,2,0.000,unknown
4137.93,13.000,",",-1,-1,0.000,separator
4137.93,13.000,0010,2,1,1.000,kick
4482.76,14.000,0000,0,2,0.000,unknown
4827.59,15.000,0000,0,2,0.000,unknown
5172.41,16.000,0000,0,2,0.000,unknown
5517.24,17.000,",",-1,-1,0.000,separator
5517.24,17.000,1000,2,1,1.000,kick
5862.07,18.000,0000,0,2,0.000,unknown
6206.9,19.000,0001,2,1,0.900,snare
6551.72,20.000,0000,0,2,0.000,unknown
6896.55,21.000,",",-1,-1,0.000,separator
6896.55,21.000,0100,2,1,1.000,kick
7241.38,22.000,0000,0,2,0.000,unknown
7586.21,23.000,0010,2,1,0.900,snare
7931.03,24.000,0000,0,2,0.000,unknown
8275.86,25.000,",",-1,-1,0.000,separator
8275.86,25.000,1000,2,1,1.000,kick
8620.69,26.000,0000,0,2,0.000,unknown
8965.52,27.000,0001,2,1,0.900,snare
9310.34,28.000,0000,0,2,0.000,unknown
9655.17,29.000,",",-1,-1,0.000,separator
9655.17,29.000,0100,2,1,1.000,kick
10000.0,30.000,0000,0,2,0.000,unknown
10344.83,31.000,0010,2,1,0.900,snare
10689.66,32.000,0000,0,2,0.000,unknown
11034.48,33.000,",",-1,-1,0.000,separator
11034.48,33.000,1000,2,2,1.000,kick
11379.31,34.000,0000,0,2,0.000,unknown
11724.14,35.000,0001,2,2,0.900,snare
12068.97,36.000,0000,0,2,0.000,unknown
12413.79,37.000,",",-1,-1,0.000,separator
12413.79,37.000,0100,2,2,1.000,kick
12758.62,38.000,0000,0,2,0.000,unknown
13103.45,39.000,0010,2,2,0.900,snare
13448.28,40.000,0000,0,2,0.000,unknown
13793.1,41.000,",",-1,-1,0.000,separator
13793.1,41.000,1000,1,1,1.000,kick
14137.93,42.000,0000,0,2,0.000,unknown
14482.76,43.000,0001,2,1,1.000,snare
14827.59,44.000,0000,0,2,0.000,unknown
15172.41,45.000,",",-1,-1,0.000,separator
15172.41,45.000,0100,2,1,1.000,kick
15517.24,46.000,0000,0,2,0.000,unknown
15862.07,47.000,0010,2,1,1.000,snare
16206.9,48.000,0000,0,2,0.000,unknown
16551.72,49.000,",",-1,-1,0.000,separator
16551.72,49.000,0001,2,1,1.000,kick
16896.55,50.000,0000,0,2,0.000,unknown
17241.38,51.000,1000,2,1,1.000,snare
17586.21,52.000,0000,0,2,0.000,unknown
17931.03,53.000,",",-1,-1,0.000,separator
17931.03,53.000,0010,2,1,1.000,kick
18275.86,54.000,0000,0,2,0.000,unknown
18620.69,55.000,0100,2,1,1.000,snare
18965.52,56.000,0000,0,2,0.000,unknown
19310.34,57.000,",",-1,-1,0.000,separator
19310.34,57.000,1000,2,1,1.000,kick
19655.17,58.000,0000,0,2,0.000,unknown
20000.0,59.000,0001,2,1,1.000,snare
20344.83,60.000,0000,0,2,0.000,unknown
20689.66,61.000,",",-1,-1,0.000,separator
20689.66,61.000,0100,2,1,1.000,kick
21034.48,62.000,0000,0,2,0.000,unknown
21379.31,63.000,0010,2,1,1.000,snare
21724.14,64.000,0000,0,2,0.000,unknown
22068.97,65.000,",",-1,-1,0.000,separator
22068.97,65.000,0001,2,1,1.000,kick
22413.79,66.000,0000,0,2,0.000,unknown
22758.62,67.000,1000,2,1,1.000,snare
23103.45,68.000,0000,0,2,0.000,unknown
23448.28,69.000,",",-1,-1,0.000,separator
23448.28,69.000,0010,2,1,1.000,kick
23793.1,70.000,0000,0,2,0.000,unknown
24137.93,71.000,0100,2,1,1.000,snare
24482.76,72.000,0000,0,2,0.000,unknown
24827.59,73.000,",",-1,-1,0.000,separator
24827.59,73.000,1000,2,1,1.000,kick
25172.41,74.000,0000,0,2,0.000,unknown
25517.24,75.000,0001,2,1,1.000,snare
