time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.880,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,2000,4,2,1.000,bass
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.820,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,3001,4,2,0.910,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0000,0,3,1.000,unknown
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0000,0,2,1.000,unknown
1625.0,4.250,0000,0,3,1.000,unknown
1750.0,4.500,0010,4,3,0.890,snare
1875.0,4.750,0000,0,3,1.000,unknown
2000.0,5.000,",",-1,-1,1.000,separator
20000.0,49.667,1000,4,2,0.950,kick
20125.0,49.917,0000,0,3,1.000,unknown
20250.0,50.167,0010,4,3,0.880,snare
20375.0,50.417,0000,0,3,1.000,unknown
20500.0,50.667,2000,4,2,1.000,bass
20625.0,50.917,0000,0,3,1.000,unknown
20750.0,51.167,0100,4,3,0.820,snare
20875.0,51.417,0000,0,3,1.000,unknown
21000.0,51.667,3001,4,2,0.910,kick
21125.0,51.917,0000,0,3,1.000,unknown
21250.0,52.167,0000,0,3,1.000,unknown
21375.0,52.417,0000,0,3,1.000,unknown
21500.0,52.667,0000,0,2,1.000,unknown
21625.0,52.917,0000,0,3,1.000,unknown
21750.0,53.167,0010,4,3,0.790,snare
21875.0,53.417,0000,0,3,1.000,unknown
22000.0,53.667,",",-1,-1,1.000,separator
60000.0,147.000,1000,4,2,0.950,kick
60125.0,147.250,0000,0,3,1.000,unknown
60250.0,147.500,0010,4,3,0.880,snare
60375.0,147.750,0000,0,3,1.000,unknown
60500.0,148.000,2000,4,2,1.000,bass
60625.0,148.250,0000,0,3,1.000,unknown
60750.0,148.500,0100,4,3,0.820,snare
60875.0,148.750,0000,0,3,1.000,unknown
61000.0,149.000,3001,4,2,0.910,kick
61125.0,149.250,0000,0,3,1.000,unknown
61250.0,149.500,0000,0,3,1.000,unknown
61375.0,149.750,0000,0,3,1.000,unknown
61500.0,150.000,0000,0,2,1.000,unknown
61625.0,150.250,0000,0,3,1.000,unknown
61750.0,150.500,0010,4,3,0.890,snare
61875.0,150.750,0000,0,3,1.000,unknown
62000.0,151.000,",",-1,-1,1.000,separator
100000.0,244.333,1000,4,2,0.950,kick
100125.0,244.583,0000,0,3,1.000,unknown
100250.0,244.833,0010,4,3,0.880,snare
100375.0,245.083,0000,0,3,1.000,unknown
100500.0,245.333,2000,4,2,1.000,bass
100625.0,245.583,0000,0,3,1.000,unknown
100750.0,245.833,0100,4,3,0.820,snare
100875.0,246.083,0000,0,3,1.000,unknown
101000.0,246.333,3001,4,2,0.910,kick
101125.0,246.583,0000,0,3,1.000,unknown
101250.0,246.833,0000,0,3,1.000,unknown
101375.0,247.083,0000,0,3,1.000,unknown
101500.0,247.333,0000,0,2,1.000,unknown
101625.0,247.583,0000,0,3,1.000,unknown
101750.0,247.833,0010,4,3,0.790,snare
101875.0,248.083,0000,0,3,1.000,unknown
102000.0,248.333,",",-1,-1,1.000,separator
