time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,4,2,0.950,kick
86.2,1.250,0000,0,3,1.000,unknown
172.4,1.500,0110,4,3,0.900,snare
258.6,1.750,0000,0,3,1.000,unknown
344.8,2.000,1000,4,2,0.920,kick
431.0,2.250,0000,0,3,1.000,unknown
517.2,2.500,0100,4,3,0.880,snare
603.4,2.750,0000,0,3,1.000,unknown
689.6,3.000,1010,4,2,0.930,kick
775.8,3.250,0000,0,3,1.000,unknown
862.0,3.500,0100,4,3,0.890,snare
948.2,3.750,0000,0,3,1.000,unknown
1034.4,4.000,1000,4,2,0.910,kick
1120.6,4.250,0010,3,4,0.850,synth
1206.8,4.500,0101,4,3,0.870,snare
1293.0,4.750,0000,0,3,1.000,unknown
1379.2,5.000,",",-1,-1,1.000,separator
1379.2,5.000,1000,4,2,0.940,kick
1465.4,5.250,0010,3,4,0.820,synth
1551.6,5.500,0100,4,3,0.880,snare
1637.8,5.750,0000,0,3,1.000,unknown
1724.0,6.000,1100,4,2,0.930,kick
1810.2,6.250,0000,0,3,1.000,unknown
1896.4,6.500,0010,4,3,0.870,snare
1982.6,6.750,0100,3,4,0.780,synth
2068.8,7.000,1001,4,2,0.910,kick
2155.0,7.250,0000,0,3,1.000,unknown
2241.2,7.500,0100,4,3,0.890,snare
2327.4,7.750,0000,0,3,1.000,unknown
2413.6,8.000,1010,4,2,0.900,kick
2499.8,8.250,0000,0,3,1.000,unknown
2586.0,8.500,0100,4,3,0.860,snare
2672.2,8.750,1000,3,4,0.840,synth
2758.4,9.000,",",-1,-1,1.000,separator
2758.4,9.000,0001,4,2,0.920,kick
2844.6,9.250,1000,3,4,0.830,melody
2930.8,9.500,0100,4,3,0.880,snare
3017.0,9.750,0010,3,4,0.810,melody
3103.2,10.000,1000,4,2,0.930,kick
3189.4,10.250,0001,3,4,0.800,melody
3275.6,10.500,0110,4,3,0.870,snare
3361.8,10.750,0000,0,3,1.000,unknown
3448.0,11.000,1001,4,2,0.900,kick
3534.2,11.250,0100,3,4,0.840,melody
3620.4,11.500,0010,4,3,0.880,snare
3706.6,11.750,0000,0,3,1.000,unknown
3792.8,12.000,1100,4,2,0.920,kick
3879.0,12.250,0000,0,3,1.000,unknown
3965.2,12.500,0101,4,3,0.850,snare
4051.4,12.750,0000,0,3,1.000,unknown
4137.6,13.000,",",-1,-1,1.000,separator
