time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.900,kick
342.86,2.000,0001,3,2,0.700,synth
685.71,3.000,0100,3,2,0.700,synth
1028.57,4.000,0010,3,2,0.700,synth
1371.43,5.000,",",-1,-1,1.000,separator
1371.43,5.000,1000,4,2,0.800,kick
2057.14,7.000,0010,3,2,0.700,synth
2742.86,9.000,",",-1,-1,1.000,separator
2742.86,9.000,0100,4,2,0.800,kick
3428.57,11.000,0001,3,2,0.700,synth
4114.29,13.000,",",-1,-1,1.000,separator
4114.29,13.000,1000,4,2,0.900,kick
4800.0,15.000,0010,3,2,0.700,synth
5485.71,17.000,",",-1,-1,1.000,separator
5485.71,17.000,0100,4,2,0.800,kick
6171.43,19.000,0001,3,2,0.700,synth
6857.14,21.000,",",-1,-1,1.000,separator
6857.14,21.000,1000,4,2,0.900,kick
7542.86,23.000,0010,3,2,0.800,synth
8228.57,25.000,",",-1,-1,1.000,separator
8228.57,25.000,0100,4,2,0.800,kick
8914.29,27.000,0001,3,2,0.800,synth
9600.0,29.000,",",-1,-1,1.000,separator
9600.0,29.000,1000,4,2,0.900,kick
10285.71,31.000,0010,3,2,0.800,synth
10971.43,33.000,",",-1,-1,1.000,separator
10971.43,33.000,0100,4,2,0.900,kick
11314.29,34.000,0001,3,2,0.700,snare
11657.14,35.000,1000,4,2,0.800,kick
12000.0,36.000,0010,3,2,0.700,snare
12342.86,37.000,",",-1,-1,1.000,separator
12342.86,37.000,0100,4,2,0.900,kick
12685.71,38.000,0001,3,2,0.800,snare
13028.57,39.000,1000,4,2,0.800,kick
13371.43,40.000,0010,3,2,0.900,snare
13714.29,41.000,",",-1,-1,1.000,separator
13714.29,41.000,1000,1,2,1.000,kick
14057.14,42.000,0010,2,2,0.900,snare
14400.0,43.000,0001,4,2,0.700,hihat
14571.43,43.500,0100,4,3,0.900,kick
14742.86,44.000,0010,2,2,0.900,snare
15085.71,45.000,",",-1,-1,1.000,separator
15085.71,45.000,1000,1,2,1.000,kick
15428.57,46.000,0001,2,2,0.900,snare
15942.86,47.500,0100,4,3,0.900,kick
16114.29,48.000,0010,2,2,0.900,snare
16457.14,49.000,",",-1,-1,1.000,separator
16457.14,49.000,1000,1,2,1.000,kick
16800.0,50.000,0100,2,2,0.900,snare
17314.29,51.500,0010,4,3,0.900,kick
17485.71,52.000,0001,2,2,0.900,snare
17828.57,53.000,",",-1,-1,1.000,separator
17828.57,53.000,1000,1,2,1.000,kick
18171.43,54.000,0010,2,2,0.900,snare
18685.71,55.500,0100,4,3,0.900,kick
18857.14,56.000,0001,2,2,0.900,snare
19200.0,57.000,",",-1,-1,1.000,separator
19200.0,57.000,1000,1,2,1.000,kick
19542.86,58.000,0010,2,2,0.900,snare
20057.14,59.500,0100,4,3,0.900,kick
20228.57,60.000,0001,2,2,0.900,snare
20571.43,61.000,",",-1,-1,1.000,separator
20571.43,61.000,1000,1,2,1.000,kick
20914.29,62.000,0100,2,2,0.900,snare
21428.57,63.500,0010,4,3,0.900,kick
21600.0,64.000,0001,2,2,0.900,snare
21942.86,65.000,",",-1,-1,1.000,separator
21942.86,65.000,1000,1,2,1.000,kick
22285.71,66.000,0010,2,2,0.900,snare
22800.0,67.500,0100,4,3,0.900,kick
22971.43,68.000,0001,2,2,0.900,snare
23314.29,69.000,",",-1,-1,1.000,separator
23314.29,69.000,1000,1,2,1.000,kick
23657.14,70.000,0010,2,2,0.900,snare
24171.43,71.500,0100,4,3,0.900,kick
24342.86,72.000,0001,2,2,0.900,snare
24685.71,73.000,",",-1,-1,1.000,separator
24685.71,73.000,1000,1,2,1.000,kick
25028.57,74.000,0010,2,2,0.900,snare
25542.86,75.500,0100,4,3,0.900,kick
25714.29,76.000,0001,2,2,0.900,snare
26057.14,77.000,",",-1,-1,1.000,separator
26057.14,77.000,1000,1,2,1.000,kick
26400.0,78.000,0010,2,2,0.900,snare
26914.29,79.500,0100,4,3,0.900,kick
27085.71,80.000,0001,2,2,0.900,snare
27428.57,81.000,",",-1,-1,1.000,separator
27428.57,81.000,1000,1,2,1.000,kick
27771.43,82.000,0100,2,2,0.900,snare
28285.71,83.500,0010,4,3,0.900,kick
28457.14,84.000,0001,2,2,0.900,snare
28800.0,85.000,",",-1,-1,1.000,separator
28800.0,85.000,1000,1,2,1.000,kick
29142.86,86.000,0010,2,2,0.900,snare
29657.14,87.500,0100,4,3,0.900,kick
29828.57,88.000,0001,2,2,0.900,snare
30171.43,89.000,",",-1,-1,1.000,separator
30171.43,89.000,1000,1,2,1.000,kick
30514.29,90.000,0100,2,2,0.900,snare
31028.57,91.500,0010,4,3,0.900,kick
31200.0,92.000,0001,2,2,0.900,snare
31542.86,93.000,",",-1,-1,1.000,separator
31542.86,93.000,1000,1,2,1.000,kick
31885.71,94.000,0010,2,2,0.900,snare
32400.0,95.500,0100,4,3,0.900,kick
32571.43,96.000,0001,2,2,0.900,snare
32914.29,97.000,",",-1,-1,1.000,separator
32914.29,97.000,1000,1,2,1.000,kick
33257.14,98.000,0100,2,2,0.900,snare
33771.43,99.500,0010,4,3,0.900,kick
33942.86,100.000,0001,2,2,0.900,snare
34285.71,101.000,",",-1,-1,1.000,separator
34285.71,101.000,1000,1,2,1.000,kick
34628.57,102.000,0010,2,2,0.900,snare
35142.86,103.500,0100,4,3,0.900,kick
35314.29,104.000,0001,2,2,0.900,snare
35657.14,105.000,",",-1,-1,1.000,separator
35657.14,105.000,1000,1,2,0.800,kick
36342.86,107.000,0100,3,2,0.700,bass
37028.57,109.000,",",-1,-1,1.000,separator
37028.57,109.000,0010,3,2,0.700,bass
37714.29,111.000,0001,3,2,0.700,bass
38400.0,113.000,",",-1,-1,1.000,separator
38400.0,113.000,1000,1,2,0.800,kick
39085.71,115.000,0100,3,2,0.700,bass
39771.43,117.000,",",-1,-1,1.000,separator
39771.43,117.000,0010,3,2,0.700,bass
40457.14,119.000,0001,3,2,0.700,bass
41142.86,121.000,",",-1,-1,1.000,separator
41142.86,121.000,1000,1,2,0.800,kick
41828.57,123.000,0100,3,2,0.700,bass
42514.29,125.000,",",-1,-1,1.000,separator
42514.29,125.000,0010,3,2,0.700,bass
43200.0,127.000,0001,3,2,0.700,bass
43885.71,129.000,",",-1,-1,1.000,separator
43885.71,129.000,1000,1,2,0.800,kick
44571.43,131.000,0100,3,2,0.700,bass
45257.14,133.000,",",-1,-1,1.000,separator
45257.14,133.000,0010,3,2,0.700,bass
45942.86,135.000,0001,3,2,0.700,bass
46628.57,137.000,",",-1,-1,1.000,separator
46628.57,137.000,1000,1,2,0.800,kick
47314.29,139.000,0100,3,2,0.700,bass
48000.0,141.000,",",-1,-1,1.000,separator
48000.0,141.000,0010,3,2,0.700,bass
48685.71,143.000,0001,3,2,0.700,bass
49371.43,145.000,",",-1,-1,1.000,separator
49371.43,145.000,1000,1,2,0.900,kick
50057.14,147.000,0100,3,2,0.800,bass
50742.86,149.000,",",-1,-1,1.000,separator
50742.86,149.000,0010,1,2,0.900,snare
51428.57,151.000,0001,3,2,0.800,bass
52114.29,153.000,",",-1,-1,1.000,separator
52114.29,153.000,1000,1,2,0.900,kick
52457.14,154.000,0100,2,2,0.800,snare
52800.0,155.000,0010,3,2,0.800,snare
53142.86,156.000,0001,3,2,0.800,snare
53485.71,157.000,",",-1,-1,1.000,separator
53485.71,157.000,1000,1,2,0.900,kick
53828.57,158.000,0010,2,2,0.900,snare
54171.43,159.000,0100,3,2,0.800,snare
54514.29,160.000,0001,3,2,0.800,snare
54857.14,161.000,",",-1,-1,1.000,separator
54857.14,161.000,1000,1,2,1.000,kick
55200.0,162.000,0010,2,2,0.900,snare
55542.86,163.000,0100,3,2,0.800,snare
55885.71,164.000,0001,3,2,0.800,snare
56228.57,165.000,",",-1,-1,1.000,separator
