time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.0,Here's an example of a JSON array that meets the requirements you specified:,1,1,0.9,mixed
125.0,0.125,```css,1,1,0.9,mixed
250.0,0.25,[,1,1,0.9,mixed
375.0,0.375,"{""time_ms"": 0.0, ""beat_position"": 1, ""notes"": ""1000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""kick""},",1,1,0.9,mixed
500.0,0.5,"{""time_ms"": 1.79, ""beat_position"": 2, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
625.0,0.625,"{""time_ms"": 2.99, ""beat_position"": 3, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
750.0,0.75,"{""time_ms"": 3.99, ""beat_position"": 4, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
875.0,0.875,"{""time_ms"": 4.99, ""beat_position"": 5, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1000.0,0.0,"{""time_ms"": 5.99, ""beat_position"": 6, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1125.0,0.125,"{""time_ms"": 6.99, ""beat_position"": 7, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1250.0,0.25,"{""time_ms"": 7.99, ""beat_position"": 8, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1375.0,0.375,"{""time_ms"": 8.99, ""beat_position"": 9, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1500.0,0.5,"{""time_ms"": 9.99, ""beat_position"": 10, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1625.0,0.625,"{""time_ms"": 10.99, ""beat_position"": 11, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1750.0,0.75,"{""time_ms"": 11.99, ""beat_position"": 12, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
1875.0,0.875,"{""time_ms"": 12.99, ""beat_position"": 13, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2000.0,0.0,"{""time_ms"": 13.99, ""beat_position"": 14, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2125.0,0.125,"{""time_ms"": 14.99, ""beat_position"": 15, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2250.0,0.25,"{""time_ms"": 15.99, ""beat_position"": 16, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2375.0,0.375,"{""time_ms"": 16.99, ""beat_position"": 17, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2500.0,0.5,"{""time_ms"": 17.99, ""beat_position"": 18, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2625.0,0.625,"{""time_ms"": 18.99, ""beat_position"": 19, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2750.0,0.75,"{""time_ms"": 19.99, ""beat_position"": 20, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
2875.0,0.875,"{""time_ms"": 20.99, ""beat_position"": 21, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3000.0,0.0,"{""time_ms"": 21.99, ""beat_position"": 22, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3125.0,0.125,"{""time_ms"": 22.99, ""beat_position"": 23, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3250.0,0.25,"{""time_ms"": 23.99, ""beat_position"": 24, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3375.0,0.375,"{""time_ms"": 24.99, ""beat_position"": 25, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3500.0,0.5,"{""time_ms"": 25.99, ""beat_position"": 26, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3625.0,0.625,"{""time_ms"": 26.99, ""beat_position"": 27, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3750.0,0.75,"{""time_ms"": 27.99, ""beat_position"": 28, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
3875.0,0.875,"{""time_ms"": 28.99, ""beat_position"": 29, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
4000.0,0.0,"{""time_ms"": 29.99, ""beat_position"": 30, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
4125.0,0.125,"{""time_ms"": 30.99, ""beat_position"": 31, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
4250.0,0.25,"{""time_ms"": 31.99, ""beat_position"": 32, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
4375.0,0.375,"{""time_ms"": 32.99, ""beat_position"": 33, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
4500.0,0.5,"{""time_ms"": 33.99, ""beat_position"": 34, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
4625.0,0.625,"{""time_ms"": 34.99, ""beat_position"": 35, ""notes"": ""0000"", ""placement_type"": 2, ""note_type"": 0, ""confidence"": 1.0, ""instrument"": ""snare""},",1,1,0.9,mixed
