time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,1,2,0.900,kick
468.75,1.000,0000,0,2,1.000,unknown
937.5,2.000,0001,1,2,0.800,synth
1406.25,3.000,0000,0,2,1.000,unknown
1875.0,4.000,",",-1,-1,1.000,separator
1875.0,4.000,0100,1,2,0.900,kick
2343.75,5.000,0000,0,2,1.000,unknown
2812.5,6.000,0010,1,2,0.850,snare
3281.25,7.000,0000,0,2,1.000,unknown
3750.0,8.000,",",-1,-1,1.000,separator
3750.0,8.000,1000,1,2,0.900,kick
4218.75,9.000,0000,0,2,1.000,unknown
4687.5,10.000,0001,1,2,0.800,synth
5156.25,11.000,0000,0,2,1.000,unknown
5625.0,12.000,",",-1,-1,1.000,separator
5625.0,12.000,0100,1,2,0.900,kick
6093.75,13.000,0000,0,2,1.000,unknown
6562.5,14.000,0010,1,2,0.850,snare
7031.25,15.000,0000,0,2,1.000,unknown
7500.0,16.000,",",-1,-1,1.000,separator
7500.0,16.000,1001,4,2,0.950,kick
7968.75,17.000,0000,0,2,1.000,unknown
8437.5,18.000,0100,4,2,0.850,snare
8906.25,19.000,0010,4,2,0.850,snare
9375.0,20.000,",",-1,-1,1.000,separator
9375.0,20.000,0001,1,2,0.900,kick
9843.75,21.000,0000,0,2,1.000,unknown
10312.5,22.000,1000,1,2,0.800,synth
10781.25,23.000,0000,0,2,1.000,unknown
11250.0,24.000,",",-1,-1,1.000,separator
11250.0,24.000,0100,1,2,0.900,kick
11718.75,25.000,0000,0,2,1.000,unknown
12187.5,26.000,0010,1,2,0.850,snare
12656.25,27.000,0000,0,2,1.000,unknown
13125.0,28.000,",",-1,-1,1.000,separator
13125.0,28.000,1000,1,2,0.900,kick
13593.75,29.000,1000,4,2,0.800,percussion
14062.5,30.000,0001,1,2,0.800,synth
14531.25,31.000,0001,4,2,0.800,percussion
15000.0,32.000,",",-1,-1,1.000,separator
15000.0,32.000,0100,1,3,0.950,kick
15234.375,32.500,0000,0,3,1.000,unknown
15468.75,33.000,0001,4,3,0.850,hihat
15703.125,33.500,0000,0,3,1.000,unknown
15937.5,34.000,1000,2,3,0.900,snare
16171.875,34.500,0000,0,3,1.000,unknown
16406.25,35.000,0010,4,3,0.800,hihat
16640.625,35.500,0100,4,3,0.850,kick
16875.0,36.000,",",-1,-1,1.000,separator
16875.0,36.000,0001,1,3,0.900,kick
17109.375,36.500,0000,0,3,1.000,unknown
17343.75,37.000,0100,4,3,0.800,hihat
17578.125,37.500,0000,0,3,1.000,unknown
17812.5,38.000,1000,2,3,0.900,snare
18046.875,38.500,0000,0,3,1.000,unknown
18281.25,39.000,0010,4,3,0.800,hihat
18515.625,39.500,0000,0,3,1.000,unknown
18750.0,40.000,",",-1,-1,1.000,separator
18750.0,40.000,0100,1,3,0.950,kick
18984.375,40.500,0000,0,3,1.000,unknown
19218.75,41.000,1000,4,3,0.850,hihat
19453.125,41.500,0000,0,3,1.000,unknown
19687.5,42.000,0001,2,3,0.900,snare
19921.875,42.500,0000,0,3,1.000,unknown
20156.25,43.000,0010,4,3,0.800,hihat
20390.625,43.500,0100,4,3,0.850,kick
20625.0,44.000,",",-1,-1,1.000,separator
20625.0,44.000,0001,1,3,0.900,kick
20859.375,44.500,0000,0,3,1.000,unknown
21093.75,45.000,0100,4,3,0.800,hihat
21328.125,45.500,0000,0,3,1.000,unknown
21562.5,46.000,1000,2,3,0.900,snare
21796.875,46.500,0000,0,3,1.000,unknown
22031.25,47.000,0010,4,3,0.800,hihat
22265.625,47.500,0000,0,3,1.000,unknown
22500.0,48.000,",",-1,-1,1.000,separator
22500.0,48.000,0100,1,3,0.950,kick
22734.375,48.500,0000,0,3,1.000,unknown
22968.75,49.000,0001,4,3,0.850,hihat
23203.125,49.500,0000,0,3,1.000,unknown
23437.5,50.000,1000,2,3,0.900,snare
23671.875,50.500,0000,0,3,1.000,unknown
23906.25,51.000,0010,4,3,0.800,hihat
24140.625,51.500,0100,4,3,0.850,kick
24375.0,52.000,",",-1,-1,1.000,separator
24375.0,52.000,0001,1,3,0.900,kick
24609.375,52.500,0000,0,3,1.000,unknown
24843.75,53.000,0100,4,3,0.800,hihat
25078.125,53.500,0000,0,3,1.000,unknown
25312.5,54.000,1000,2,3,0.900,snare
25546.875,54.500,0000,0,3,1.000,unknown
