onset_index,onset_ms
0,50.0
1,500.0
2,1200.0
3,1500.0
4,2500.0
5,4764.7
6,6176.5
7,8294.1
8,10764.7
9,12882.4
10,15529.4
11,15794.1
12,16058.8
13,16323.5
14,16676.5
15,16941.2
16,17294.1
17,17558.8
18,18529.4
19,18794.1
20,19058.8
21,19323.5
22,19588.2
23,19852.9
24,20029.4
25,20470.6
26,21352.9
27,21617.6
28,21882.4
29,22147.1
30,22411.8
31,22676.5
32,22852.9
33,23029.4
34,23382.4
35,24000.0
36,24352.9
37,24705.9
38,25058.8
39,25411.8
40,25588.2
41,25764.7
42,25941.2
43,26117.6
44,26205.9
45,26294.1
46,26382.4
47,26470.6
48,26558.8
49,26647.1
50,26735.3
51,26823.5
52,27000.0
53,27088.2
54,27176.5
55,27264.7
56,27352.9
57,27441.2
58,27529.4
59,27705.9
60,27794.1
61,27882.4
62,27970.6
63,28058.8
64,28147.1
65,28235.3
66,28411.8
67,28500.0
68,28588.2
69,28676.5
70,28764.7
71,28852.9
72,28941.2
73,29117.6
74,29205.9
75,29294.1
76,29382.4
77,29470.6
78,29558.8
79,29647.1
80,29823.5
81,29911.8
82,30000.0
83,30088.2
84,30176.5
85,30264.7
86,30352.9
87,30529.4
88,30617.6
89,30705.9
90,30794.1
91,30882.4
92,30970.6
93,31058.8
94,31235.3
95,31323.5
96,31411.8
97,31500.0
98,31588.2
99,31676.5
100,31764.7
101,31941.2
102,32029.4
103,32117.6
104,32205.9
105,32294.1
106,32382.4
107,32470.6
108,32647.1
109,32735.3
110,32823.5
111,32911.8
112,33000.0
113,33088.2
114,33176.5
115,33352.9
116,33441.2
117,33529.4
118,33617.6
119,33705.9
120,33794.1
121,33882.4
122,34058.8
123,34147.1
124,34235.3
125,34323.5
126,34411.8
127,34500.0
128,34588.2
129,34764.7
130,34852.9
131,34941.2
132,35029.4
133,35117.6
134,35205.9
135,35294.1
136,35470.6
137,35558.8
138,35647.1
139,35735.3
140,35823.5
141,35911.8
142,36000.0
143,36176.5
144,36264.7
145,36352.9
146,36441.2
147,36529.4
148,36617.6
149,36705.9
150,36882.4
151,36970.6
152,37058.8
153,37147.1
154,37235.3
155,37323.5
156,37411.8
157,37588.2
158,37676.5
159,37764.7
160,37852.9
161,37941.2
162,38029.4
163,38117.6
164,38294.1
165,38382.4
166,38470.6
167,38558.8
168,38647.1
169,38735.3
170,38823.5
171,39000.0
172,39088.2
173,39176.5
174,39264.7
175,39352.9
176,39441.2
177,39529.4
178,39705.9
179,39794.1
180,39882.4
181,39970.6
182,40058.8
183,40147.1
184,40235.3
185,40411.8
186,40500.0
187,40588.2
188,40676.5
189,40764.7
190,40852.9
191,40941.2
192,41117.6
193,41205.9
194,41294.1
195,41382.4
196,41470.6
197,41558.8
198,41647.1
199,41823.5
200,41911.8
201,42000.0
202,42088.2
203,42176.5
204,42264.7
205,42352.9
206,42529.4
207,42617.6
208,42705.9
209,42794.1
210,42882.4
211,42970.6
212,43058.8
213,43235.3
214,43323.5
215,43411.8
216,43500.0
217,43588.2
218,43676.5
219,43764.7
220,43941.2
221,44029.4
222,44117.6
223,44205.9
224,44294.1
225,44382.4
226,44470.6
227,44647.1
228,44735.3
229,44823.5
230,44911.8
231,45000.0
232,45088.2
233,45176.5
234,45352.9
235,45441.2
236,45529.4
237,45617.6
238,45705.9
239,45794.1
240,45882.4
241,46058.8
242,46147.1
243,46235.3
244,46323.5
245,46411.8
246,46500.0
247,46588.2
248,46764.7
249,46852.9
250,46941.2
251,47029.4
252,47117.6
253,47205.9
254,47294.1
255,47470.6
256,47558.8
257,47647.1
258,47735.3
259,47823.5
260,47911.8
261,48000.0
262,48176.5
263,48264.7
264,48352.9
265,48441.2
266,48529.4
267,48617.6
268,48705.9
269,48882.4
270,48970.6
271,49058.8
272,49147.1
273,49235.3
274,49323.5
275,49411.8
276,49588.2
277,49676.5
278,49764.7
279,49852.9
280,49941.2
281,50029.4
282,50117.6
283,50294.1
284,50382.4
285,50470.6
286,50558.8
287,50647.1
288,50735.3
289,50823.5
290,51000.0
291,51088.2
292,51176.5
293,51264.7
294,51352.9
295,51441.2
296,51529.4
297,51705.9
298,51794.1
299,51882.4
300,51970.6
301,52058.8
302,52147.1
303,52235.3
304,52411.8
305,52500.0
306,52588.2
307,52676.5
308,52764.7
309,52852.9
310,52941.2
311,53117.6
312,53205.9
313,53294.1
314,53382.4
315,53470.6
316,53558.8
317,53647.1
318,53823.5
319,53911.8
320,54000.0
321,54088.2
322,54176.5
323,54264.7
324,54352.9
325,54529.4
326,54617.6
327,54705.9
328,54794.1
329,54882.4
330,54970.6
331,55058.8
332,55235.3
333,55323.5
334,55411.8
335,55500.0
336,55588.2
337,55676.5
338,55764.7
339,55941.2
340,56029.4
341,56117.6
342,56205.9
343,56294.1
344,56382.4
345,56470.6
346,56647.1
347,56735.3
348,56823.5
349,56911.8
350,57000.0
351,57088.2
352,57176.5
353,57352.9
354,57441.2
355,57529.4
356,57617.6
357,57705.9
358,57794.1
359,57882.4
360,58058.8
361,58147.1
362,58235.3
363,58323.5
364,58411.8
365,58500.0
366,58588.2
367,58764.7
368,58852.9
369,58941.2
370,59029.4
371,59117.6
372,59205.9
373,59294.1
374,59470.6
375,59558.8
376,59647.1
377,59735.3
378,59823.5
379,59911.8
380,60000.0
381,60176.5
382,60264.7
383,60352.9
384,60441.2
385,60529.4
386,60617.6
387,60705.9
388,60882.4
389,60970.6
390,61058.8
391,61147.1
392,61235.3
393,61323.5
394,61411.8
395,61588.2
