time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,1.000,kick
434.8,2.000,0000,0,2,1.000,unknown
869.6,3.000,0100,4,2,1.000,kick
1304.3,4.000,0000,0,2,1.000,unknown
1739.1,5.000,",",-1,-1,1.000,separator
1739.1,5.000,0001,4,2,1.000,kick
2173.9,6.000,0000,0,2,1.000,unknown
2608.7,7.000,0010,4,2,1.000,kick
3043.5,8.000,0000,0,2,1.000,unknown
3478.3,9.000,",",-1,-1,1.000,separator
3478.3,9.000,1000,4,2,1.000,kick
3913.0,10.000,0000,0,2,1.000,unknown
4347.8,11.000,0100,4,2,1.000,kick
4782.6,12.000,0000,0,2,1.000,unknown
5217.4,13.000,",",-1,-1,1.000,separator
5217.4,13.000,0001,4,2,1.000,kick
5652.2,14.000,0000,0,2,1.000,unknown
6087.0,15.000,0010,4,2,1.000,kick
6521.7,16.000,0000,0,2,1.000,unknown
6956.5,17.000,",",-1,-1,1.000,separator
6956.5,17.000,1000,4,2,1.000,kick
7391.3,18.000,0000,0,2,1.000,unknown
7826.1,19.000,0100,4,2,1.000,kick
8260.9,20.000,0000,0,2,1.000,unknown
8695.7,21.000,",",-1,-1,1.000,separator
8695.7,21.000,0001,4,2,1.000,kick
9130.4,22.000,0000,0,2,1.000,unknown
9565.2,23.000,0010,4,2,1.000,kick
10000.0,24.000,0000,0,2,1.000,unknown
10434.8,25.000,",",-1,-1,1.000,separator
10434.8,25.000,1000,4,2,1.000,kick
10869.6,26.000,0000,0,2,1.000,unknown
11304.3,27.000,0100,4,2,1.000,kick
11739.1,28.000,0000,0,2,1.000,unknown
12173.9,29.000,",",-1,-1,1.000,separator
12173.9,29.000,0001,4,2,1.000,kick
12608.7,30.000,0000,0,2,1.000,unknown
13043.5,31.000,0010,4,2,1.000,kick
13478.3,32.000,0000,0,2,1.000,unknown
13913.0,33.000,",",-1,-1,1.000,separator
13913.0,33.000,1000,4,2,1.000,kick
14347.8,34.000,0001,4,2,1.000,snare
14782.6,35.000,0100,4,2,1.000,kick
15217.4,36.000,0010,4,2,1.000,snare
15652.2,37.000,",",-1,-1,1.000,separator
15652.2,37.000,0001,4,2,1.000,kick
16087.0,38.000,0010,4,2,1.000,snare
16521.7,39.000,1000,4,2,1.000,kick
16956.5,40.000,0100,4,2,1.000,snare
17391.3,41.000,",",-1,-1,1.000,separator
17391.3,41.000,1000,4,2,1.000,kick
17826.1,42.000,0100,4,2,1.000,snare
18260.9,43.000,0010,4,2,1.000,kick
18695.7,44.000,0001,4,2,1.000,snare
19130.4,45.000,",",-1,-1,1.000,separator
19130.4,45.000,0010,4,2,1.000,kick
19565.2,46.000,0001,4,2,1.000,snare
20000.0,47.000,1000,4,2,1.000,kick
20434.8,48.000,0100,4,2,1.000,snare
20869.6,49.000,",",-1,-1,1.000,separator
