time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
117.1875,1.250,0000,0,4,1.000,unknown
234.375,1.500,0010,4,3,0.900,snare
351.5625,1.750,0000,0,4,1.000,unknown
468.75,2.000,1000,4,2,0.950,kick
585.9375,2.250,0001,3,4,0.850,synth
703.125,2.500,0110,4,3,0.920,snare
820.3125,2.750,0000,0,4,1.000,unknown
937.5,3.000,1001,4,2,0.950,kick
1054.6875,3.250,0000,0,4,1.000,unknown
1171.875,3.500,0010,4,3,0.900,snare
1289.0625,3.750,1000,3,4,0.800,synth
1406.25,4.000,0100,4,2,0.900,kick
1523.4375,4.250,0000,0,4,1.000,unknown
1640.625,4.500,0011,4,3,0.920,snare
1757.8125,4.750,0000,0,4,1.000,unknown
1875.0,5.000,",",-1,-1,1.000,separator
1875.0,5.000,1000,4,2,0.950,kick
1992.1875,5.250,0100,3,4,0.880,synth
2109.375,5.500,0010,4,3,0.920,snare
2226.5625,5.750,0001,3,4,0.850,synth
2343.75,6.000,1000,4,2,0.950,kick
2460.9375,6.250,0000,0,4,1.000,unknown
2578.125,6.500,0110,4,3,0.920,snare
2695.3125,6.750,1000,3,4,0.820,melody
2812.5,7.000,0001,4,2,0.950,kick
2929.6875,7.250,0010,3,4,0.870,synth
3046.875,7.500,0100,4,3,0.910,snare
3164.0625,7.750,1000,3,4,0.840,melody
3281.25,8.000,0011,4,2,0.940,kick
3398.4375,8.250,0000,0,4,1.000,unknown
3515.625,8.500,1100,4,3,0.900,snare
3632.8125,8.750,0000,0,4,1.000,unknown
3750.0,9.000,",",-1,-1,1.000,separator
