time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,1,2,1.000,synth
344.8,1.000,0000,0,2,0.000,unknown
689.7,2.000,0000,0,2,0.000,unknown
1034.5,3.000,0000,0,2,0.000,unknown
1379.3,4.000,",",-1,-1,1.000,separator
1379.3,4.000,0001,1,2,1.000,synth
1724.1,5.000,0000,0,2,0.000,unknown
2069.0,6.000,0100,1,2,0.800,synth
2413.8,7.000,0000,0,2,0.000,unknown
2758.6,8.000,",",-1,-1,1.000,separator
2758.6,8.000,0010,1,2,1.000,synth
3103.4,9.000,0000,0,2,0.000,unknown
3448.3,10.000,0000,0,2,0.000,unknown
3793.1,11.000,0000,0,2,0.000,unknown
4137.9,12.000,",",-1,-1,1.000,separator
4137.9,12.000,1000,1,2,1.000,synth
4482.8,13.000,0000,0,2,0.000,unknown
4827.6,14.000,0010,3,2,0.700,synth
5172.4,15.000,0000,0,2,0.000,unknown
5517.2,16.000,",",-1,-1,1.000,separator
5517.2,16.000,0001,1,2,1.000,synth
5862.1,17.000,0000,0,2,0.000,unknown
6206.9,18.000,0000,0,2,0.000,unknown
6551.7,19.000,0000,0,2,0.000,unknown
6896.6,20.000,",",-1,-1,1.000,separator
6896.6,20.000,0100,1,2,1.000,synth
7241.4,21.000,0000,0,2,0.000,unknown
7586.2,22.000,1000,3,2,0.800,synth
7931.0,23.000,0000,0,2,0.000,unknown
8275.9,24.000,",",-1,-1,1.000,separator
8275.9,24.000,0010,1,2,1.000,synth
8620.7,25.000,0000,0,2,0.000,unknown
8965.5,26.000,0000,0,2,0.000,unknown
9310.3,27.000,0000,0,2,0.000,unknown
9655.2,28.000,",",-1,-1,1.000,separator
9655.2,28.000,1001,1,2,1.000,synth
10000.0,29.000,0000,0,2,0.000,unknown
10344.8,30.000,0100,3,2,0.800,synth
10689.7,31.000,0000,0,2,0.000,unknown
11034.5,32.000,",",-1,-1,1.000,separator
11034.5,32.000,1000,1,2,1.000,melody
11379.3,33.000,0000,0,2,0.000,unknown
11724.1,34.000,0010,3,2,0.800,melody
12069.0,35.000,0000,0,2,0.000,unknown
12413.8,36.000,",",-1,-1,1.000,separator
12413.8,36.000,0001,3,2,0.900,melody
12758.6,37.000,0000,0,2,0.000,unknown
13103.4,38.000,0100,3,2,0.800,melody
13448.3,39.000,0000,0,2,0.000,unknown
13793.1,40.000,",",-1,-1,1.000,separator
13793.1,40.000,1000,1,2,1.000,melody
14137.9,41.000,0000,0,2,0.000,unknown
14482.8,42.000,0010,3,2,0.800,melody
14827.6,43.000,0000,0,2,0.000,unknown
15172.4,44.000,",",-1,-1,1.000,separator
15172.4,44.000,0001,3,2,0.900,melody
15517.2,45.000,0000,0,2,0.000,unknown
15862.1,46.000,0100,3,2,0.800,melody
16206.9,47.000,0000,0,2,0.000,unknown
16551.7,48.000,",",-1,-1,1.000,separator
16551.7,48.000,1000,1,2,1.000,vocal
16896.6,49.000,0000,0,2,0.000,unknown
17241.4,50.000,0010,3,2,0.900,vocal
17586.2,51.000,0001,3,2,0.800,vocal
17931.0,52.000,",",-1,-1,1.000,separator
17931.0,52.000,0100,1,2,1.000,vocal
18275.9,53.000,0000,0,2,0.000,unknown
18620.7,54.000,0010,3,2,0.900,vocal
18965.5,55.000,1000,3,2,0.800,vocal
19310.3,56.000,",",-1,-1,1.000,separator
19310.3,56.000,0001,1,2,1.000,vocal
19655.2,57.000,0010,3,2,0.900,vocal
20000.0,58.000,0100,3,2,0.900,vocal
20344.8,59.000,1000,3,2,0.800,vocal
20689.7,60.000,",",-1,-1,1.000,separator
20689.7,60.000,0010,1,2,1.000,vocal
21034.5,61.000,0100,3,2,0.900,vocal
21379.3,62.000,0001,3,2,0.900,vocal
21724.1,63.000,1000,3,2,0.900,build_snare
22069.0,64.000,",",-1,-1,1.000,separator
22069.0,64.000,0100,4,3,1.000,build_snare
22241.4,64.500,0010,4,3,1.000,build_snare
22413.8,65.000,0001,4,3,1.000,build_snare
22586.2,65.500,1000,4,3,1.000,build_snare
22758.6,66.000,0100,4,3,1.000,build_snare
22931.0,66.500,0010,4,3,1.000,build_snare
23103.4,67.000,0001,4,3,1.000,build_snare
23275.9,67.500,1000,4,3,1.000,build_snare
23448.3,68.000,",",-1,-1,1.000,separator
23448.3,68.000,0100,4,3,1.000,build_snare
23620.7,68.500,0010,4,3,1.000,build_snare
23793.1,69.000,0001,4,3,1.000,build_snare
23965.5,69.500,1000,4,3,1.000,build_snare
24137.9,70.000,0100,4,3,1.000,build_snare
24310.3,70.500,0010,4,3,1.000,build_snare
24482.8,71.000,0001,4,3,1.000,build_snare
24655.2,71.500,1000,4,3,1.000,build_snare
24827.6,72.000,",",-1,-1,1.000,separator
24827.6,72.000,0011,4,3,1.000,build_snare
25000.0,72.500,0000,0,3,0.000,unknown
25172.4,73.000,1100,4,3,1.000,build_snare
25344.8,73.500,0000,0,3,0.000,unknown
25517.2,74.000,0011,4,3,1.000,build_snare
25689.7,74.500,0000,0,3,0.000,unknown
25862.1,75.000,1100,4,3,1.000,build_snare
26034.5,75.500,0000,0,3,0.000,unknown
26206.9,76.000,",",-1,-1,1.000,separator
26206.9,76.000,0010,4,3,1.000,build_snare
26379.3,76.500,0100,4,3,1.000,build_snare
26551.7,77.000,1000,4,3,1.000,build_snare
26724.1,77.500,0001,4,3,1.000,build_snare
26896.6,78.000,0100,4,3,1.000,build_snare
27069.0,78.500,1000,4,3,1.000,build_snare
27241.4,79.000,0001,4,3,1.000,build_snare
27413.8,79.500,0010,4,3,1.000,build_snare
27586.2,80.000,",",-1,-1,1.000,separator
27586.2,80.000,1001,4,2,1.000,kick_crash
27672.4,80.250,0000,0,3,0.000,unknown
27758.6,80.500,0000,0,3,0.000,unknown
27844.8,80.750,0000,0,3,0.000,unknown
27931.0,81.000,0010,4,2,1.000,snare
28017.2,81.250,0000,0,3,0.000,unknown
28103.4,81.500,0000,0,3,0.000,unknown
28189.7,81.750,0000,0,3,0.000,unknown
28275.9,82.000,0100,4,2,1.000,kick
28362.1,82.250,0000,0,3,0.000,unknown
28448.3,82.500,0001,4,3,0.900,kick_syncopated
28534.5,82.750,0000,0,3,0.000,unknown
28620.7,83.000,0010,4,2,1.000,snare
28706.9,83.250,0000,0,3,0.000,unknown
28793.1,83.500,0000,0,3,0.000,unknown
28879.3,83.750,0000,0,3,0.000,unknown
28965.5,84.000,",",-1,-1,1.000,separator
28965.5,84.000,1000,4,2,1.000,kick
29051.7,84.250,0000,0,3,0.000,unknown
29137.9,84.500,0000,0,3,0.000,unknown
29224.1,84.750,0000,0,3,0.000,unknown
29310.3,85.000,0010,4,2,1.000,snare
29396.6,85.250,0000,0,3,0.000,unknown
29482.8,85.500,0000,0,3,0.000,unknown
29569.0,85.750,0000,0,3,0.000,unknown
29655.2,86.000,0100,4,2,1.000,kick
29741.4,86.250,0000,0,3,0.000,unknown
29827.6,86.500,0001,4,3,0.900,kick_syncopated
29913.8,86.750,0000,0,3,0.000,unknown
30000.0,87.000,0010,4,2,1.000,snare
30086.2,87.250,0000,0,3,0.000,unknown
30172.4,87.500,0000,0,3,0.000,unknown
30258.6,87.750,0000,0,3,0.000,unknown
30344.8,88.000,",",-1,-1,1.000,separator
30344.8,88.000,1000,4,2,1.000,kick
30431.0,88.250,0000,0,3,0.000,unknown
30517.2,88.500,0000,0,3,0.000,unknown
30603.4,88.750,0000,0,3,0.000,unknown
30689.7,89.000,0010,4,2,1.000,snare
30775.9,89.250,0000,0,3,0.000,unknown
30862.1,89.500,0000,0,3,0.000,unknown
30948.3,89.750,0000,0,3,0.000,unknown
31034.5,90.000,0100,4,2,1.000,kick
31120.7,90.250,0000,0,3,0.000,unknown
31206.9,90.500,1000,4,3,0.900,kick_syncopated
31293.1,90.750,0000,0,3,0.000,unknown
31379.3,91.000,0010,4,2,1.000,snare
31465.5,91.250,0000,0,3,0.000,unknown
31551.7,91.500,0000,0,3,0.000,unknown
31637.9,91.750,0000,0,3,0.000,unknown
31724.1,92.000,",",-1,-1,1.000,separator
31724.1,92.000,0001,4,2,1.000,kick
31810.3,92.250,0000,0,3,0.000,unknown
31896.6,92.500,0000,0,3,0.000,unknown
31982.8,92.750,0000,0,3,0.000,unknown
32069.0,93.000,0010,4,2,1.000,snare
32155.2,93.250,0000,0,3,0.000,unknown
32241.4,93.500,0000,0,3,0.000,unknown
32327.6,93.750,0000,0,3,0.000,unknown
32413.8,94.000,0100,4,2,1.000,kick
32500.0,94.250,0000,0,3,0.000,unknown
32586.2,94.500,0001,4,3,0.900,kick_syncopated
32672.4,94.750,0000,0,3,0.000,unknown
32758.6,95.000,0010,4,2,1.000,snare
32844.8,95.250,0000,0,3,0.000,unknown
32931.0,95.500,0000,0,3,0.000,unknown
33017.2,95.750,0000,0,3,0.000,unknown
33103.4,96.000,",",-1,-1,1.000,separator
33103.4,96.000,1000,4,2,1.000,kick
33189.7,96.250,0000,0,3,0.000,unknown
33275.9,96.500,0000,0,3,0.000,unknown
33362.1,96.750,0000,0,3,0.000,unknown
33448.3,97.000,0010,4,2,1.000,snare
33534.5,97.250,0000,0,3,0.000,unknown
33620.7,97.500,0000,0,3,0.000,unknown
33706.9,97.750,0000,0,3,0.000,unknown
33793.1,98.000,0100,4,2,1.000,kick
33879.3,98.250,0000,0,3,0.000,unknown
33965.5,98.500,0001,4,3,0.900,kick_syncopated
34051.7,98.750,0000,0,3,0.000,unknown
34137.9,99.000,0010,4,2,1.000,snare
34224.1,99.250,0000,0,3,0.000,unknown
34310.3,99.500,0000,0,3,0.000,unknown
34396.6,99.750,0000,0,3,0.000,unknown
34482.8,100.000,",",-1,-1,1.000,separator
34482.8,100.000,0001,4,2,1.000,kick
34569.0,100.250,0000,0,3,0.000,unknown
34655.2,100.500,0000,0,3,0.000,unknown
34741.4,100.750,0000,0,3,0.000,unknown
34827.6,101.000,0010,4,2,1.000,snare
34913.8,101.250,0000,0,3,0.000,unknown
35000.0,101.500,0000,0,3,0.000,unknown
35086.2,101.750,0000,0,3,0.000,unknown
35172.4,102.000,1000,4,2,1.000,kick
35258.6,102.250,0000,0,3,0.000,unknown
35344.8,102.500,0100,4,3,0.900,kick_syncopated
35431.0,102.750,0000,0,3,0.000,unknown
35517.2,103.000,0010,4,2,1.000,snare
35603.4,103.250,0000,0,3,0.000,unknown
35689.7,103.500,0000,0,3,0.000,unknown
35775.9,103.750,0000,0,3,0.000,unknown
35862.1,104.000,",",-1,-1,1.000,separator
35862.1,104.000,1000,4,2,1.000,kick
35948.3,104.250,0000,0,3,0.000,unknown
36034.5,104.500,0000,0,3,0.000,unknown
36120.7,104.750,0000,0,3,0.000,unknown
36206.9,105.000,0010,4,2,1.000,snare
36293.1,105.250,0000,0,3,0.000,unknown
36379.3,105.500,0000,0,3,0.000,unknown
36465.5,105.750,0000,0,3,0.000,unknown
36551.7,106.000,0100,4,2,1.000,kick
36637.9,106.250,0000,0,3,0.000,unknown
36724.1,106.500,0001,4,3,0.900,kick_syncopated
36810.3,106.750,0000,0,3,0.000,unknown
36896.6,107.000,0010,4,2,1.000,snare
36982.8,107.250,0000,0,3,0.000,unknown
37069.0,107.500,0000,0,3,0.000,unknown
37155.2,107.750,0000,0,3,0.000,unknown
37241.4,108.000,",",-1,-1,1.000,separator
37241.4,108.000,0001,4,2,1.000,kick
37327.6,108.250,0000,0,3,0.000,unknown
37413.8,108.500,0000,0,3,0.000,unknown
37500.0,108.750,0000,0,3,0.000,unknown
37586.2,109.000,0010,4,2,1.000,snare
37672.4,109.250,0000,0,3,0.000,unknown
37758.6,109.500,0000,0,3,0.000,unknown
37844.8,109.750,0000,0,3,0.000,unknown
37931.0,110.000,1000,4,2,1.000,kick
38017.2,110.250,0000,0,3,0.000,unknown
38103.4,110.500,0100,4,3,0.900,kick_syncopated
38189.7,110.750,0000,0,3,0.000,unknown
38275.9,111.000,0010,4,2,1.000,snare
38362.1,111.250,0000,0,3,0.000,unknown
38448.3,111.500,0000,0,3,0.000,unknown
38534.5,111.750,0000,0,3,0.000,unknown
38620.7,112.000,",",-1,-1,1.000,separator
38620.7,112.000,1000,4,2,1.000,kick
38706.9,112.250,0000,0,3,0.000,unknown
38793.1,112.500,0000,0,3,0.000,unknown
38879.3,112.750,0000,0,3,0.000,unknown
38965.5,113.000,0010,4,2,1.000,snare
39051.7,113.250,0000,0,3,0.000,unknown
39137.9,113.500,0000,0,3,0.000,unknown
39224.1,113.750,0000,0,3,0.000,unknown
39310.3,114.000,0100,4,2,1.000,kick
39396.6,114.250,0000,0,3,0.000,unknown
39482.8,114.500,0001,4,3,0.900,kick_syncopated
39569.0,114.750,0000,0,3,0.000,unknown
39655.2,115.000,0010,4,2,1.000,snare
39741.4,115.250,0000,0,3,0.000,unknown
39827.6,115.500,0000,0,3,0.000,unknown
39913.8,115.750,0000,0,3,0.000,unknown
40000.0,116.000,",",-1,-1,1.000,separator
40000.0,116.000,0001,4,2,1.000,kick
40086.2,116.250,0000,0,3,0.000,unknown
40172.4,116.500,0000,0,3,0.000,unknown
40258.6,116.750,0000,0,3,0.000,unknown
40344.8,117.000,0010,4,2,1.000,snare
40431.0,117.250,0000,0,3,0.000,unknown
40517.2,117.500,0000,0,3,0.000,unknown
40603.4,117.750,0000,0,3,0.000,unknown
40689.7,118.000,1000,4,2,1.000,kick
40775.9,118.250,0000,0,3,0.000,unknown
40862.1,118.500,0100,4,3,0.900,kick_syncopated
40948.3,118.750,0000,0,3,0.000,unknown
41034.5,119.000,0010,4,2,1.000,snare
41120.7,119.250,0000,0,3,0.000,unknown
41206.9,119.500,0000,0,3,0.000,unknown
41293.1,119.750,0000,0,3,0.000,unknown
41379.3,120.000,",",-1,-1,1.000,separator
41379.3,120.000,1000,4,2,1.000,kick
41465.5,120.250,0000,0,3,0.000,unknown
41551.7,120.500,0000,0,3,0.000,unknown
41637.9,120.750,0000,0,3,0.000,unknown
41724.1,121.000,0010,4,2,1.000,snare
41810.3,121.250,0000,0,3,0.000,unknown
41896.6,121.500,0000,0,3,0.000,unknown
41982.8,121.750,0000,0,3,0.000,unknown
42069.0,122.000,0100,4,2,1.000,kick
42155.2,122.250,0000,0,3,0.000,unknown
42241.4,122.500,0001,4,3,0.900,kick_syncopated
42327.6,122.750,0000,0,3,0.000,unknown
42413.8,123.000,0010,4,2,1.000,snare
42500.0,123.250,0000,0,3,0.000,unknown
42586.2,123.500,0000,0,3,0.000,unknown
42672.4,123.750,0000,0,3,0.000,unknown
42758.6,124.000,",",-1,-1,1.000,separator
42758.6,124.000,0001,4,2,1.000,kick
42844.8,124.250,0000,0,3,0.000,unknown
42931.0,124.500,0000,0,3,0.000,unknown
43017.2,124.750,0000,0,3,0.000,unknown
43103.4,125.000,0010,4,2,1.000,snare
43189.7,125.250,0000,0,3,0.000,unknown
43275.9,125.500,0000,0,3,0.000,unknown
43362.1,125.750,0000,0,3,0.000,unknown
43448.3,126.000,1000,4,2,1.000,kick
43534.5,126.250,0000,0,3,0.000,unknown
43620.7,126.500,0100,4,3,0.900,kick_syncopated
43706.9,126.750,0000,0,3,0.000,unknown
43793.1,127.000,0010,4,2,1.000,snare
43879.3,127.250,0000,0,3,0.000,unknown
43965.5,127.500,0000,0,3,0.000,unknown
44051.7,127.750,0000,0,3,0.000,unknown
44137.9,128.000,",",-1,-1,1.000,separator
44137.9,128.000,1000,4,2,1.000,kick
44224.1,128.250,0000,0,3,0.000,unknown
44310.3,128.500,0000,0,3,0.000,unknown
44396.6,128.750,0000,0,3,0.000,unknown
44482.8,129.000,0010,4,2,1.000,snare
44569.0,129.250,0000,0,3,0.000,unknown
44655.2,129.500,0000,0,3,0.000,unknown
44741.4,129.750,0000,0,3,0.000,unknown
44827.6,130.000,0100,4,2,1.000,kick
44913.8,130.250,0000,0,3,0.000,unknown
45000.0,130.500,0001,4,3,0.900,kick_syncopated
45086.2,130.750,0000,0,3,0.000,unknown
45172.4,131.000,0010,4,2,1.000,snare
45258.6,131.250,0000,0,3,0.000,unknown
45344.8,131.500,0000,0,3,0.000,unknown
45431.0,131.750,0000,0,3,0.000,unknown
45517.2,132.000,",",-1,-1,1.000,separator
45517.2,132.000,0001,4,2,1.000,kick
45603.4,132.250,0000,0,3,0.000,unknown
45689.7,132.500,0000,0,3,0.000,unknown
45775.9,132.750,0000,0,3,0.000,unknown
45862.1,133.000,0010,4,2,1.000,snare
45948.3,133.250,0000,0,3,0.000,unknown
46034.5,133.500,0000,0,3,0.000,unknown
46120.7,133.750,0000,0,3,0.000,unknown
46206.9,134.000,1000,4,2,1.000,kick
46293.1,134.250,0000,0,3,0.000,unknown
46379.3,134.500,0100,4,3,0.900,kick_syncopated
46465.5,134.750,0000,0,3,0.000,unknown
46551.7,135.000,0010,4,2,1.000,snare
46637.9,135.250,0000,0,3,0.000,unknown
46724.1,135.500,0000,0,3,0.000,unknown
46810.3,135.750,0000,0,3,0.000,unknown
46896.6,136.000,",",-1,-1,1.000,separator
46896.6,136.000,1000,4,2,1.000,kick
46982.8,136.250,0000,0,3,0.000,unknown
47069.0,136.500,0000,0,3,0.000,unknown
47155.2,136.750,0000,0,3,0.000,unknown
47241.4,137.000,0010,4,2,1.000,snare
47327.6,137.250,0000,0,3,0.000,unknown
47413.8,137.500,0000,0,3,0.000,unknown
47500.0,137.750,0000,0,3,0.000,unknown
47586.2,138.000,0100,4,2,1.000,kick
47672.4,138.250,0000,0,3,0.000,unknown
47758.6,138.500,0001,4,3,0.900,kick_syncopated
47844.8,138.750,0000,0,3,0.000,unknown
47931.0,139.000,0010,4,2,1.000,snare
48017.2,139.250,0000,0,3,0.000,unknown
48103.4,139.500,0000,0,3,0.000,unknown
48189.7,139.750,0000,0,3,0.000,unknown
48275.9,140.000,",",-1,-1,1.000,separator
48275.9,140.000,0001,4,2,1.000,kick
48362.1,140.250,0000,0,3,0.000,unknown
48448.3,140.500,0000,0,3,0.000,unknown
48534.5,140.750,0000,0,3,0.000,unknown
48620.7,141.000,0010,4,2,1.000,snare
48706.9,141.250,0000,0,3,0.000,unknown
48793.1,141.500,0000,0,3,0.000,unknown
48879.3,141.750,0000,0,3,0.000,unknown
48965.5,142.000,1000,4,2,1.000,kick
49051.7,142.250,0000,0,3,0.000,unknown
49137.9,142.500,0100,4,3,0.900,kick_syncopated
49224.1,142.750,0000,0,3,0.000,unknown
49310.3,143.000,0010,4,2,1.000,snare
49396.6,143.250,0000,0,3,0.000,unknown
49482.8,143.500,0000,0,3,0.000,unknown
49569.0,143.750,0000,0,3,0.000,unknown
49655.2,144.000,",",-1,-1,1.000,separator
49655.2,144.000,1000,1,2,1.000,vocal
50000.0,145.000,0000,0,2,0.000,unknown
50344.8,146.000,0010,3,2,0.900,vocal
50689.7,147.000,0000,0,2,0.000,unknown
51034.5,148.000,",",-1,-1,1.000,separator
