onset_index,onset_ms
0,50.0
1,130.0
2,210.0
3,290.0
4,370.0
5,450.0
6,530.0
7,610.0
8,690.0
9,770.0
10,850.0
11,930.0
12,1010.0
13,1090.0
14,1170.0
15,1250.0
16,1330.0
17,1410.0
18,1490.0
19,1570.0
20,1650.0
21,1730.0
22,1810.0
23,1890.0
24,1970.0
25,2050.0
26,2130.0
27,2210.0
28,2290.0
29,2370.0
30,2450.0
31,2530.0
32,2610.0
33,2690.0
34,2770.0
35,2850.0
36,2930.0
37,3010.0
38,3090.0
39,3170.0
40,3250.0
41,3330.0
42,3410.0
43,3490.0
44,3570.0
45,3650.0
46,3730.0
47,3810.0
48,3890.0
49,3970.0
50,4050.0
51,4130.0
52,4210.0
53,4290.0
54,4370.0
55,4450.0
56,4530.0
57,4610.0
58,4690.0
59,4770.0
60,4850.0
61,4930.0
62,5010.0
63,5090.0
64,5170.0
65,5250.0
66,5330.0
67,5410.0
68,5490.0
69,5570.0
70,5650.0
71,5730.0
72,5810.0
73,5890.0
74,5970.0
75,6050.0
76,6130.0
77,6210.0
78,6290.0
79,6370.0
80,6450.0
81,6530.0
82,6610.0
83,6690.0
84,6770.0
85,6850.0
86,6930.0
87,7010.0
88,7090.0
89,7170.0
90,7250.0
91,7330.0
92,7410.0
93,7490.0
94,7570.0
95,7650.0
96,7730.0
97,7810.0
98,7890.0
99,7970.0
100,8050.0
101,8130.0
102,8210.0
103,8290.0
104,8370.0
105,8450.0
106,8530.0
107,8610.0
108,8690.0
109,8770.0
110,8850.0
111,8930.0
112,9010.0
113,9090.0
114,9170.0
115,9250.0
116,9330.0
117,9410.0
118,9490.0
119,9570.0
120,9650.0
121,9730.0
122,9810.0
123,9890.0
124,9970.0
125,10050.0
126,10130.0
127,10210.0
128,10290.0
129,10370.0
130,10450.0
131,10530.0
132,10610.0
133,10690.0
134,10770.0
135,10850.0
136,10930.0
137,11010.0
138,11090.0
139,11170.0
140,11250.0
141,11330.0
142,11410.0
143,11490.0
144,11570.0
145,11650.0
146,11730.0
147,11810.0
148,11890.0
149,11970.0
150,12050.0
151,12130.0
152,12210.0
153,12290.0
154,12370.0
155,12450.0
156,12530.0
157,12610.0
158,12690.0
159,12770.0
160,12850.0
161,12930.0
162,13010.0
163,13090.0
164,13170.0
165,13250.0
166,13330.0
167,13410.0
168,13490.0
169,13570.0
170,13650.0
171,13730.0
172,13810.0
173,13890.0
174,13970.0
175,14050.0
176,14130.0
177,14210.0
178,14290.0
179,14370.0
180,14450.0
181,14530.0
182,14610.0
183,14690.0
184,14770.0
185,14850.0
186,14930.0
187,15010.0
188,15090.0
189,15170.0
190,15250.0
191,15330.0
192,15410.0
193,15490.0
194,15570.0
195,15650.0
196,15730.0
197,15810.0
198,15890.0
199,15970.0
200,16050.0
201,16130.0
202,16210.0
203,16290.0
204,16370.0
205,16450.0
206,16530.0
207,16610.0
208,16690.0
209,16770.0
210,16850.0
211,16930.0
212,17010.0
213,17090.0
214,17170.0
215,17250.0
216,17330.0
217,17410.0
218,17490.0
219,17570.0
220,17650.0
221,17730.0
222,17810.0
223,17890.0
224,17970.0
225,18050.0
226,18130.0
227,18210.0
228,18290.0
229,18370.0
230,18450.0
231,18530.0
232,18610.0
233,18690.0
234,18770.0
235,18850.0
236,18930.0
237,19010.0
238,19090.0
239,19170.0
240,19250.0
241,19330.0
242,19410.0
243,19490.0
244,19570.0
245,19650.0
246,19730.0
247,19810.0
248,19890.0
249,19970.0
250,20050.0
251,20130.0
252,20210.0
253,20290.0
254,20370.0
255,20450.0
256,20530.0
257,20610.0
258,20690.0
259,20770.0
260,20850.0
261,20930.0
262,21010.0
263,21090.0
264,21170.0
265,21250.0
266,21330.0
267,21410.0
268,21490.0
269,21570.0
270,21650.0
271,21730.0
