# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation over MuMu-LLaMA c_loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,Dynamic Scale Matrix (1.0 + N*0.5)
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
143.6,2.14,0.00,0.07,True,0011,0001-0.2%|0011-0.2%|0010-0.1%|0110-0.1%|0101-0.1%|0100-0.1%|0111-0.1%|0000-0.1%|1111-0.0%|1100-0.0%|1110-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1011-0.0%|1101-0.0%,0011,2.65
143.6,2.14,0.42,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,0.84,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,1.25,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,1.67,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,2.09,2.21,True,0100,0011-0.1%|0001-0.1%|0110-0.1%|0111-0.1%|0101-0.1%|0100-0.1%|1111-0.1%|1100-0.1%|1110-0.1%|0010-0.0%|1101-0.0%|0000-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1011-0.0%,0100,2.49
143.6,2.14,2.51,2.86,True,1100,0011-0.2%|0001-0.2%|0110-0.1%|0111-0.1%|0101-0.1%|1111-0.1%|1100-0.1%|1110-0.1%|0010-0.0%|0100-0.0%|1101-0.0%|0000-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1011-0.0%,1100,2.48
143.6,2.14,2.93,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,3.34,3.69,True,0001,0110-0.1%|0001-0.1%|0011-0.1%|0111-0.1%|1110-0.1%|0101-0.1%|1100-0.1%|1111-0.1%|1011-0.0%|1101-0.0%|0100-0.0%|1010-0.0%|1001-0.0%|0000-0.0%|0010-0.0%|1000-0.0%,0001,2.54
143.6,2.14,3.76,3.92,True,0011,0011-0.2%|0110-0.1%|0111-0.1%|0101-0.1%|1110-0.1%|1111-0.1%|1100-0.1%|1011-0.0%|0100-0.0%|1101-0.0%|1001-0.0%|0001-0.0%|1010-0.0%|0000-0.0%|0010-0.0%|1000-0.0%,0011,2.54
