time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.980,kick
100.0,1.250,0000,0,3,1.000,unknown
200.0,1.500,0010,4,3,0.920,snare
300.0,1.750,0000,0,3,1.000,unknown
400.0,2.000,0100,4,2,0.950,kick
500.0,2.250,1000,3,3,0.850,synth
600.0,2.500,0001,4,3,0.910,snare
700.0,2.750,0000,0,3,1.000,unknown
800.0,3.000,1000,4,2,0.960,kick
900.0,3.250,0010,3,3,0.880,synth
1000.0,3.500,0100,4,3,0.930,snare
1100.0,3.750,0000,0,3,1.000,unknown
1200.0,4.000,1001,4,2,0.970,kick
1300.0,4.250,0000,0,3,1.000,unknown
1400.0,4.500,0010,4,3,0.890,snare
1500.0,4.750,0110,3,3,0.820,synth
1600.0,5.000,",",-1,-1,1.000,separator
1600.0,5.000,1000,4,2,0.990,kick
1700.0,5.250,0001,3,3,0.860,synth
1800.0,5.500,0010,4,3,0.940,snare
1900.0,5.750,0000,0,3,1.000,unknown
2000.0,6.000,0100,4,2,0.960,kick
2100.0,6.250,1000,3,3,0.870,synth
2200.0,6.500,0010,4,3,0.930,snare
2300.0,6.750,0000,0,3,1.000,unknown
2400.0,7.000,1001,4,2,0.980,kick
2500.0,7.250,0100,3,3,0.850,synth
2600.0,7.500,0010,4,3,0.910,snare
2700.0,7.750,0001,3,3,0.820,synth
2800.0,8.000,1000,4,2,0.970,kick
2900.0,8.250,0000,0,3,1.000,unknown
3000.0,8.500,0010,4,3,0.900,snare
3100.0,8.750,1010,3,3,0.800,synth
3200.0,9.000,",",-1,-1,1.000,separator
