time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,4,2,0.950,kick
85.71,1.250,0000,0,3,1.000,unknown
171.42,1.500,0110,4,3,0.900,snare
257.13,1.750,0000,0,3,1.000,unknown
342.84,2.000,1001,4,2,0.950,kick
428.55,2.250,0000,0,3,1.000,unknown
514.26,2.500,0110,4,3,0.900,snare
599.97,2.750,0000,0,3,1.000,unknown
685.68,3.000,1001,4,2,0.950,kick
771.39,3.250,0000,0,3,1.000,unknown
857.1,3.500,0110,4,3,0.900,snare
942.81,3.750,0000,0,3,1.000,unknown
1028.52,4.000,1001,4,2,0.950,kick
1114.23,4.250,0000,0,3,1.000,unknown
1199.94,4.500,0110,4,3,0.900,snare
1285.65,4.750,0000,0,3,1.000,unknown
1371.36,5.000,",",-1,-1,1.000,separator
1457.07,5.250,1000,4,2,0.900,kick
1542.78,5.500,0010,4,3,0.850,melody
1628.49,5.750,0000,0,3,1.000,unknown
1714.2,6.000,0100,4,2,0.900,snare
1799.91,6.250,0001,4,3,0.820,melody
1885.62,6.500,0000,0,3,1.000,unknown
1971.33,6.750,0010,4,3,0.850,melody
2057.04,7.000,1000,4,2,0.900,kick
2142.75,7.250,0001,4,3,0.820,melody
2228.46,7.500,0000,0,3,1.000,unknown
2314.17,7.750,0100,4,3,0.880,snare
2399.88,8.000,1001,4,2,0.950,kick
2485.59,8.250,0000,0,3,1.000,unknown
2571.3,8.500,0110,4,3,0.900,snare
2657.01,8.750,1111,4,3,0.700,unknown
2742.72,9.000,",",-1,-1,1.000,separator
