time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,0.900,melody
342.8,2.000,0001,1,2,0.800,melody
685.7,3.000,0100,1,2,0.900,melody
1028.5,4.000,0010,1,2,0.800,melody
1371.4,5.000,",",-1,-1,1.000,separator
1371.4,5.000,0000,0,2,0.000,unknown
1714.2,6.000,1000,1,2,0.900,melody
2057.1,7.000,0000,0,2,0.000,unknown
2400.0,8.000,0001,1,2,0.900,melody
2742.8,9.000,",",-1,-1,1.000,separator
2742.8,9.000,0100,1,2,0.900,melody
3085.7,10.000,0010,1,2,0.800,melody
3428.5,11.000,1000,1,2,0.900,melody
3771.4,12.000,0001,1,2,0.800,melody
4114.2,13.000,",",-1,-1,1.000,separator
4114.2,13.000,1000,1,2,0.900,melody
4457.1,14.000,0000,0,2,0.000,unknown
4800.0,15.000,0010,1,2,0.900,melody
5142.8,16.000,0000,0,2,0.000,unknown
5485.7,17.000,",",-1,-1,1.000,separator
5485.7,17.000,0100,1,2,0.900,melody
5828.5,18.000,0001,1,2,0.800,melody
6171.4,19.000,1000,1,2,0.900,melody
6514.2,20.000,0010,1,2,0.800,melody
6857.1,21.000,",",-1,-1,1.000,separator
6857.1,21.000,0001,1,2,0.800,melody
7200.0,22.000,0000,0,2,0.000,unknown
7542.8,23.000,0100,1,2,0.900,melody
7885.7,24.000,0000,0,2,0.000,unknown
8228.5,25.000,",",-1,-1,1.000,separator
8228.5,25.000,1000,1,2,0.900,melody
8571.4,26.000,0010,1,2,0.800,melody
8914.2,27.000,0001,1,2,0.900,melody
9257.1,28.000,0100,1,2,0.800,melody
9600.0,29.000,",",-1,-1,1.000,separator
9600.0,29.000,0010,1,2,0.900,melody
9942.8,30.000,0000,0,2,0.000,unknown
10285.7,31.000,1000,1,2,0.900,melody
10628.5,32.000,0000,0,2,0.000,unknown
10971.4,33.000,",",-1,-1,1.000,separator
10971.4,33.000,0100,1,2,0.900,melody
11314.2,34.000,0001,1,2,0.800,melody
11657.1,35.000,0010,1,2,0.900,melody
12000.0,36.000,1000,1,2,0.800,melody
