# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
143.6,2.14,0.00,0.07,True,0010,0000-9.1%|0001-14.2%|0010-8.0%|0100-5.7%|1000-3.3%|0011-7.9%|0101-5.1%|0110-15.8%|1001-0.0%|1010-0.0%|1100-3.9%|0111-9.8%|1011-0.0%|1101-4.5%|1110-5.7%|1111-7.1%,0010,1.87
143.6,2.14,0.42,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,0.84,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,1.25,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,1.67,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,2.09,2.21,True,0001,0000-0.0%|0001-20.3%|0010-28.3%|0100-6.1%|1000-0.0%|0011-10.4%|0101-3.9%|0110-16.6%|1001-0.0%|1010-2.2%|1100-0.0%|0111-5.6%|1011-0.0%|1101-0.0%|1110-3.1%|1111-3.4%,0001,1.88
143.6,2.14,2.51,2.86,True,0110,0000-2.3%|0001-10.0%|0010-30.2%|0100-7.3%|1000-0.0%|0011-12.4%|0101-4.6%|0110-20.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-7.0%|1011-0.0%|1101-0.0%|1110-3.0%|1111-3.3%,0110,1.88
143.6,2.14,2.93,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
143.6,2.14,3.34,3.69,True,1110,0000-0.0%|0001-10.9%|0010-18.9%|0100-4.9%|1000-4.2%|0011-12.0%|0101-0.0%|0110-14.4%|1001-0.0%|1010-4.2%|1100-5.3%|0111-4.7%|1011-0.0%|1101-4.6%|1110-8.9%|1111-7.0%,1110,1.94
143.6,2.14,3.76,3.92,True,0111,0000-0.0%|0001-12.0%|0010-29.1%|0100-5.3%|1000-0.0%|0011-13.7%|0101-4.6%|0110-14.5%|1001-0.0%|1010-3.0%|1100-3.8%|0111-5.3%|1011-0.0%|1101-3.4%|1110-0.0%|1111-5.3%,0111,1.94
