# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,Exhaustive Sequence Evaluation via AudioFlamingo3 loss
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
99.4,2.16,0.00,0.49,True,0011,0001-0.3%|0000-0.3%|0110-0.1%|0100-0.1%|0111-0.1%|0010-0.0%|0101-0.0%|0011-0.0%|1111-0.0%|1000-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0011,1.73
99.4,2.16,0.60,0.86|0.93|1.02,True,0110,0001-0.3%|0000-0.3%|0110-0.2%|0100-0.1%|0010-0.1%|0111-0.0%|0101-0.0%|1111-0.0%|1010-0.0%|1000-0.0%|0011-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0110,1.48
99.4,2.16,1.21,1.23|1.39|1.53|1.70,True,0001,0001-0.4%|0000-0.3%|0110-0.1%|0100-0.1%|0111-0.1%|0010-0.1%|0101-0.0%|1111-0.0%|1010-0.0%|1000-0.0%|0011-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0001,1.49
99.4,2.16,1.81,1.97|2.11|2.28,True,0111,0000-0.3%|0001-0.3%|0110-0.1%|0111-0.1%|0100-0.1%|0010-0.1%|0101-0.1%|1111-0.0%|1010-0.0%|1000-0.0%|0011-0.0%|1001-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0111,1.49
99.4,2.16,2.41,2.58|2.72|2.88,True,1010,0110-0.2%|0000-0.2%|0011-0.1%|0001-0.1%|0111-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|1111-0.0%|1010-0.0%|1001-0.0%|1000-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,1010,1.51
99.4,2.16,3.02,3.04|3.32|3.48|3.62,True,0110,0110-0.2%|0000-0.2%|0001-0.1%|0011-0.1%|0111-0.1%|0100-0.1%|0010-0.1%|0101-0.1%|1111-0.0%|1001-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0110,1.52
99.4,2.16,3.62,3.78|3.92|4.09,True,0000,0000-0.2%|0001-0.2%|0011-0.1%|0110-0.1%|0111-0.1%|0100-0.1%|0010-0.1%|0101-0.1%|1111-0.0%|1001-0.0%|1011-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0000,1.52
99.4,2.16,4.23,4.39|4.53|4.69,True,0100,0000-0.2%|0011-0.1%|0001-0.1%|0110-0.1%|0111-0.1%|0010-0.1%|0100-0.1%|0101-0.1%|1111-0.0%|1001-0.0%|1011-0.0%|1000-0.0%|1010-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0100,1.52
99.4,2.16,4.83,4.83|4.97|5.13|5.29,True,0011,0000-0.2%|0001-0.1%|0010-0.1%|0110-0.1%|0011-0.1%|0101-0.1%|0111-0.1%|0100-0.1%|1111-0.0%|1000-0.0%|1010-0.0%|1001-0.0%|1110-0.0%|1100-0.0%|1011-0.0%|1101-0.0%,0011,1.54
99.4,2.16,5.43,5.57|5.74|5.87,True,1000,0000-0.2%|0010-0.1%|0110-0.1%|0001-0.1%|0100-0.1%|0011-0.1%|0101-0.1%|0111-0.1%|1000-0.0%|1010-0.0%|1111-0.0%|1001-0.0%|1011-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,1000,1.54
99.4,2.16,6.04,6.04|6.18|6.32|6.48|6.55,True,0101,0000-0.2%|0110-0.2%|0001-0.1%|0010-0.1%|0011-0.1%|0100-0.1%|0101-0.1%|0111-0.1%|1111-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|1000-0.0%|1011-0.0%|1101-0.0%|1110-0.0%,0101,1.54
99.4,2.16,6.64,6.78|6.92|7.08|7.15,True,0110,0000-0.2%|0001-0.2%|0110-0.1%|0010-0.1%|0011-0.1%|0100-0.1%|0111-0.1%|1111-0.0%|1010-0.0%|1001-0.0%|1011-0.0%|1000-0.0%|0101-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0110,1.54
99.4,2.16,7.24,7.38|7.52|7.69,True,0001,0001-0.2%|0000-0.1%|0011-0.1%|0111-0.1%|0010-0.1%|0110-0.1%|1001-0.1%|0100-0.0%|1010-0.0%|1011-0.0%|1111-0.0%|0101-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0001,1.79
99.4,2.16,7.85,7.85|8.13|8.29|8.45,True,0111,0000-0.1%|0011-0.1%|0111-0.1%|1010-0.1%|0010-0.1%|0110-0.1%|0001-0.1%|1001-0.1%|0100-0.1%|1011-0.0%|0101-0.0%|1111-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0111,1.79
99.4,2.16,8.45,8.73|8.89,True,0001,0110-0.1%|0000-0.1%|0011-0.1%|1010-0.1%|0010-0.1%|0001-0.1%|1001-0.1%|0100-0.1%|0111-0.0%|1011-0.0%|0101-0.0%|1111-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0001,1.79
99.4,2.16,9.06,9.06|9.33|9.61,True,0000,0000-0.2%|0110-0.2%|0011-0.1%|1010-0.1%|0010-0.1%|0111-0.1%|1001-0.1%|0100-0.1%|1011-0.0%|0001-0.0%|1111-0.0%|0101-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0000,1.79
99.4,2.16,9.66,9.78|10.08|10.24,True,0010,0000-0.2%|0110-0.1%|0100-0.1%|0011-0.1%|0010-0.1%|0001-0.1%|1010-0.1%|0111-0.1%|1001-0.0%|1011-0.0%|1111-0.0%|0101-0.0%|1000-0.0%|1100-0.0%|1101-0.0%|1110-0.0%,0010,1.86
