time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,1.000,kick
468.75,2.000,0000,0,2,0.000,unknown
937.5,3.000,0000,0,2,0.000,unknown
1406.25,4.000,0000,0,2,0.000,unknown
1875.0,5.000,",",-1,-1,0.000,separator
1875.0,1.000,0001,1,2,1.000,kick
2343.75,2.000,0000,0,2,0.000,unknown
2812.5,3.000,0000,0,2,0.000,unknown
3281.25,4.000,0000,0,2,0.000,unknown
3750.0,5.000,",",-1,-1,0.000,separator
3750.0,1.000,0100,1,2,1.000,kick
4218.75,2.000,0000,0,2,0.000,unknown
4687.5,3.000,0010,1,2,0.800,snare
5156.25,4.000,0000,0,2,0.000,unknown
5625.0,5.000,",",-1,-1,0.000,separator
5625.0,1.000,0001,1,2,1.000,kick
6093.75,2.000,0000,0,2,0.000,unknown
6562.5,3.000,1000,1,2,0.800,snare
7031.25,4.000,0000,0,2,0.000,unknown
7500.0,5.000,",",-1,-1,0.000,separator
7500.0,1.000,0100,1,2,1.000,kick
7968.75,2.000,0000,0,2,0.000,unknown
8437.5,3.000,0001,1,2,0.800,snare
8906.25,4.000,0000,0,2,0.000,unknown
9375.0,5.000,",",-1,-1,0.000,separator
9375.0,1.000,1000,1,2,1.000,kick
9843.75,2.000,0000,0,2,0.000,unknown
10312.5,3.000,0010,1,2,0.900,snare
10781.25,4.000,0000,0,2,0.000,unknown
11250.0,5.000,",",-1,-1,0.000,separator
11250.0,1.000,0001,1,2,1.000,kick
11718.75,2.000,0000,0,2,0.000,unknown
12187.5,3.000,0100,1,2,0.900,snare
12656.25,4.000,0000,0,2,0.000,unknown
13125.0,5.000,",",-1,-1,0.000,separator
13125.0,1.000,1000,1,2,1.000,kick
13593.75,2.000,0000,0,2,0.000,unknown
14062.5,3.000,0010,1,2,0.900,snare
14531.25,4.000,0000,0,2,0.000,unknown
15000.0,5.000,",",-1,-1,0.000,separator
15000.0,1.000,0001,1,2,1.000,kick
15468.75,2.000,0100,1,2,0.900,snare
15937.5,3.000,1000,1,2,1.000,kick
16406.25,4.000,0010,1,2,0.900,snare
16875.0,5.000,",",-1,-1,0.000,separator
16875.0,1.000,0001,1,2,1.000,kick
17343.75,2.000,0100,1,2,0.900,snare
17812.5,3.000,1000,1,2,1.000,kick
18281.25,4.000,0010,1,2,0.900,snare
18750.0,5.000,",",-1,-1,0.000,separator
18750.0,1.000,0100,1,2,1.000,kick
19218.75,2.000,0001,1,2,0.900,snare
19687.5,3.000,0010,1,2,1.000,kick
20156.25,4.000,1000,1,2,0.900,snare
20625.0,5.000,",",-1,-1,0.000,separator
20625.0,1.000,0100,1,2,1.000,kick
21093.75,2.000,0001,1,2,0.900,snare
21562.5,3.000,0010,1,2,1.000,kick
22031.25,4.000,1000,1,2,0.900,snare
22500.0,5.000,",",-1,-1,0.000,separator
22500.0,1.000,1000,1,2,1.000,kick
22968.75,2.000,0100,1,2,0.900,snare
23437.5,3.000,0010,1,2,1.000,kick
23906.25,4.000,0001,1,2,0.900,snare
24375.0,5.000,",",-1,-1,0.000,separator
24375.0,1.000,1000,1,2,1.000,kick
24843.75,2.000,0100,1,2,0.900,snare
25312.5,3.000,0010,1,2,1.000,kick
25781.25,4.000,0001,1,2,0.900,snare
26250.0,5.000,",",-1,-1,0.000,separator
26250.0,1.000,0010,1,2,1.000,kick
26718.75,2.000,0001,1,2,0.900,snare
27187.5,3.000,1000,1,2,1.000,kick
27656.25,4.000,0100,1,2,0.900,snare
28125.0,5.000,",",-1,-1,0.000,separator
28125.0,1.000,0010,1,2,1.000,kick
28593.75,2.000,0001,1,2,0.900,snare
29062.5,3.000,1000,1,2,1.000,kick
29531.25,4.000,0100,1,2,0.900,snare
30000.0,5.000,",",-1,-1,0.000,separator
30000.0,1.000,1000,1,2,1.000,kick
30468.75,2.000,0010,1,2,0.900,snare
30937.5,3.000,0100,1,2,1.000,kick
31406.25,4.000,0001,1,2,0.900,snare
31875.0,5.000,",",-1,-1,0.000,separator
31875.0,1.000,1000,1,2,1.000,kick
32343.75,2.000,0010,1,2,0.900,snare
32812.5,3.000,0100,1,2,1.000,kick
33281.25,4.000,0001,1,2,0.900,snare
33750.0,5.000,",",-1,-1,0.000,separator
33750.0,1.000,0100,1,2,1.000,kick
34218.75,2.000,1000,1,2,0.900,snare
34687.5,3.000,0001,1,2,1.000,kick
35156.25,4.000,0010,1,2,0.900,snare
35625.0,5.000,",",-1,-1,0.000,separator
35625.0,1.000,0100,1,2,1.000,kick
36093.75,2.000,1000,1,2,0.900,snare
36562.5,3.000,0001,1,2,1.000,kick
37031.25,4.000,0010,1,2,0.900,snare
37500.0,5.000,",",-1,-1,0.000,separator
37500.0,1.000,1000,1,2,1.000,kick
37968.75,2.000,0100,1,2,0.900,snare
38437.5,3.000,0010,1,2,1.000,kick
38906.25,4.000,0001,1,2,0.900,snare
39375.0,5.000,",",-1,-1,0.000,separator
39375.0,1.000,1000,1,2,1.000,kick
39843.75,2.000,0100,1,2,0.900,snare
40312.5,3.000,0010,1,2,1.000,kick
40781.25,4.000,0001,1,2,0.900,snare
41250.0,5.000,",",-1,-1,0.000,separator
41250.0,1.000,0001,1,2,1.000,kick
41718.75,2.000,0010,1,2,0.900,snare
42187.5,3.000,0100,1,2,1.000,kick
42656.25,4.000,1000,1,2,0.900,snare
43125.0,5.000,",",-1,-1,0.000,separator
43125.0,1.000,0001,1,2,1.000,kick
43593.75,2.000,0010,1,2,0.900,snare
44062.5,3.000,0100,1,2,1.000,kick
44531.25,4.000,1000,1,2,0.900,snare
45000.0,5.000,",",-1,-1,0.000,separator
45000.0,1.000,1000,1,2,1.000,kick
