time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.980,kick
125.0,1.250,0000,0,3,1.000,unknown
250.0,1.500,0010,4,3,0.900,snare
375.0,1.750,0000,0,3,1.000,unknown
500.0,2.000,1000,4,2,0.950,kick
625.0,2.250,0000,0,3,1.000,unknown
750.0,2.500,0100,4,3,0.880,snare
875.0,2.750,0000,0,3,1.000,unknown
1000.0,3.000,1100,4,2,0.920,kick
1125.0,3.250,0000,0,3,1.000,unknown
1250.0,3.500,0011,4,3,0.850,snare
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,1001,4,2,0.960,kick
1625.0,4.250,0100,4,3,0.820,synth
1750.0,4.500,0010,4,3,0.810,synth
1875.0,4.750,0001,4,3,0.840,synth
2000.0,5.000,",",-1,-1,1.000,separator
2125.0,5.250,1000,4,3,0.950,kick
2250.0,5.500,0100,4,3,0.910,snare
2375.0,5.750,0000,0,3,1.000,unknown
2500.0,6.000,0010,4,3,0.890,snare
2625.0,6.250,0000,0,3,1.000,unknown
2750.0,6.500,0001,4,3,0.940,kick
2875.0,6.750,0000,0,3,1.000,unknown
3000.0,7.000,1001,4,3,0.960,kick
3125.0,7.250,0110,4,3,0.850,synth
3250.0,7.500,0110,4,3,0.850,synth
3375.0,7.750,0000,0,3,1.000,unknown
3500.0,8.000,1000,4,3,0.980,kick
3625.0,8.250,1000,4,3,0.880,synth
3750.0,8.500,0100,4,3,0.880,synth
3875.0,8.750,0010,4,3,0.880,synth
4000.0,9.000,",",-1,-1,1.000,separator
4125.0,9.250,1001,4,3,0.970,kick
4250.0,9.500,0000,0,3,1.000,unknown
4375.0,9.750,0110,4,3,0.920,snare
4500.0,10.000,0000,0,3,1.000,unknown
4625.0,10.250,1001,4,3,0.940,kick
4750.0,10.500,0000,0,3,1.000,unknown
4875.0,10.750,0110,4,3,0.910,snare
5000.0,11.000,0000,0,3,1.000,unknown
5125.0,11.250,1100,4,3,0.930,kick
5250.0,11.500,0000,0,3,1.000,unknown
5375.0,11.750,0011,4,3,0.890,snare
5500.0,12.000,0000,0,3,1.000,unknown
5625.0,12.250,1000,4,3,0.950,kick
5750.0,12.500,0100,4,3,0.880,synth
5875.0,12.750,0010,4,3,0.880,synth
6000.0,13.000,",",-1,-1,1.000,separator
129000.0,259.000,1111,4,2,0.990,kick
129125.0,259.250,0000,0,3,1.000,unknown
129250.0,259.500,0000,0,3,1.000,unknown
129375.0,259.750,0000,0,3,1.000,unknown
129500.0,260.000,0000,0,2,1.000,unknown
129600.0,260.200,",",-1,-1,1.000,separator
