time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,1,2,1.000,kick
136.36,1.250,0000,0,3,0.000,unknown
272.73,1.500,0000,0,3,0.000,unknown
409.09,1.750,0000,0,3,0.000,unknown
545.45,2.000,0001,4,2,0.800,synth
681.82,2.250,0000,0,3,0.000,unknown
818.18,2.500,0000,0,3,0.000,unknown
954.55,2.750,0000,0,3,0.000,unknown
1090.91,3.000,0010,2,2,0.900,snare
1227.27,3.250,0000,0,3,0.000,unknown
1363.64,3.500,0000,0,3,0.000,unknown
1500.0,3.750,0000,0,3,0.000,unknown
1636.36,4.000,0100,4,2,0.800,synth
1772.73,4.250,0000,0,3,0.000,unknown
1909.09,4.500,0000,0,3,0.000,unknown
2045.45,4.750,0000,0,3,0.000,unknown
2181.82,5.000,",",-1,-1,1.000,separator
2181.82,5.000,1000,1,2,1.000,kick
2318.18,5.250,0000,0,3,0.000,unknown
2454.55,5.500,0000,0,3,0.000,unknown
2590.91,5.750,0000,0,3,0.000,unknown
2727.27,6.000,0010,4,2,0.800,synth
2863.64,6.250,0000,0,3,0.000,unknown
3000.0,6.500,0000,0,3,0.000,unknown
3136.36,6.750,0000,0,3,0.000,unknown
3272.73,7.000,0100,2,2,0.900,snare
3409.09,7.250,0000,0,3,0.000,unknown
3545.45,7.500,0000,0,3,0.000,unknown
3681.82,7.750,0000,0,3,0.000,unknown
3818.18,8.000,0001,4,2,0.800,synth
3954.55,8.250,0000,0,3,0.000,unknown
4090.91,8.500,0000,0,3,0.000,unknown
4227.27,8.750,0000,0,3,0.000,unknown
4363.64,9.000,",",-1,-1,1.000,separator
4363.64,9.000,1001,1,2,1.000,kick
4500.0,9.250,0000,0,3,0.000,unknown
4636.36,9.500,0100,4,3,0.850,bass
4772.73,9.750,0000,0,3,0.000,unknown
4909.09,10.000,0010,2,2,0.900,hihat
5045.45,10.250,0000,0,3,0.000,unknown
5181.82,10.500,0001,4,3,0.800,bass
5318.18,10.750,0000,0,3,0.000,unknown
5454.55,11.000,0110,2,2,0.950,snare
5590.91,11.250,0000,0,3,0.000,unknown
5727.27,11.500,1000,4,3,0.800,bass
5863.64,11.750,0000,0,3,0.000,unknown
6000.0,12.000,0010,2,2,0.850,hihat
6136.36,12.250,0100,4,3,0.700,fill
6272.73,12.500,0001,4,3,0.700,fill
6409.09,12.750,1000,4,3,0.700,fill
6545.45,13.000,",",-1,-1,1.000,separator
6545.45,13.000,1001,1,2,1.000,kick
6681.82,13.250,0000,0,3,0.000,unknown
6818.18,13.500,0010,4,3,0.850,bass
6954.55,13.750,0000,0,3,0.000,unknown
7090.91,14.000,0100,2,2,0.900,hihat
7227.27,14.250,0000,0,3,0.000,unknown
7363.64,14.500,0001,4,3,0.800,bass
7500.0,14.750,0010,4,3,0.800,bass
7636.36,15.000,1100,2,2,0.950,snare
7772.73,15.250,0000,0,3,0.000,unknown
7909.09,15.500,0001,4,3,0.800,bass
8045.45,15.750,1000,4,3,0.800,bass
8181.82,16.000,0100,2,2,0.850,hihat
8318.18,16.250,0010,4,3,0.700,fill
8454.55,16.500,0001,4,3,0.700,fill
8590.91,16.750,1110,4,3,0.900,fill_crash
8727.27,17.000,",",-1,-1,1.000,separator
8727.27,17.000,1001,1,2,1.000,kick_drop
8863.64,17.250,0000,0,3,0.000,unknown
9000.0,17.500,0100,4,3,0.880,wobble
9136.36,17.750,0000,0,3,0.000,unknown
9272.73,18.000,0010,2,2,0.900,hat
9409.09,18.250,0001,4,3,0.880,wobble
9545.45,18.500,0000,0,3,0.000,unknown
9681.82,18.750,0100,4,3,0.880,wobble
9818.18,19.000,1001,2,2,0.950,snare
9954.55,19.250,0000,0,3,0.000,unknown
10090.91,19.500,0010,4,3,0.880,wobble
10227.27,19.750,0000,0,3,0.000,unknown
10363.64,20.000,0100,2,2,0.900,hat
10500.0,20.250,1000,4,3,0.850,glitch
10636.36,20.500,0001,4,3,0.850,glitch
10772.73,20.750,0100,4,3,0.850,glitch
10909.09,21.000,",",-1,-1,1.000,separator
10909.09,21.000,1001,1,2,1.000,kick
11045.45,21.250,0010,4,3,0.880,bass
11181.82,21.500,0000,0,3,0.000,unknown
