time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1000,4,2,0.950,kick
428.57,2.000,0010,4,2,0.900,snare
857.14,3.000,0100,4,2,0.950,kick
1285.71,4.000,0001,4,2,0.900,snare
1714.28,5.000,",",-1,-1,1.000,separator
1714.28,5.000,1000,4,2,0.950,kick
2142.85,6.000,0010,4,2,0.900,snare
2571.42,7.000,0100,4,2,0.950,kick
2999.99,8.000,0001,4,2,0.900,snare
3428.56,9.000,",",-1,-1,1.000,separator
3428.56,9.000,1000,4,2,0.950,kick
3857.13,10.000,0010,4,2,0.900,snare
4285.7,11.000,0100,4,2,0.950,kick
4714.27,12.000,0001,4,2,0.900,snare
5142.84,13.000,",",-1,-1,1.000,separator
5142.84,13.000,1000,4,2,0.950,kick
5571.41,14.000,0010,4,2,0.900,snare
5999.98,15.000,0100,4,2,0.950,kick
6428.55,16.000,0001,4,2,0.900,snare
6857.12,17.000,",",-1,-1,1.000,separator
6857.12,17.000,1000,4,2,0.950,kick
7071.4,17.500,0000,0,3,1.000,unknown
7285.69,18.000,0010,4,2,0.900,snare
7499.97,18.500,0001,3,3,0.850,hats
7714.26,19.000,0100,4,2,0.950,kick
7928.54,19.500,0000,0,3,1.000,unknown
8142.83,20.000,0010,4,2,0.900,snare
8357.11,20.500,1000,3,3,0.850,kick
8571.4,21.000,",",-1,-1,1.000,separator
8571.4,21.000,0100,4,2,0.950,kick
8785.68,21.500,0000,0,3,1.000,unknown
8999.97,22.000,0010,4,2,0.900,snare
9214.25,22.500,0001,3,3,0.850,hats
9428.54,23.000,1000,4,2,0.950,kick
9642.82,23.500,0000,0,3,1.000,unknown
9857.11,24.000,0010,4,2,0.900,snare
10071.39,24.500,0100,3,3,0.850,kick
10285.68,25.000,",",-1,-1,1.000,separator
10285.68,25.000,1000,4,2,0.950,kick
10499.96,25.500,0000,0,3,1.000,unknown
10714.25,26.000,0010,4,2,0.900,snare
10928.53,26.500,0001,3,3,0.850,hats
11142.82,27.000,0100,4,2,0.950,kick
11357.1,27.500,0000,0,3,1.000,unknown
11571.39,28.000,0010,4,2,0.900,snare
11785.67,28.500,1000,3,3,0.850,kick
12000.0,29.000,",",-1,-1,1.000,separator
12000.0,29.000,1000,4,2,0.950,kick
12107.14,29.250,0000,0,3,1.000,unknown
12214.28,29.500,0000,0,3,1.000,unknown
12321.42,29.750,0000,0,3,1.000,unknown
12428.57,30.000,0010,4,2,0.900,snare
12535.71,30.250,0000,0,3,1.000,unknown
12642.85,30.500,0001,3,3,0.850,hats
12750.0,30.750,0000,0,3,1.000,unknown
12857.14,31.000,0100,4,2,0.950,kick
12964.28,31.250,0000,0,3,1.000,unknown
13071.42,31.500,0000,0,3,1.000,unknown
13178.57,31.750,1000,3,3,0.850,kick
13285.71,32.000,0010,4,2,0.900,snare
13392.85,32.250,0000,0,3,1.000,unknown
13500.0,32.500,0001,3,3,0.850,hats
13607.14,32.750,0000,0,3,1.000,unknown
13714.28,33.000,",",-1,-1,1.000,separator
13714.28,33.000,0100,4,2,0.950,kick
13821.42,33.250,0000,0,3,1.000,unknown
13928.57,33.500,0000,0,3,1.000,unknown
14035.71,33.750,0000,0,3,1.000,unknown
14142.85,34.000,0010,4,2,0.900,snare
14250.0,34.250,0000,0,3,1.000,unknown
14357.14,34.500,0010,3,3,0.850,hats
14464.28,34.750,0000,0,3,1.000,unknown
14571.42,35.000,1000,4,2,0.950,kick
14678.57,35.250,0000,0,3,1.000,unknown
14785.71,35.500,0000,0,3,1.000,unknown
14892.85,35.750,0100,3,3,0.850,kick
15000.0,36.000,0010,4,2,0.900,snare
15107.14,36.250,0000,0,3,1.000,unknown
15214.28,36.500,0001,3,3,0.850,hats
15321.42,36.750,0000,0,3,1.000,unknown
15428.57,37.000,",",-1,-1,1.000,separator
15428.57,37.000,1000,4,2,0.950,kick
15535.71,37.250,0000,0,3,1.000,unknown
