# ML Generation Strategy,Weighted Multinomial Probability Sampling
# Graph Search Strategy,"Exhaustive Sequence Evaluation (Math computes all 16 states natively, no Beam Search needed)"
# Temperature,1.8
# Top-P,0.9
# Min-P,0.01
# Top-K,None
# Repetition Penalty,"Dynamic Scale Matrix (1.0 + N*0.5, Last-Beat Multiplier 1.1x)"
global_bpm,song_duration_minutes,beat_time_sec,onset_timestamps_in_beat,onset_detected,selected_step,step_probabilities,final_step_selection,time_taken_sec
129.2,2.49,0.00,None,False,0000,0000-100.0%|0001-0.0%|0010-0.0%|0100-0.0%|1000-0.0%|0011-0.0%|0101-0.0%|0110-0.0%|1001-0.0%|1010-0.0%|1100-0.0%|0111-0.0%|1011-0.0%|1101-0.0%|1110-0.0%|1111-0.0%,0000,0.00
129.2,2.49,0.46,0.51,True,0111,0000-9.6%|0001-13.6%|0010-7.5%|0100-5.7%|1000-3.4%|0011-7.3%|0101-4.8%|0110-16.1%|1001-0.0%|1010-0.0%|1100-4.3%|0111-9.8%|1011-0.0%|1101-5.1%|1110-5.5%|1111-7.3%,0111,2.19
129.2,2.49,0.93,1.18,True,0101,0000-9.9%|0001-14.6%|0010-8.0%|0100-6.0%|1000-3.6%|0011-8.2%|0101-5.2%|0110-16.6%|1001-0.0%|1010-0.0%|1100-4.7%|0111-4.4%|1011-0.0%|1101-5.4%|1110-5.8%|1111-7.6%,0101,1.84
129.2,2.49,1.39,1.42,True,0110,0000-9.6%|0001-13.7%|0010-7.6%|0100-6.0%|1000-4.0%|0011-7.6%|0101-0.0%|0110-16.9%|1001-0.0%|1010-3.4%|1100-4.9%|0111-5.6%|1011-0.0%|1101-5.8%|1110-6.5%|1111-8.4%,0110,1.84
129.2,2.49,1.86,1.86,True,0111,0000-7.6%|0001-13.1%|0010-5.4%|0100-6.3%|1000-4.9%|0011-6.3%|0101-3.8%|0110-9.9%|1001-0.0%|1010-3.8%|1100-5.7%|0111-10.2%|1011-0.0%|1101-6.9%|1110-7.3%|1111-8.8%,0111,1.89
129.2,2.49,2.32,2.35|2.58,True,0011,0000-9.7%|0001-16.6%|0010-7.3%|0100-7.9%|1000-0.0%|0011-8.6%|0101-4.9%|0110-14.9%|1001-0.0%|1010-0.0%|1100-4.4%|0111-7.3%|1011-0.0%|1101-5.5%|1110-5.7%|1111-7.2%,0011,1.89
129.2,2.49,2.79,2.81|3.04|3.16,True,0111,0000-9.6%|0001-16.7%|0010-7.4%|0100-8.1%|1000-3.4%|0011-0.0%|0101-5.0%|0110-14.9%|1001-0.0%|1010-2.9%|1100-4.5%|0111-9.0%|1011-0.0%|1101-5.6%|1110-5.8%|1111-7.2%,0111,1.89
129.2,2.49,3.25,3.27|3.51,True,0010,0000-9.9%|0001-17.1%|0010-7.7%|0100-8.0%|1000-3.5%|0011-3.8%|0101-4.9%|0110-15.3%|1001-0.0%|1010-0.0%|1100-4.8%|0111-4.8%|1011-0.0%|1101-6.0%|1110-6.3%|1111-7.9%,0010,1.89
129.2,2.49,3.72,3.74|3.95|4.09,True,0000,0000-7.1%|0001-12.4%|0010-0.0%|0100-6.2%|1000-3.3%|0011-9.9%|0101-4.2%|0110-13.4%|1001-0.0%|1010-0.0%|1100-4.6%|0111-12.9%|1011-3.4%|1101-6.3%|1110-6.5%|1111-9.9%,0000,1.95
129.2,2.49,4.18,4.18|4.41|4.64,True,0001,0000-8.0%|0001-13.6%|0010-4.1%|0100-6.7%|1000-0.0%|0011-11.6%|0101-4.7%|0110-15.1%|1001-0.0%|1010-0.0%|1100-3.7%|0111-14.3%|1011-0.0%|1101-5.1%|1110-5.2%|1111-8.0%,0001,1.95
