time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
400.0,0.000,1000,1,2,1.000,kick
800.0,1.000,0100,1,2,1.000,snare
1200.0,2.000,0010,1,2,1.000,kick
1600.0,3.000,0001,1,2,1.000,snare
2000.0,4.000,",",-1,-1,1.000,separator
2000.0,4.000,1000,4,2,1.000,kick
2400.0,5.000,0010,4,2,1.000,snare
2800.0,6.000,0100,4,2,1.000,kick
3200.0,7.000,0001,4,2,1.000,snare
3600.0,8.000,",",-1,-1,1.000,separator
3600.0,8.000,1000,4,2,1.000,kick
4000.0,9.000,0010,4,2,1.000,snare
4400.0,10.000,0100,4,2,1.000,kick
4800.0,11.000,0001,4,2,1.000,snare
5200.0,12.000,",",-1,-1,1.000,separator
5200.0,12.000,1000,4,2,1.000,kick
5600.0,13.000,0010,4,2,1.000,snare
6000.0,14.000,0100,4,2,1.000,kick
6400.0,15.000,0001,4,2,1.000,snare
6800.0,16.000,",",-1,-1,1.000,separator
6800.0,16.000,0100,4,2,1.000,kick
7200.0,17.000,0001,4,2,1.000,snare
7600.0,18.000,1000,4,2,1.000,kick
8000.0,19.000,0010,4,2,1.000,snare
8400.0,20.000,",",-1,-1,1.000,separator
8400.0,20.000,0100,4,2,1.000,kick
8800.0,21.000,0001,4,2,1.000,snare
9200.0,22.000,1000,4,2,1.000,kick
9600.0,23.000,0010,4,2,1.000,snare
10000.0,24.000,",",-1,-1,1.000,separator
10000.0,24.000,0100,4,2,1.000,kick
10400.0,25.000,0001,4,2,1.000,snare
10800.0,26.000,1000,4,2,1.000,kick
11200.0,27.000,0010,4,2,1.000,snare
11600.0,28.000,",",-1,-1,1.000,separator
11600.0,28.000,0100,4,2,1.000,kick
12000.0,29.000,0001,4,2,1.000,snare
12400.0,30.000,1000,4,2,1.000,kick
12800.0,31.000,0010,4,2,1.000,snare
13200.0,32.000,",",-1,-1,1.000,separator
13200.0,32.000,1000,4,2,1.000,kick
13600.0,33.000,0001,4,2,1.000,snare
14000.0,34.000,0100,4,2,1.000,kick
14400.0,35.000,0010,4,2,1.000,snare
14800.0,36.000,",",-1,-1,1.000,separator
14800.0,36.000,1000,4,2,1.000,kick
15200.0,37.000,0001,4,2,1.000,snare
15600.0,38.000,0100,4,2,1.000,kick
16000.0,39.000,0010,4,2,1.000,snare
16400.0,40.000,",",-1,-1,1.000,separator
16400.0,40.000,1000,4,2,1.000,kick
16800.0,41.000,0001,4,2,1.000,snare
17200.0,42.000,0100,4,2,1.000,kick
17600.0,43.000,0010,4,2,1.000,snare
18000.0,44.000,",",-1,-1,1.000,separator
18000.0,44.000,1000,4,2,1.000,kick
18400.0,45.000,0001,4,2,1.000,snare
18800.0,46.000,0100,4,2,1.000,kick
19200.0,47.000,0010,4,2,1.000,snare
19600.0,48.000,",",-1,-1,1.000,separator
19600.0,48.000,1000,4,2,1.000,kick
20000.0,49.000,0001,4,2,1.000,snare
20400.0,50.000,0100,4,2,1.000,kick
20800.0,51.000,0010,4,2,1.000,snare
21200.0,52.000,",",-1,-1,1.000,separator
21200.0,52.000,1000,4,2,1.000,kick
21600.0,53.000,0001,4,2,1.000,snare
22000.0,54.000,0100,4,2,1.000,kick
22400.0,55.000,0010,4,2,1.000,snare
22800.0,56.000,",",-1,-1,1.000,separator
22800.0,56.000,1000,4,2,1.000,kick
23200.0,57.000,0001,4,2,1.000,snare
23600.0,58.000,0100,4,2,1.000,kick
24000.0,59.000,0010,4,2,1.000,snare
24400.0,60.000,",",-1,-1,1.000,separator
24400.0,60.000,1000,4,2,1.000,kick
24800.0,61.000,0001,4,2,1.000,snare
25200.0,62.000,0100,4,2,1.000,kick
25600.0,63.000,0010,4,2,1.000,snare
26000.0,64.000,",",-1,-1,1.000,separator
26000.0,64.000,1000,4,1,1.000,bass
26400.0,65.000,0000,0,2,1.000,unknown
26800.0,66.000,0001,4,1,1.000,bass
27200.0,67.000,0000,0,2,1.000,unknown
27600.0,68.000,",",-1,-1,1.000,separator
27600.0,68.000,0100,4,1,1.000,bass
28000.0,69.000,0000,0,2,1.000,unknown
28400.0,70.000,0010,4,1,1.000,bass
28800.0,71.000,0000,0,2,1.000,unknown
29200.0,72.000,",",-1,-1,1.000,separator
29200.0,72.000,1000,4,1,1.000,bass
29600.0,73.000,0000,0,2,1.000,unknown
30000.0,74.000,0001,4,1,1.000,bass
30400.0,75.000,0000,0,2,1.000,unknown
30800.0,76.000,",",-1,-1,1.000,separator
30800.0,76.000,0100,4,1,1.000,bass
31200.0,77.000,0000,0,2,1.000,unknown
31600.0,78.000,0010,4,1,1.000,bass
32000.0,79.000,0000,0,2,1.000,unknown
32400.0,80.000,",",-1,-1,1.000,separator
32400.0,80.000,1000,4,1,1.000,bass
32800.0,81.000,0000,0,2,1.000,unknown
33200.0,82.000,0001,4,1,1.000,bass
33600.0,83.000,0000,0,2,1.000,unknown
34000.0,84.000,",",-1,-1,1.000,separator
34000.0,84.000,0100,4,1,1.000,bass
34400.0,85.000,0000,0,2,1.000,unknown
34800.0,86.000,0010,4,1,1.000,bass
35200.0,87.000,0000,0,2,1.000,unknown
35600.0,88.000,",",-1,-1,1.000,separator
35600.0,88.000,1000,4,1,1.000,bass
36000.0,89.000,0000,0,2,1.000,unknown
36400.0,90.000,0001,4,1,1.000,bass
36800.0,91.000,0000,0,2,1.000,unknown
37200.0,92.000,",",-1,-1,1.000,separator
37200.0,92.000,0100,4,1,1.000,bass
37600.0,93.000,0000,0,2,1.000,unknown
38000.0,94.000,0010,4,1,1.000,bass
38400.0,95.000,0000,0,2,1.000,unknown
38800.0,96.000,",",-1,-1,1.000,separator
38800.0,96.000,1000,4,2,1.000,kick
39200.0,97.000,0010,4,2,1.000,snare
39600.0,98.000,0100,4,2,1.000,kick
40000.0,99.000,0001,4,2,1.000,snare
40400.0,100.000,",",-1,-1,1.000,separator
40400.0,100.000,0010,4,2,1.000,kick
40800.0,101.000,1000,4,2,1.000,snare
41200.0,102.000,0001,4,2,1.000,kick
41600.0,103.000,0100,4,2,1.000,snare
42000.0,104.000,",",-1,-1,1.000,separator
42000.0,104.000,1000,4,2,1.000,kick
42400.0,105.000,0010,4,2,1.000,snare
42800.0,106.000,0100,4,2,1.000,kick
43200.0,107.000,0001,4,2,1.000,snare
43600.0,108.000,",",-1,-1,1.000,separator
43600.0,108.000,0010,4,2,1.000,kick
44000.0,109.000,1000,4,2,1.000,snare
44400.0,110.000,0001,4,2,1.000,kick
44800.0,111.000,0100,4,2,1.000,snare
45200.0,112.000,",",-1,-1,1.000,separator
45200.0,112.000,1000,4,2,1.000,kick
45600.0,113.000,0010,4,2,1.000,snare
46000.0,114.000,0100,4,2,1.000,kick
46400.0,115.000,0001,4,2,1.000,snare
46800.0,116.000,",",-1,-1,1.000,separator
46800.0,116.000,0010,4,2,1.000,kick
47200.0,117.000,1000,4,2,1.000,snare
47600.0,118.000,0001,4,2,1.000,kick
48000.0,119.000,0100,4,2,1.000,snare
48400.0,120.000,",",-1,-1,1.000,separator
48400.0,120.000,1000,4,2,1.000,kick
48800.0,121.000,0010,4,2,1.000,snare
49200.0,122.000,0100,4,2,1.000,kick
49600.0,123.000,0001,4,2,1.000,snare
50000.0,124.000,",",-1,-1,1.000,separator
50000.0,124.000,0010,4,2,1.000,kick
50400.0,125.000,1000,4,2,1.000,snare
50800.0,126.000,0001,4,2,1.000,kick
51200.0,127.000,0100,4,2,1.000,snare
51600.0,128.000,",",-1,-1,1.000,separator
51600.0,128.000,1000,4,2,1.000,kick
52000.0,129.000,0001,4,2,1.000,snare
52400.0,130.000,0100,4,2,1.000,kick
52800.0,131.000,0010,4,2,1.000,snare
53200.0,132.000,",",-1,-1,1.000,separator
53200.0,132.000,1000,4,2,1.000,kick
53600.0,133.000,0001,4,2,1.000,snare
54000.0,134.000,0100,4,2,1.000,kick
54400.0,135.000,0010,4,2,1.000,snare
54800.0,136.000,",",-1,-1,1.000,separator
54800.0,136.000,1000,4,2,1.000,kick
55200.0,137.000,0001,4,2,1.000,snare
55600.0,138.000,0100,4,2,1.000,kick
56000.0,139.000,0010,4,2,1.000,snare
56400.0,140.000,",",-1,-1,1.000,separator
56400.0,140.000,1000,4,2,1.000,kick
56800.0,141.000,0001,4,2,1.000,snare
57200.0,142.000,0100,4,2,1.000,kick
57600.0,143.000,0010,4,2,1.000,snare
58000.0,144.000,",",-1,-1,1.000,separator
58000.0,144.000,1000,4,2,1.000,kick
58400.0,145.000,0001,4,2,1.000,snare
58800.0,146.000,0100,4,2,1.000,kick
59200.0,147.000,0010,4,2,1.000,snare
59600.0,148.000,",",-1,-1,1.000,separator
59600.0,148.000,1000,4,2,1.000,kick
60000.0,149.000,0001,4,2,1.000,snare
60400.0,150.000,0100,4,2,1.000,kick
60800.0,151.000,0010,4,2,1.000,snare
61200.0,152.000,",",-1,-1,1.000,separator
61200.0,152.000,1000,4,2,1.000,kick
61600.0,153.000,0001,4,2,1.000,snare
62000.0,154.000,0100,4,2,1.000,kick
62400.0,155.000,0010,4,2,1.000,snare
62800.0,156.000,",",-1,-1,1.000,separator
62800.0,156.000,1000,4,2,1.000,kick
63200.0,157.000,0001,4,2,1.000,snare
63600.0,158.000,0100,4,2,1.000,kick
64000.0,159.000,0010,4,2,1.000,snare
64400.0,160.000,",",-1,-1,1.000,separator
64400.0,160.000,1000,4,2,1.000,kick
64800.0,161.000,0010,4,2,1.000,snare
65200.0,162.000,0100,4,2,1.000,kick
65600.0,163.000,0001,4,2,1.000,snare
66000.0,164.000,",",-1,-1,1.000,separator
66000.0,164.000,1000,4,2,1.000,kick
66400.0,165.000,0010,4,2,1.000,snare
66800.0,166.000,0100,4,2,1.000,kick
67200.0,167.000,0001,4,2,1.000,snare
67600.0,168.000,",",-1,-1,1.000,separator
67600.0,168.000,1000,4,2,1.000,kick
68000.0,169.000,0010,4,2,1.000,snare
68400.0,170.000,0100,4,2,1.000,kick
68800.0,171.000,0001,4,2,1.000,snare
69200.0,172.000,",",-1,-1,1.000,separator
69200.0,172.000,1000,4,2,1.000,kick
69600.0,173.000,0010,4,2,1.000,snare
70000.0,174.000,0100,4,2,1.000,kick
70400.0,175.000,0001,4,2,1.000,snare
70800.0,176.000,",",-1,-1,1.000,separator
70800.0,176.000,1000,4,2,1.000,kick
71200.0,177.000,0010,4,2,1.000,snare
71600.0,178.000,0100,4,2,1.000,kick
72000.0,179.000,0001,4,2,1.000,snare
72400.0,180.000,",",-1,-1,1.000,separator
72400.0,180.000,1000,4,2,1.000,kick
72800.0,181.000,0010,4,2,1.000,snare
73200.0,182.000,0100,4,2,1.000,kick
73600.0,183.000,0001,4,2,1.000,snare
74000.0,184.000,",",-1,-1,1.000,separator
74000.0,184.000,1000,4,2,1.000,kick
74400.0,185.000,0010,4,2,1.000,snare
74800.0,186.000,0100,4,2,1.000,kick
75200.0,187.000,0001,4,2,1.000,snare
75600.0,188.000,",",-1,-1,1.000,separator
75600.0,188.000,1000,4,2,1.000,kick
76000.0,189.000,0010,4,2,1.000,snare
76400.0,190.000,0100,4,2,1.000,kick
76800.0,191.000,0001,4,2,1.000,snare
77200.0,192.000,",",-1,-1,1.000,separator
77200.0,192.000,1000,4,1,1.000,bass
77600.0,193.000,0000,0,2,1.000,unknown
78000.0,194.000,0010,4,1,1.000,bass
78400.0,195.000,0000,0,2,1.000,unknown
78800.0,196.000,",",-1,-1,1.000,separator
78800.0,196.000,0100,4,1,1.000,bass
79200.0,197.000,0000,0,2,1.000,unknown
79600.0,198.000,0001,4,1,1.000,bass
80000.0,199.000,0000,0,2,1.000,unknown
80400.0,200.000,",",-1,-1,1.000,separator
80400.0,200.000,1000,4,1,1.000,bass
80800.0,201.000,0000,0,2,1.000,unknown
81200.0,202.000,0010,4,1,1.000,bass
81600.0,203.000,0000,0,2,1.000,unknown
82000.0,204.000,",",-1,-1,1.000,separator
82000.0,204.000,0100,4,1,1.000,bass
82400.0,205.000,0000,0,2,1.000,unknown
82800.0,206.000,0001,4,1,1.000,bass
83200.0,207.000,0000,0,2,1.000,unknown
83600.0,208.000,",",-1,-1,1.000,separator
83600.0,208.000,1000,4,1,1.000,bass
84000.0,209.000,0000,0,2,1.000,unknown
84400.0,210.000,0010,4,1,1.000,bass
84800.0,211.000,0000,0,2,1.000,unknown
85200.0,212.000,",",-1,-1,1.000,separator
85200.0,212.000,0100,4,1,1.000,bass
85600.0,213.000,0000,0,2,1.000,unknown
86000.0,214.000,0001,4,1,1.000,bass
86400.0,215.000,0000,0,2,1.000,unknown
86800.0,216.000,",",-1,-1,1.000,separator
86800.0,216.000,1000,4,1,1.000,bass
87200.0,217.000,0000,0,2,1.000,unknown
87600.0,218.000,0010,4,1,1.000,bass
88000.0,219.000,0000,0,2,1.000,unknown
88400.0,220.000,",",-1,-1,1.000,separator
88400.0,220.000,0100,4,1,1.000,bass
88800.0,221.000,0000,0,2,1.000,unknown
89200.0,222.000,0001,4,1,1.000,bass
89600.0,223.000,0000,0,2,1.000,unknown
90000.0,224.000,",",-1,-1,1.000,separator
90000.0,224.000,1000,4,2,1.000,kick
90400.0,225.000,0010,4,2,1.000,snare
90800.0,226.000,0100,4,2,1.000,kick
91200.0,227.000,0001,4,2,1.000,snare
91600.0,228.000,",",-1,-1,1.000,separator
91600.0,228.000,1000,4,2,1.000,kick
92000.0,229.000,0010,4,2,1.000,snare
92400.0,230.000,0100,4,2,1.000,kick
92800.0,231.000,0001,4,2,1.000,snare
93200.0,232.000,",",-1,-1,1.000,separator
93200.0,232.000,1000,4,2,1.000,kick
93600.0,233.000,0010,4,2,1.000,snare
94000.0,234.000,0100,4,2,1.000,kick
94400.0,235.000,0001,4,2,1.000,snare
94800.0,236.000,",",-1,-1,1.000,separator
94800.0,236.000,1000,4,2,1.000,kick
95200.0,237.000,0010,4,2,1.000,snare
95600.0,238.000,0100,4,2,1.000,kick
96000.0,239.000,0001,4,2,1.000,snare
96400.0,240.000,",",-1,-1,1.000,separator
96400.0,240.000,0010,4,2,1.000,kick
96800.0,241.000,1000,4,2,1.000,snare
97200.0,242.000,0001,4,2,1.000,kick
97600.0,243.000,0100,4,2,1.000,snare
98000.0,244.000,",",-1,-1,1.000,separator
98000.0,244.000,0010,4,2,1.000,kick
98400.0,245.000,1000,4,2,1.000,snare
98800.0,246.000,0001,4,2,1.000,kick
99200.0,247.000,0100,4,2,1.000,snare
99600.0,248.000,",",-1,-1,1.000,separator
99600.0,248.000,0010,4,2,1.000,kick
100000.0,249.000,1000,4,2,1.000,snare
100400.0,250.000,0001,4,2,1.000,kick
100800.0,251.000,0100,4,2,1.000,snare
101200.0,252.000,",",-1,-1,1.000,separator
101200.0,252.000,0010,4,2,1.000,kick
101600.0,253.000,1000,4,2,1.000,snare
102000.0,254.000,0001,4,2,1.000,kick
102400.0,255.000,0100,4,2,1.000,snare
102800.0,256.000,",",-1,-1,1.000,separator
102800.0,256.000,1000,4,2,1.000,kick
103200.0,257.000,0010,4,2,1.000,snare
103600.0,258.000,0100,4,2,1.000,kick
104000.0,259.000,0001,4,2,1.000,snare
104400.0,260.000,",",-1,-1,1.000,separator
104400.0,260.000,1000,4,2,1.000,kick
104800.0,261.000,0010,4,2,1.000,snare
105200.0,262.000,0100,4,2,1.000,kick
105600.0,263.000,0001,4,2,1.000,snare
106000.0,264.000,",",-1,-1,1.000,separator
106000.0,264.000,1000,4,2,1.000,kick
106400.0,265.000,0010,4,2,1.000,snare
106800.0,266.000,0100,4,2,1.000,kick
107200.0,267.000,0001,4,2,1.000,snare
107600.0,268.000,",",-1,-1,1.000,separator
107600.0,268.000,1000,4,2,1.000,kick
108000.0,269.000,0010,4,2,1.000,snare
108400.0,270.000,0100,4,2,1.000,kick
108800.0,271.000,0001,4,2,1.000,snare
109200.0,272.000,",",-1,-1,1.000,separator
109200.0,272.000,0010,4,2,1.000,kick
109600.0,273.000,1000,4,2,1.000,snare
110000.0,274.000,0001,4,2,1.000,kick
110400.0,275.000,0100,4,2,1.000,snare
110800.0,276.000,",",-1,-1,1.000,separator
110800.0,276.000,0010,4,2,1.000,kick
111200.0,277.000,1000,4,2,1.000,snare
111600.0,278.000,0001,4,2,1.000,kick
112000.0,279.000,0100,4,2,1.000,snare
112400.0,280.000,",",-1,-1,1.000,separator
112400.0,280.000,0010,4,2,1.000,kick
112800.0,281.000,1000,4,2,1.000,snare
113200.0,282.000,0001,4,2,1.000,kick
113600.0,283.000,0100,4,2,1.000,snare
114000.0,284.000,",",-1,-1,1.000,separator
114000.0,284.000,0010,4,2,1.000,kick
114400.0,285.000,1000,4,2,1.000,snare
114800.0,286.000,0001,4,2,1.000,kick
115200.0,287.000,0100,4,2,1.000,snare
115600.0,288.000,",",-1,-1,1.000,separator
115600.0,288.000,1000,4,2,1.000,kick
116000.0,289.000,0010,4,2,1.000,snare
116400.0,290.000,0100,4,2,1.000,kick
116800.0,291.000,0001,4,2,1.000,snare
117200.0,292.000,",",-1,-1,1.000,separator
117200.0,292.000,1000,4,2,1.000,kick
117600.0,293.000,0010,4,2,1.000,snare
118000.0,294.000,0100,4,2,1.000,kick
118400.0,295.000,0001,4,2,1.000,snare
118800.0,296.000,",",-1,-1,1.000,separator
118800.0,296.000,1000,4,2,1.000,kick
119200.0,297.000,0010,4,2,1.000,snare
119600.0,298.000,0100,4,2,1.000,kick
120000.0,299.000,0001,4,2,1.000,snare
120400.0,300.000,",",-1,-1,1.000,separator
120400.0,300.000,1000,4,2,1.000,kick
120800.0,301.000,0010,4,2,1.000,snare
121200.0,302.000,0100,4,2,1.000,kick
121600.0,303.000,0001,4,2,1.000,snare
122000.0,304.000,",",-1,-1,1.000,separator
122000.0,304.000,0100,4,2,1.000,kick
122400.0,305.000,0001,4,2,1.000,snare
122800.0,306.000,1000,4,2,1.000,kick
123200.0,307.000,0010,4,2,1.000,snare
123600.0,308.000,",",-1,-1,1.000,separator
123600.0,308.000,0100,4,2,1.000,kick
124000.0,309.000,0001,4,2,1.000,snare
124400.0,310.000,1000,4,2,1.000,kick
