time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,4,2,1.000,kick
468.75,1.000,0001,4,2,1.000,kick
937.5,2.000,1000,4,2,1.000,kick
1406.25,3.000,0001,4,2,1.000,kick
1875.0,4.000,",",-1,-1,1.000,separator
1875.0,4.000,0100,4,2,1.000,snare
2343.75,5.000,0010,4,2,1.000,snare
2812.5,6.000,0100,4,2,1.000,snare
3281.25,7.000,0010,4,2,1.000,snare
3750.0,8.000,",",-1,-1,1.000,separator
3750.0,8.000,1001,1,2,0.900,bass
3984.375,8.500,0000,0,3,1.000,unknown
4218.75,9.000,0100,3,3,0.800,synth
4453.125,9.500,0000,0,3,1.000,unknown
4687.5,10.000,0010,4,2,1.000,kick
4921.875,10.500,0000,0,3,1.000,unknown
5156.25,11.000,0001,3,3,0.800,synth
5390.625,11.500,1000,3,3,0.800,synth
5625.0,12.000,",",-1,-1,1.000,separator
5625.0,12.000,0100,1,2,0.900,bass
5859.375,12.500,0000,0,3,1.000,unknown
6093.75,13.000,0010,3,3,0.800,synth
6328.125,13.500,1000,3,3,0.800,synth
6562.5,14.000,0001,4,2,1.000,kick
6796.875,14.500,0000,0,3,1.000,unknown
7031.25,15.000,0110,3,3,0.900,synth
7265.625,15.500,0000,0,3,1.000,unknown
7500.0,16.000,",",-1,-1,1.000,separator
7500.0,16.000,1001,1,2,0.950,bass
7734.375,16.500,0100,3,3,0.800,synth
7968.75,17.000,0010,3,3,0.800,synth
8203.125,17.500,0000,0,3,1.000,unknown
8437.5,18.000,1000,4,2,1.000,kick
8671.875,18.500,0000,0,3,1.000,unknown
8906.25,19.000,0001,3,3,0.850,synth
9140.625,19.500,0110,3,3,0.900,synth
9375.0,20.000,",",-1,-1,1.000,separator
9375.0,20.000,0011,1,2,0.900,bass
9609.375,20.500,0000,0,3,1.000,unknown
9843.75,21.000,1000,3,3,0.800,synth
10078.125,21.500,0100,3,3,0.800,synth
10312.5,22.000,0010,4,2,1.000,kick
10546.875,22.500,0000,0,3,1.000,unknown
10781.25,23.000,0001,3,3,0.850,synth
11015.625,23.500,1100,3,3,0.900,synth
11250.0,24.000,",",-1,-1,1.000,separator
11250.0,24.000,1001,1,2,0.900,bass
11484.375,24.500,0000,0,3,1.000,unknown
11718.75,25.000,0100,3,3,0.800,synth
11953.125,25.500,0010,3,3,0.800,synth
12187.5,26.000,0001,4,2,1.000,kick
12421.875,26.500,1000,3,3,0.800,synth
12656.25,27.000,0000,0,3,1.000,unknown
12890.625,27.500,0110,3,3,0.900,synth
13125.0,28.000,",",-1,-1,1.000,separator
13125.0,28.000,1001,1,2,0.950,bass
13359.375,28.500,0000,0,3,1.000,unknown
13593.75,29.000,0100,3,3,0.800,synth
13828.125,29.500,0010,3,3,0.800,synth
14062.5,30.000,0001,4,2,1.000,kick
14296.875,30.500,1000,3,3,0.800,synth
14531.25,31.000,0000,0,3,1.000,unknown
14765.625,31.500,1100,3,3,0.900,synth
15000.0,32.000,",",-1,-1,1.000,separator
15000.0,32.000,0001,1,2,0.900,kick
15117.1875,32.250,0000,0,3,1.000,unknown
15234.375,32.500,0010,3,3,0.800,synth
15351.5625,32.750,0000,0,3,1.000,unknown
15468.75,33.000,0100,3,2,0.850,synth
15585.9375,33.250,0000,0,3,1.000,unknown
15703.125,33.500,1000,3,3,0.800,synth
15820.3125,33.750,0000,0,3,1.000,unknown
15937.5,34.000,0001,4,2,1.000,kick
16054.6875,34.250,0010,3,3,0.800,synth
16171.875,34.500,0000,0,3,1.000,unknown
16289.0625,34.750,0100,3,3,0.800,synth
16406.25,35.000,1000,3,2,0.850,synth
16523.4375,35.250,0000,0,3,1.000,unknown
16640.625,35.500,0001,3,3,0.800,synth
16757.8125,35.750,0010,3,3,0.800,synth
16875.0,36.000,",",-1,-1,1.000,separator
16875.0,36.000,1001,4,2,1.000,kick
16992.1875,36.250,0000,0,3,1.000,unknown
17109.375,36.500,0100,3,3,0.800,synth
17226.5625,36.750,0010,3,3,0.800,synth
17343.75,37.000,0001,3,2,0.850,synth
17460.9375,37.250,0000,0,3,1.000,unknown
17578.125,37.500,1000,3,3,0.800,synth
17695.3125,37.750,0100,3,3,0.800,synth
17812.5,38.000,0010,4,2,1.000,snare
17929.6875,38.250,0000,0,3,1.000,unknown
18046.875,38.500,0001,3,3,0.800,synth
18164.0625,38.750,1000,3,3,0.800,synth
18281.25,39.000,0100,3,2,0.850,synth
18398.4375,39.250,0000,0,3,1.000,unknown
18515.625,39.500,0010,3,3,0.800,synth
18632.8125,39.750,0001,3,3,0.800,synth
18750.0,40.000,",",-1,-1,1.000,separator
18750.0,40.000,1001,4,2,1.000,kick
18867.1875,40.250,0000,0,3,1.000,unknown
18984.375,40.500,0100,3,3,0.800,synth
19101.5625,40.750,0010,3,3,0.800,synth
19218.75,41.000,0001,3,2,0.850,synth
19335.9375,41.250,0000,0,3,1.000,unknown
19453.125,41.500,1000,3,3,0.800,synth
19570.3125,41.750,0100,3,3,0.800,synth
19687.5,42.000,0011,4,2,1.000,snare
19804.6875,42.250,0000,0,3,1.000,unknown
19921.875,42.500,1000,3,3,0.800,synth
20039.0625,42.750,0100,3,3,0.800,synth
20156.25,43.000,0010,3,2,0.850,synth
20273.4375,43.250,0000,0,3,1.000,unknown
20390.625,43.500,0001,3,3,0.800,synth
20507.8125,43.750,1100,3,3,0.800,synth
20625.0,44.000,",",-1,-1,1.000,separator
20625.0,44.000,1000,4,2,1.000,kick
20859.375,44.500,0001,3,3,0.800,synth
21093.75,45.000,0100,3,3,0.800,synth
21328.125,45.500,0010,3,3,0.800,synth
21562.5,46.000,1000,4,2,1.000,kick
21796.875,46.500,0001,3,3,0.800,synth
22031.25,47.000,0110,3,3,0.800,synth
22265.625,47.500,0000,0,3,1.000,unknown
22500.0,48.000,",",-1,-1,1.000,separator
22500.0,48.000,0100,4,2,1.000,kick
22968.75,49.000,0010,4,2,1.000,kick
23437.5,50.000,0001,4,2,1.000,kick
23906.25,51.000,1000,4,2,1.000,kick
24375.0,52.000,",",-1,-1,1.000,separator
24375.0,52.000,1001,4,2,1.000,kick
24843.75,53.000,0110,4,2,1.000,snare
25312.5,54.000,1001,4,2,1.000,kick
25781.25,55.000,0110,4,2,1.000,snare
26250.0,56.000,",",-1,-1,1.000,separator
26250.0,56.000,1000,4,2,1.000,kick
26484.375,56.500,0001,3,3,0.800,synth
26718.75,57.000,0100,3,3,0.800,synth
26953.125,57.500,0010,3,3,0.800,synth
27187.5,58.000,1001,4,2,1.000,kick
27421.875,58.500,0000,0,3,1.000,unknown
27656.25,59.000,0110,3,3,0.800,synth
27890.625,59.500,0000,0,3,1.000,unknown
28125.0,60.000,",",-1,-1,1.000,separator
28125.0,60.000,0001,4,2,1.000,kick
28359.375,60.500,1000,3,3,0.800,synth
28593.75,61.000,0100,3,3,0.800,synth
28828.125,61.500,0010,3,3,0.800,synth
29062.5,62.000,1001,4,2,1.000,kick
29296.875,62.500,0000,0,3,1.000,unknown
29531.25,63.000,0110,3,3,0.800,synth
29765.625,63.500,0000,0,3,1.000,unknown
30000.0,64.000,",",-1,-1,1.000,separator
30000.0,64.000,1001,4,2,1.000,kick
30117.1875,64.250,0000,0,3,1.000,unknown
30234.375,64.500,0100,3,3,0.800,synth
30351.5625,64.750,0010,3,3,0.800,synth
30468.75,65.000,1000,4,2,1.000,kick
30585.9375,65.250,0001,3,3,0.800,synth
30703.125,65.500,0000,0,3,1.000,unknown
30820.3125,65.750,0000,0,3,1.000,unknown
30937.5,66.000,1001,4,2,1.000,kick
31054.6875,66.250,0000,0,3,1.000,unknown
31171.875,66.500,0110,3,3,0.800,snare
31289.0625,66.750,0000,0,3,1.000,unknown
31406.25,67.000,1000,4,2,1.000,kick
31523.4375,67.250,0001,3,3,0.800,synth
31640.625,67.500,0010,3,3,0.800,synth
31757.8125,67.750,0100,3,3,0.800,synth
31875.0,68.000,",",-1,-1,1.000,separator
31875.0,68.000,1001,4,2,1.000,kick
32343.75,69.000,0010,3,2,1.000,synth
32812.5,70.000,0100,3,2,1.000,synth
33281.25,71.000,1000,3,2,1.000,synth
33750.0,72.000,",",-1,-1,1.000,separator
33750.0,72.000,1001,4,2,1.000,kick
34218.75,73.000,0001,3,2,1.000,synth
34687.5,74.000,0110,3,2,1.000,synth
35156.25,75.000,1100,3,2,1.000,synth
35625.0,76.000,",",-1,-1,1.000,separator
35625.0,76.000,1000,4,2,1.000,kick
36093.75,77.000,0010,3,2,1.000,synth
36562.5,78.000,0001,3,2,1.000,synth
37031.25,79.000,0100,3,2,1.000,synth
37500.0,80.000,",",-1,-1,1.000,separator
37500.0,80.000,1001,4,2,1.000,kick
37734.375,80.500,0000,0,3,1.000,unknown
37968.75,81.000,0110,3,3,0.800,synth
38203.125,81.500,0000,0,3,1.000,unknown
38437.5,82.000,1001,4,2,1.000,kick
38671.875,82.500,0000,0,3,1.000,unknown
38906.25,83.000,0110,3,3,0.800,synth
39140.625,83.500,0000,0,3,1.000,unknown
39375.0,84.000,",",-1,-1,1.000,separator
