```json
[
{"time_ms": 0.0, "beat_position": 1, "notes": "1000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "k"},
{"time_ms": 1.0, "beat_position": 2, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 2.0, "beat_position": 3, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 3.0, "beat_position": 4, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 4.0, "beat_position": 5, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 5.0, "beat_position": 6, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 6.0, "beat_position": 7, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 7.0, "beat_position": 8, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 8.0, "beat_position": 9, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 9.0, "beat_position": 10, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 10.0, "beat_position": 11, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 11.0, "beat_position": 12, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 12.0, "beat_position": 13, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 13.0, "beat_position": 14, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 14.0, "beat_position": 15, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 15.0, "beat_position": 16, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
{"time_ms": 16.0, "beat_position": 17, "notes": "0000", "placement_type": 2, "note_type": 0, "confidence": 1.0, "instrument": "s"},
